Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MARKO FILIPOVIĆ;DAVOR ŠTIMAC
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;001;COSTABELLA;PROSTORIJE MJESNOG ODBORA;ISTARSKA 50;1231;517;517;501;16;253;248
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;002;KANTRIDA;"OŠ ""KANTRIDA""";IZVIĐAČKA 9;1208;467;467;453;14;261;192
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;003;KANTRIDA;"DOM  ""MIRKO ČURBEG""";LOVRANSKA 10;1057;390;390;379;11;210;169
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;004;KANTRIDA;"OŠ ""KANTRIDA""";IZVIĐAČKA 9;1045;413;413;394;19;248;146
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;005;ZAPADNI ZAMET;"OŠ ""ZAMET""";BOŽE VIDASA 12;934;335;335;326;9;183;143
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;006;ZAPADNI ZAMET;"OŠ ""ZAMET""";BOŽE VIDASA 12;1015;311;311;302;9;185;117
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;007;ZAPADNI ZAMET;"OŠ ""ZAMET""";BOŽE VIDASA 12;925;324;324;312;12;177;135
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;008;ZAPADNI ZAMET;"OŠ ""ZAMET""";BOŽE VIDASA 12;793;298;298;287;11;168;119
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;009;GORNJI ZAMET;"KUD ""ZAMETSKI KOREN""";MILICE JADRANIĆ 2;1077;307;307;296;11;135;161
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;010;GORNJI ZAMET;"KUD ""ZAMETSKI KOREN""";MILICE JADRANIĆ 2;1258;356;355;345;10;186;159
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;011;GORNJI ZAMET;PROSTORIJE MJESNOG ODBORA GORNJI ZAMET;MILICE JADRANIĆ 2A;941;221;221;209;12;109;100
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;012;GORNJI ZAMET;PROSTORIJE MJESNOG ODBORA GORNJI ZAMET;MILICE JADRANIĆ 2A;1199;320;320;304;16;145;159
