Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;TOMISLAV TOMAŠEVIÆ;MIROSLAV ŠKORO
21;GRAD ZAGREB;grad;GRAD ZAGREB;001;ANDRIJA MEDULIÆ;DRŽAVNA ŠKOLA ZA JAVNU UPRAVU;MEDULIÆEVA ULICA 36;996;501;500;489;11;292;197
21;GRAD ZAGREB;grad;GRAD ZAGREB;002;ANDRIJA MEDULIÆ;DRŽAVNA ŠKOLA ZA JAVNU UPRAVU;MEDULIÆEVA ULICA 36;984;502;502;489;13;363;126
21;GRAD ZAGREB;grad;GRAD ZAGREB;003;AUGUST ŠENOA;PROSTORIJE MJESNOG ODBORA;ULICA PAVLA HATZA 8;1106;540;540;529;11;392;137
21;GRAD ZAGREB;grad;GRAD ZAGREB;004;AUGUST ŠENOA;PROSTORIJE MJESNOG ODBORA;ULICA PAVLA HATZA 8;1175;581;581;569;12;416;153
21;GRAD ZAGREB;grad;GRAD ZAGREB;005;CVJETNI TRG;OŠ IVANA GUNDULIÆA;GUNDULIÆEVA ULICA 23A;1006;507;507;496;11;404;92
21;GRAD ZAGREB;grad;GRAD ZAGREB;006;CVJETNI TRG;OŠ IVANA GUNDULIÆA;GUNDULIÆEVA ULICA 23A;994;496;496;483;13;371;112
21;GRAD ZAGREB;grad;GRAD ZAGREB;007;HRVATSKI NARODNI VLADARI;PROSTORIJE MJESNOG ODBORA;ULICA KNEZA BORNE 9;1520;687;687;676;11;505;171
21;GRAD ZAGREB;grad;GRAD ZAGREB;008;KNEZ MISLAV;VII GIMNAZIJA;ULICA JURJA KRIŽANIÆA 4;1325;720;720;709;11;563;146
21;GRAD ZAGREB;grad;GRAD ZAGREB;009;KNEZ MISLAV;VII GIMNAZIJA;ULICA JURJA KRIŽANIÆA 4;1229;625;625;617;8;465;152
21;GRAD ZAGREB;grad;GRAD ZAGREB;010;KRALJ PETAR SVAÈIÆ;PROSTORIJE MJESNOG ODBORA;PRERADOVIÆEVA ULICA 29;1185;603;603;595;8;447;148
21;GRAD ZAGREB;grad;GRAD ZAGREB;011;KRALJ PETAR SVAÈIÆ;ELEKTRA;GUNDULIÆEVA ULICA 32;1263;649;649;639;10;506;133
21;GRAD ZAGREB;grad;GRAD ZAGREB;012;KRALJ ZVONIMIR;OŠ S.S. KRANJÈEVIÆA;ULICA BALTAZARA BOGIŠIÆA 13;1228;613;613;601;12;460;141
21;GRAD ZAGREB;grad;GRAD ZAGREB;013;KRALJ ZVONIMIR;OŠ S.S. KRANJÈEVIÆA;ULICA BALTAZARA BOGIŠIÆA 13;1219;611;611;605;6;467;138
21;GRAD ZAGREB;grad;GRAD ZAGREB;014;KRALJ ZVONIMIR;POLIKLINIKA SUVAG;ULICA LJUDEVITA POSAVSKOG 10;1153;580;579;571;8;440;131
21;GRAD ZAGREB;grad;GRAD ZAGREB;015;KRALJ ZVONIMIR;POLIKLINIKA SUVAG;ULICA LJUDEVITA POSAVSKOG 10;1173;620;620;604;16;482;122
21;GRAD ZAGREB;grad;GRAD ZAGREB;016;MATKO LAGINJA;PROSTORIJE MJESNOG ODBORA;ULICA MATKA LAGINJE 11;1271;684;684;666;18;541;125
21;GRAD ZAGREB;grad;GRAD ZAGREB;017;MATKO LAGINJA;OŠ MATKA LAGINJE;ULICA MATKA LAGINJE 13;1247;666;666;653;13;491;162
21;GRAD ZAGREB;grad;GRAD ZAGREB;018;MIMARA;OŠ IZIDORA KRŠNJAVOGA;ULICA ISIDORA KRŠNJAVOGA 2;800;379;379;367;12;280;87
21;GRAD ZAGREB;grad;GRAD ZAGREB;019;MIMARA;OŠ IZIDORA KRŠNJAVOGA;ULICA ISIDORA KRŠNJAVOGA 2;780;362;362;354;8;276;78
21;GRAD ZAGREB;grad;GRAD ZAGREB;020;NADBISKUP ANTUN BAUER;OŠ MATKA LAGINJE;ULICA MATKA LAGINJE 13;885;457;456;446;10;337;109
21;GRAD ZAGREB;grad;GRAD ZAGREB;021;NADBISKUP ANTUN BAUER;OŠ MATKA LAGINJE;ULICA MATKA LAGINJE 13;997;535;535;522;13;403;119
21;GRAD ZAGREB;grad;GRAD ZAGREB;022;PAVAO ŠUBIÆ;OŠ MATKA LAGINJE;ULICA MATKA LAGINJE 13;1110;565;565;551;14;471;80
21;GRAD ZAGREB;grad;GRAD ZAGREB;023;PAVAO ŠUBIÆ;OŠ MATKA LAGINJE;ULICA MATKA LAGINJE 13;1120;524;524;514;10;398;116
21;GRAD ZAGREB;grad;GRAD ZAGREB;024;PETAR KREŠIMIR IV;KLASIÈNA GIMNAZIJA;ULICA JURJA KRIŽANIÆA 4A;828;439;439;433;6;345;88
21;GRAD ZAGREB;grad;GRAD ZAGREB;025;PETAR KREŠIMIR IV;KLASIÈNA GIMNAZIJA;ULICA JURJA KRIŽANIÆA 4A;791;400;400;387;13;302;85
21;GRAD ZAGREB;grad;GRAD ZAGREB;026;PETAR ZRINSKI;PROSTORIJE MJESNOG ODBORA;PRIMORSKA ULICA 32;1295;685;685;675;10;545;130
21;GRAD ZAGREB;grad;GRAD ZAGREB;027;PETAR ZRINSKI;I. TEHNIÈKA ŠKOLA TESLA;ULICA VJEKOSLAVA KLAIÆA 7;1119;523;523;514;9;411;103
21;GRAD ZAGREB;grad;GRAD ZAGREB;028;PETAR ZRINSKI;I. TEHNIÈKA ŠKOLA TESLA;ULICA VJEKOSLAVA KLAIÆA 7;1141;538;538;522;16;401;121
21;GRAD ZAGREB;grad;GRAD ZAGREB;029;ZRINJEVAC;PROSTORIJE MJESNOG ODBORA;PALMOTIÆEVA ULICA 30;887;419;419;413;6;308;105
21;GRAD ZAGREB;grad;GRAD ZAGREB;030;ZRINJEVAC;PROSTORIJE MJESNOG ODBORA;PALMOTIÆEVA ULICA 30;762;396;387;387;0;275;112
