Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ELENA PUH BELCI;FILIP ZORIČIĆ
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;001;PULA-POLA, BIRAČKO MJESTO 1.;"OŠ ""TONE PERUŠKO""";POLJANA SVETOG MARTINA 6, PULA-POLA;981;381;381;370;11;148;222
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;002;PULA-POLA, BIRAČKO MJESTO 2.;"OŠ ""TONE PERUŠKO""";POLJANA SVETOG MARTINA 6, PULA-POLA;721;252;252;244;8;118;126
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;003;PULA-POLA, BIRAČKO MJESTO 3.;"OŠ ""ŠIJANA""";43. ISTARSKE DIVIZIJE 5, PULA-POLA;1158;414;414;403;11;169;234
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;004;PULA-POLA, BIRAČKO MJESTO 4.;"OŠ  ""ŠIJANA""";43. ISTARSKE DIVIZIJE 5, PULA-POLA;785;304;304;294;10;132;162
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;005;PULA-POLA, BIRAČKO MJESTO 5.;"OŠ ""ŠIJANA""";43.ISTARSKE DIVIZIJE 5, PULA-POLA;777;355;355;352;3;177;175
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;006;PULA-POLA, BIRAČKO MJESTO 6.;"OŠ ""ŠIJANA""";43. ISTARSKE DIVIZIJE 5, PULA-POLA;986;322;322;311;11;139;172
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;007;PULA-POLA, BIRAČKO MJESTO 7.;"PROSTORIJE MO ""ŠIJANA""";KOPARSKA 46, PULA-POLA;1004;380;380;368;12;148;220
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;008;PULA-POLA, BIRAČKO MJESTO 8.;"PROSTORIJE MO ""KAŠTANJER""";KAŠTANJER 10, PULA-POLA;1075;455;455;442;13;184;258
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;009;PULA-POLA, BIRAČKO MJESTO 9.;"PROSTORIJE MO ""KAŠTANJER""";ULICA KAŠTANJER 8, PULA-POLA;1366;509;509;496;13;205;291
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;010;PULA-POLA, BIRAČKO MJESTO 10.;"PROSTORIJE MO ""BUSOLER""";ŠIŠANSKA CESTA 25A, PULA-POLA;1019;399;399;391;8;146;245
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;011;PULA-POLA, BIRAČKO MJESTO 11.;"PROSTORIJE  MO ""BUSOLER""";ŠIŠANSKA CESTA 106, PULA-POLA;1241;430;430;418;12;162;256
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;012;PULA-POLA, BIRAČKO MJESTO 12.;"PROSTORIJE MO ""ARENA""";EMOVA ULICA 1, PULA-POLA;1044;402;402;388;14;176;212
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;013;PULA-POLA, BIRAČKO MJESTO 13.;"PROSTORIJE ""HAK-A - AUTO SL 91""";STIGLICHEVA 26, PULA-POLA;808;337;337;334;3;141;193
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;014;PULA-POLA, BIRAČKO MJESTO 14.;"OŠ ""VELI VRH""";ZAHTILINA 1, PULA-POLA;1017;453;453;447;6;236;211
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;015;PULA-POLA, BIRAČKO MJESTO 15.;"OŠ ""VELI VRH""";ZAHTILINA 1, PULA-POLA;1326;576;575;565;10;246;319
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;016;PULA-POLA, BIRAČKO MJESTO 16.;"OŠ ""VELI VRH""";ZAHTILINA ULICA 1, PULA-POLA;942;432;432;427;5;185;242
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;017;PULA-POLA, BIRAČKO MJESTO 17.;PROSTORIJE MJESNOG ODBORA ŠTINJAN;ULICA SELO 2, PULA-POLA;891;391;391;380;11;141;239
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;018;PULA-POLA, BIRAČKO MJESTO 18.;"PODRUČNA OŠ ""ŠTINJAN""";ULICA VAROŠ 2, PULA-POLA;777;342;342;334;8;147;187
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;019;PULA-POLA, BIRAČKO MJESTO 19.;PRIZEMLJE ZGRADE KATASTRA;FORUM 13, PULA-POLA;729;278;278;273;5;124;149
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;020;PULA-POLA, BIRAČKO MJESTO 20.;"OŠ ""CENTAR""";DANTEOV TRG 2, PULA-POLA;707;256;256;251;5;105;146
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;021;PULA-POLA, BIRAČKO MJESTO 21.;"DOM ""BRAĆE RIBAR""";MARSOVOG POLJA 6, PULA-POLA;893;326;326;310;16;127;183
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;022;PULA-POLA, BIRAČKO MJESTO 22.;EKONOMSKA ŠKOLA;KOVAČIĆEVA ULICA 3, PULA-POLA;812;322;322;312;10;191;121
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;023;PULA-POLA, BIRAČKO MJESTO 23.;"BIVŠA ROBNA KUĆA ""STANDA""";KOPARSKA ULICA 64, PULA-POLA;860;374;374;367;7;171;196
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;024;PULA-POLA, BIRAČKO MJESTO 24.;"MO ""VALDEBEK""";POD MURVON 2, PULA-POLA;1591;668;668;661;7;270;391
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;025;PULA-POLA, BIRAČKO MJESTO 25.;UDRUŽENJE OBRTNIKA;SV. FELICITE 5A, PULA-POLA;1406;540;540;529;11;214;315
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;026;PULA-POLA, BIRAČKO MJESTO 26.;PUČKO OTVORENO UČILIŠTE;RIŽANSKE SKUPŠTINE 6, PULA-POLA;930;356;356;351;5;140;211
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;027;PULA-POLA, BIRAČKO MJESTO 27.;"PROSTORIJE LOVAČKOG DRUŠTVA ""UNION""";KUKULJEVIĆEVA 5, PULA-POLA;631;225;225;221;4;95;126
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;028;PULA-POLA, BIRAČKO MJESTO 28.;"OŠ ""GIUSEPPINA MARTINUZZI""";SANTORIOVA ULICA 1, PULA-POLA;780;289;289;284;5;123;161
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;029;PULA-POLA, BIRAČKO MJESTO 29.;"OŠ ""GIUSEPPINA MARTINUZZI""";SANTORIOVA ULICA 1, PULA-POLA;1000;371;371;364;7;138;226
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;030;PULA-POLA, BIRAČKO MJESTO 30.;"PROSTORIJE MO ""MONTE ZARO""";RADIĆEVA ULICA 25, PULA-POLA;1249;483;483;471;12;222;249
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;031;PULA-POLA, BIRAČKO MJESTO 31.;"OSNOVNA ŠKOLA ""MONTE ZARO""";BOŠKOVIĆEV USPON 24, PULA-POLA;1258;422;422;413;9;153;260
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;032;PULA-POLA, BIRAČKO MJESTO 32.;ZGRADA TEHNIČKOG CENTRA;TRG KRALJA TOMISLAVA 9, PULA-POLA;1164;460;460;441;19;213;228
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;033;PULA-POLA, BIRAČKO MJESTO 33.;ZGRADA TEHNIČKOG CENTRA;TRG KRALJA TOMISLAVA 11, PULA-POLA;1253;439;439;422;17;187;235
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;034;PULA-POLA, BIRAČKO MJESTO 34.;"PROSTORIJE ""SSSH""";KRLEŽINA 37, PULA-POLA;1159;486;485;476;9;231;245
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;035;PULA-POLA, BIRAČKO MJESTO 35.;"OŠ ""VERUDA""";BANOVČEVA ULICA 27, PULA-POLA;834;235;235;226;9;84;142
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;036;PULA-POLA, BIRAČKO MJESTO 36.;"OŠ ""VERUDA""";BANOVČEVA ULICA 27, PULA-POLA;791;316;316;303;13;135;168
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;037;PULA-POLA, BIRAČKO MJESTO 37.;"OŠ ""VERUDA""";BANOVČEVA ULICA 27, PULA-POLA;1050;416;416;403;13;176;227
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;038;PULA-POLA, BIRAČKO MJESTO 38.;"PROSTORIJE MO ""VERUDA""";BANOVČEVA 4 I 6, PULA-POLA;676;272;272;264;8;122;142
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;039;PULA-POLA, BIRAČKO MJESTO 39.;"PROSTORIJE MO ""VIDIKOVAC""";VOLTIĆEVA ULICA 1, PULA-POLA;796;296;296;287;9;120;167
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;040;PULA-POLA, BIRAČKO MJESTO 40.;"PROSTORIJE MO ""VIDIKOVAC""";VOLTIĆEVA ULICA 1, PULA-POLA;876;367;367;357;10;154;203
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;041;PULA-POLA, BIRAČKO MJESTO 41.;"PROSTORIJE MO ""NOVA VERUDA""";ULICA VIDIKOVAC 7, PULA-POLA;1099;496;496;482;14;222;260
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;042;PULA-POLA, BIRAČKO MJESTO 42.;INDUSTRIJSKO-OBRTNIČKA ŠKOLA PULA;RIZZIJEVA ULICA 40, PULA-POLA;1159;453;453;443;10;186;257
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;043;PULA-POLA, BIRAČKO MJESTO 43.;INDUSTRIJSKO-OBRTNIČKA ŠKOLA PULA;RIZZIJEVA ULICA 40, PULA-POLA;871;353;353;346;7;145;201
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;044;PULA-POLA, BIRAČKO MJESTO 44.;"PROSTORIJE MO ""STOJA""";LETTISOVA ULICA 1, PULA-POLA;772;364;364;357;7;158;199
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;045;PULA-POLA, BIRAČKO MJESTO 45.;"MO ""STOJA"" (ULAZ IZ ULICE STOJA)";LETTISOVA ULICA 1, PULA-POLA;622;259;259;258;1;134;124
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;046;PULA-POLA, BIRAČKO MJESTO 46.;"OŠ ""STOJA""";BRIJUNSKA ULICA 5, PULA-POLA;1189;494;494;484;10;235;249
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;047;PULA-POLA, BIRAČKO MJESTO 47.;"OŠ ""STOJA""";BRIJUNSKA ULICA 5, PULA-POLA;896;382;382;367;15;158;209
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;048;PULA-POLA, BIRAČKO MJESTO 48.;"OŠ ""KAŠTANJER""";RIMSKE CENTURIJACIJE 29, PULA-POLA;1055;434;434;415;19;184;231
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;049;PULA-POLA, BIRAČKO MJESTO 49.;PROSTORIJE MO MONVIDAL;VALTURSKA ULICA 2, PULA-POLA;864;336;336;333;3;122;211
