Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;RENATO KRULÈIÆ;SUZANA JAŠIÆ
18;ISTARSKA ŽUPANIJA;grad;PAZIN;001;BERAM;ZGRADA STARE ŠKOLE;BERAM;386;151;151;145;6;81;64
18;ISTARSKA ŽUPANIJA;grad;PAZIN;002;GRDOSELO;ZGRADA STARE ŠKOLE;GRDOSELO;113;68;68;67;1;38;29
18;ISTARSKA ŽUPANIJA;grad;PAZIN;003;HEKI;ZGRADA STARE ŠKOLE;HEKI;553;226;226;221;5;116;105
18;ISTARSKA ŽUPANIJA;grad;PAZIN;004;KAŠÆERGA;ZGRADA MJESNOG ODBORA;KAŠÆERGA;192;93;93;89;4;59;30
18;ISTARSKA ŽUPANIJA;grad;PAZIN;005;KRŠIKLA;ZGRADA DRUŠTVENIH PROSTORIJA;KRŠIKLA;92;44;44;43;1;36;7
18;ISTARSKA ŽUPANIJA;grad;PAZIN;006;LINDAR;ZGRADA STARE ŠKOLE;LINDAR;413;227;227;226;1;131;95
18;ISTARSKA ŽUPANIJA;grad;PAZIN;007;PAZIN - BURAJ;PROSTORIJE ŠAHOVSKOG KLUBA U STAMBENO POSLOVNOJ ZGRADI;STARI TRG 6;757;351;351;339;12;119;220
18;ISTARSKA ŽUPANIJA;grad;PAZIN;008;PAZIN - CENTAR;AUTO - KLUB;DRUŽBA ÆIRILA I METODA 3, PAZIN;779;386;386;377;9;167;210
18;ISTARSKA ŽUPANIJA;grad;PAZIN;009;PAZIN - DRŠÆEVKA;SPOMEN DOM;ŠETALIŠTE PAZINSKE GIMN. 3A, PAZIN;822;483;483;472;11;212;260
18;ISTARSKA ŽUPANIJA;grad;PAZIN;010;PAZIN-DUBRAVICA;"PROSTORIJE ""DRUŠTVO NAŠA DJECA PAZIN""";154. BRIGADE HRVATSKE VOJSKE 4, PAZIN;484;239;239;237;2;102;135
18;ISTARSKA ŽUPANIJA;grad;PAZIN;011;STARI PAZIN NOVO NASELJE;STARI PAZIN;JOSIPA VOLTIÆA BB, PAZIN;856;443;443;432;11;205;227
18;ISTARSKA ŽUPANIJA;grad;PAZIN;012;STARI PAZIN - ROGOVIÆI;AUTOKUÆA ETRADEX;STANCIJA PATAJ 45B;532;276;276;271;5;135;136
18;ISTARSKA ŽUPANIJA;grad;PAZIN;013;TRVIŽ;DRUŠTVENI DOM;KATUN TRVIŠKI;654;252;252;246;6;104;142
18;ISTARSKA ŽUPANIJA;grad;PAZIN;014;ZABREŽANI;ZGRADA STARE ŠKOLE;ZABREŽANI;294;138;138;135;3;68;67
18;ISTARSKA ŽUPANIJA;grad;PAZIN;015;ZAMASK;DRUŠTVENI DOM;ZAMASK;85;33;33;32;1;23;9
18;ISTARSKA ŽUPANIJA;grad;PAZIN;016;ZAREÈJE;DRUŠTVENI DOM;ZAREÈJE;257;140;140;137;3;61;76
