Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;HRVATSKI LABURISTI - STRANKA RADA - LABURISTI;NEZAVISNA LISTA BOLJIH - NLB;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP;STJEPAN KOŽIĆ - NEZAVISNA LISTA - SKNL
01;ZAGREBAČKA ŽUPANIJA;općina;KLOŠTAR IVANIĆ;001;DONJA OBREŠKA;PUČKI DOM;DONJA OBREŠKA BB;94;67;67;67;0;4;8;1;2;46;6
01;ZAGREBAČKA ŽUPANIJA;općina;KLOŠTAR IVANIĆ;002;GORNJA OBREŠKA;PUČKI DOM;GORNJA OBREŠKA BB;96;35;35;35;0;6;5;0;3;20;1
01;ZAGREBAČKA ŽUPANIJA;općina;KLOŠTAR IVANIĆ;003;STARA MARČA;PUČKI DOM;STARA MARČA BB;121;56;56;54;2;17;5;1;6;13;12
01;ZAGREBAČKA ŽUPANIJA;općina;KLOŠTAR IVANIĆ;004;BEŠLINEC;PUČKI DOM;BEŠLINEC BB;317;148;148;144;4;31;6;7;13;50;37
01;ZAGREBAČKA ŽUPANIJA;općina;KLOŠTAR IVANIĆ;005;KRIŽCI;PUČKI DOM;KRIŽCI BB;177;90;90;88;2;10;10;3;13;42;10
01;ZAGREBAČKA ŽUPANIJA;općina;KLOŠTAR IVANIĆ;006;ČEMERNICA LONJSKA;PUČKI DOM;ČEMERNICA LONJSKA BB;206;109;109;108;1;28;1;1;11;59;8
01;ZAGREBAČKA ŽUPANIJA;općina;KLOŠTAR IVANIĆ;007;KLOŠTAR I;PUČKI DOM  (PRIZEMLJE);TRG SVETOG IVANA BB, KLOŠTAR IVANIĆ;789;307;307;296;11;55;12;17;77;114;21
01;ZAGREBAČKA ŽUPANIJA;općina;KLOŠTAR IVANIĆ;008;KLOŠTAR II;PUČKI DOM ( 1 KAT);TRG SVETOG IVANA BB, KLOŠTAR IVANIĆ;1095;378;378;359;19;82;30;20;70;139;18
01;ZAGREBAČKA ŽUPANIJA;općina;KLOŠTAR IVANIĆ;009;LIPOVEC LONJSKI;PUČKI DOM;LIPOVEC LONJSKI BB;287;157;157;154;3;59;8;4;5;63;15
01;ZAGREBAČKA ŽUPANIJA;općina;KLOŠTAR IVANIĆ;010;ŠČAPOVEC;PUČKI DOM;ŠČAPOVEC BB;139;71;71;70;1;13;1;7;14;31;4
01;ZAGREBAČKA ŽUPANIJA;općina;KLOŠTAR IVANIĆ;011;KLOŠTAR III;OSNOVNA ŠKOLA KLOŠTAR IVANIĆ;ŠKOLSKA 20, KLOŠTAR IVANIĆ;886;359;359;345;14;94;13;11;51;146;30
01;ZAGREBAČKA ŽUPANIJA;općina;KLOŠTAR IVANIĆ;012;KLOŠTAR IV;OSNOVNA ŠKOLA KLOŠTAR IVANIĆ;ŠKOLSKA 20, KLOŠTAR IVANIĆ;472;139;139;133;6;45;5;11;28;36;8
01;ZAGREBAČKA ŽUPANIJA;općina;KLOŠTAR IVANIĆ;013;PREDAVEC;PUČKI DOM;DUBRAVAČKA 37, PREDAVEC;204;80;80;80;0;15;3;1;16;42;3
01;ZAGREBAČKA ŽUPANIJA;općina;KLOŠTAR IVANIĆ;014;SOBOČANI;PUČKI DOM;GRANIČARSKA 15, SOBOČANI;428;141;141;137;4;12;45;1;12;58;9
