Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  LJUBICA AMBRUŠEC;DOMOVINSKI POKRET - DP;"HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, ""BANDIÆ MILAN 365 - STRANKA RADA I SOLIDARNOSTI"" - ""365 STRANKA RADA I SOLIDARNOSTI""";HRVATSKA SELJAÈKA STRANKA - HSS;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  FABIJAN TADIÆ
01;ZAGREBAÈKA ŽUPANIJA;opæina;GRADEC;001;GRADEC;ZGRADA OPÆINE GRADEC;GRADEC 134;381;203;203;194;9;114;1;9;45;25
01;ZAGREBAÈKA ŽUPANIJA;opæina;GRADEC;002;GRADEÈKI PAVLOVEC;DRUŠTVENI DOM;GRADEÈKI PAVLOVEC;374;178;178;174;4;108;4;18;23;21
01;ZAGREBAÈKA ŽUPANIJA;opæina;GRADEC;003;POTOÈEC;VATROGASNI DOM POTOÈEC;POTOÈEC;83;46;46;45;1;16;2;5;16;6
01;ZAGREBAÈKA ŽUPANIJA;opæina;GRADEC;004;MALI BREZOVEC;DRUŠTVENI DOM MALI BREZOVEC;MALI BREZOVEC;48;25;25;25;0;15;0;2;6;2
01;ZAGREBAÈKA ŽUPANIJA;opæina;GRADEC;005;VELIKI BREZOVEC;VATROGASNI DOM VELIKI BREZOVEC;VELIKI BREZOVEC;152;77;77;77;0;63;3;6;4;1
01;ZAGREBAÈKA ŽUPANIJA;opæina;GRADEC;006;PODJALES;VATROGASNI DOM PODJALES;PODJALES;134;67;67;65;2;40;2;4;12;7
01;ZAGREBAÈKA ŽUPANIJA;opæina;GRADEC;007;REPINEC;VATROGASNI DOM REPINEC;REPINEC;188;82;82;78;4;56;1;2;17;2
01;ZAGREBAÈKA ŽUPANIJA;opæina;GRADEC;008;FESTINEC;VATROGASNI DOM FESTINEC;FESTINEC;42;22;22;21;1;15;0;2;3;1
01;ZAGREBAÈKA ŽUPANIJA;opæina;GRADEC;009;POKASIN;VATROGASNI DOM POKASIN;POKASIN;46;30;30;30;0;25;0;2;2;1
01;ZAGREBAÈKA ŽUPANIJA;opæina;GRADEC;010;CUGOVEC;DRUŠTVENI DOM CUGOVEC;CUGOVEC;345;151;151;150;1;61;6;18;60;5
01;ZAGREBAÈKA ŽUPANIJA;opæina;GRADEC;011;GRABRIÆ;KUÆA KOVAÈIÆ MATE;GRABRIÆ 53;73;39;39;39;0;25;0;1;12;1
01;ZAGREBAÈKA ŽUPANIJA;opæina;GRADEC;012;ZABRÐE;VATROGASNI DOM ZABRÐE;ZABRÐE;116;41;41;40;1;27;2;0;8;3
01;ZAGREBAÈKA ŽUPANIJA;opæina;GRADEC;013;FUKA;LUGARNICA FUKA;FUKA;77;36;36;36;0;20;3;7;6;0
01;ZAGREBAÈKA ŽUPANIJA;opæina;GRADEC;014;STARI GLOG;DRUŠTVENI DOM STARI GLOG;STARI GLOG;86;39;39;38;1;29;3;4;2;0
01;ZAGREBAÈKA ŽUPANIJA;opæina;GRADEC;015;REMETINEC;KUÆA RANKE ŠKRLEC;REMETINEC 10;46;18;18;18;0;15;1;1;1;0
01;ZAGREBAÈKA ŽUPANIJA;opæina;GRADEC;016;HAGANJ;PODRUÈNA ŠKOLA HAGANJ;HAGANJ;400;205;205;201;4;21;12;38;128;2
01;ZAGREBAÈKA ŽUPANIJA;opæina;GRADEC;017;LUBENA;VATROGASNI DOM LUBENA;LUBENA;110;59;59;57;2;31;5;3;18;0
01;ZAGREBAÈKA ŽUPANIJA;opæina;GRADEC;018;TUÈENIK;DRUŠTVENI DOM TUÈENIK;TUÈENIK;222;143;143;141;2;93;19;25;3;1
