Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;FOKUS;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA SELJAČKA STRANKA - HSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
01;ZAGREBAČKA ŽUPANIJA;općina;KLINČA SELA;001;BIRAČKO MJESTO BR. 1 - BETER I;DOM DVD;BETER;268;130;130;127;3;18;72;4;33
01;ZAGREBAČKA ŽUPANIJA;općina;KLINČA SELA;002;BIRAČKO MJESTO BR. 2 - BETER II;KUĆA JOSIPA KUFRINA;GORNJA PURGARIJA 9;56;40;40;39;1;13;19;0;7
01;ZAGREBAČKA ŽUPANIJA;općina;KLINČA SELA;003;BIRAČKO MJESTO BR. 3 - BETER III;KUĆA FRANJE KELEČIĆA;NOVO SELO OKIĆKO 14;167;95;95;94;1;18;39;8;29
01;ZAGREBAČKA ŽUPANIJA;općina;KLINČA SELA;004;BIRAČKO MJESTO BR. 4 - DONJA ZDENČINA I;DOM DVD;DONJA ZDENČINA;301;147;147;141;6;22;33;67;19
01;ZAGREBAČKA ŽUPANIJA;općina;KLINČA SELA;005;BIRAČKO MJESTO BR. 5 - DONJA ZDENČINA II;SLUŽBENE PROSTORIJE MO DONJA ZDENČINA U SKLOPU PROSTORA NK ZDENČINA;DONJA ZDENČINA, VLADIMIRA NAZORA 41;536;241;241;226;15;52;83;30;61
01;ZAGREBAČKA ŽUPANIJA;općina;KLINČA SELA;006;BIRAČKO MJESTO BR. 6 - GOLI VRH;DOM DVD GOLI VRH;GOLI VRH;223;108;108;105;3;20;58;1;26
01;ZAGREBAČKA ŽUPANIJA;općina;KLINČA SELA;007;BIRAČKO MJESTO BR. 7 - GORNJA ZDENČINA;DOM DVD;GORNJA ZDENČINA;127;83;83;81;2;5;40;14;22
01;ZAGREBAČKA ŽUPANIJA;općina;KLINČA SELA;008;BIRAČKO MJESTO BR. 8 - KLINČA SELA I;DRUŠTVENI DOM;KLINČA SELA;1023;404;404;389;15;97;164;14;114
01;ZAGREBAČKA ŽUPANIJA;općina;KLINČA SELA;009;BIRAČKO MJESTO BR. 9 - KLINČA SELA II;DRUŠTVENI DOM;KLINČA SELA;542;271;271;268;3;83;111;1;73
01;ZAGREBAČKA ŽUPANIJA;općina;KLINČA SELA;010;BIRAČKO MJESTO BR. 10 -  KLINČA SELA III;KUĆA NEVENKA HLEBETINE;TRŽIĆ 5;97;39;39;38;1;13;13;3;9
01;ZAGREBAČKA ŽUPANIJA;općina;KLINČA SELA;011;BIRAČKO MJESTO BR. 11- KUPINEC I;STARA ŠKOLA;KUPINEC;289;111;111;111;0;12;37;7;55
01;ZAGREBAČKA ŽUPANIJA;općina;KLINČA SELA;012;BIRAČKO MJESTO BR. 12 - KUPINEC II;NOVA ŠKOLA;KUPINEC;267;104;104;100;4;5;37;15;43
01;ZAGREBAČKA ŽUPANIJA;općina;KLINČA SELA;013;BIRAČKO MJESTO BR. 13 - KUPINEC III;KUĆA DRAŽENA GRADSKI;KUPINEC 198;105;54;54;50;4;16;12;1;21
01;ZAGREBAČKA ŽUPANIJA;općina;KLINČA SELA;014;BIRAČKO MJESTO BR. 14 - KUPINEC IV;KUĆA STJEPANA HORVATIĆA;KUPINEC 234;66;38;38;38;0;4;20;4;10
01;ZAGREBAČKA ŽUPANIJA;općina;KLINČA SELA;015;BIRAČKO MJESTO BR. 15- REPIŠĆE;DRUŠTVENI DOM;REPIŠĆE;311;160;160;160;0;8;100;9;43
01;ZAGREBAČKA ŽUPANIJA;općina;KLINČA SELA;016;BIRAČKO MJESTO BR. 16- KOZLIKOVO;KUĆA RUDAR ŽELJKA;KOZLIKOVO 20;130;72;72;68;4;11;41;1;15
