Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MATIJA COPAK;DRAŽEN DRAGANIĆ
01;ZAGREBAČKA ŽUPANIJA;općina;FARKAŠEVAC;001;FARKAŠEVAC;ZGRADA OPĆINE (PRIZEMLJE-MALA ŠKOLA);FARKAŠEVAC 43;251;169;169;165;4;130;35
01;ZAGREBAČKA ŽUPANIJA;općina;FARKAŠEVAC;002;KABAL;DRUŠTVENI DOM KABAL;KABAL;117;86;86;85;1;39;46
01;ZAGREBAČKA ŽUPANIJA;općina;FARKAŠEVAC;003;DONJI MARKOVAC;DRUŠTVENI DOM DONJI MARKOVAC;DONJI MARKOVAC;37;18;18;18;0;6;12
01;ZAGREBAČKA ŽUPANIJA;općina;FARKAŠEVAC;004;DONJI BOLČ;DRUŠTVENI DOM DONJI BOLČ;DONJI BOLČ;108;61;61;61;0;31;30
01;ZAGREBAČKA ŽUPANIJA;općina;FARKAŠEVAC;005;GORNJI BOLČ;DRUŠTVENI DOM GORNJI BOLČ;GORNJI BOLČ;211;112;112;107;5;54;53
01;ZAGREBAČKA ŽUPANIJA;općina;FARKAŠEVAC;006;MAJUR;DRUŠTVENI DOM MAJUR;MAJUR;76;38;38;37;1;22;15
01;ZAGREBAČKA ŽUPANIJA;općina;FARKAŠEVAC;007;BREZINE;DRUŠTVENI DOM;BREZINE;135;64;64;63;1;37;26
01;ZAGREBAČKA ŽUPANIJA;općina;FARKAŠEVAC;008;MAČKI;DRUŠTVENI DOM;MAČKI;59;33;33;32;1;22;10
01;ZAGREBAČKA ŽUPANIJA;općina;FARKAŠEVAC;009;PRAŠĆEVAC;DRUŠTVENI DOM PRAŠĆEVAC;PRAŠĆEVAC;94;52;52;50;2;16;34
01;ZAGREBAČKA ŽUPANIJA;općina;FARKAŠEVAC;010;ZVONIK;DRUŠTVENI DOM;ZVONIK;65;34;34;34;0;24;10
01;ZAGREBAČKA ŽUPANIJA;općina;FARKAŠEVAC;011;ŽABNICA;DRUŠTVENI DOM;ŽABNICA;109;71;71;71;0;9;62
01;ZAGREBAČKA ŽUPANIJA;općina;FARKAŠEVAC;012;IVANČANI;DRUŠTVENI DOM U IVANČANIMA;IVANČANI;108;43;43;42;1;25;17
