Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA SELJAČKA STRANKA - HSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
01;ZAGREBAČKA ŽUPANIJA;općina;FARKAŠEVAC;001;FARKAŠEVAC;ZGRADA OPĆINE (PRIZEMLJE-MALA ŠKOLA);FARKAŠEVAC 43;251;169;169;164;5;114;36;14
01;ZAGREBAČKA ŽUPANIJA;općina;FARKAŠEVAC;002;KABAL;DRUŠTVENI DOM KABAL;KABAL;117;85;85;84;1;38;41;5
01;ZAGREBAČKA ŽUPANIJA;općina;FARKAŠEVAC;003;DONJI MARKOVAC;DRUŠTVENI DOM DONJI MARKOVAC;DONJI MARKOVAC;37;18;18;17;1;5;10;2
01;ZAGREBAČKA ŽUPANIJA;općina;FARKAŠEVAC;004;DONJI BOLČ;DRUŠTVENI DOM DONJI BOLČ;DONJI BOLČ;108;61;61;60;1;32;28;0
01;ZAGREBAČKA ŽUPANIJA;općina;FARKAŠEVAC;005;GORNJI BOLČ;DRUŠTVENI DOM GORNJI BOLČ;GORNJI BOLČ;211;108;108;104;4;50;54;0
01;ZAGREBAČKA ŽUPANIJA;općina;FARKAŠEVAC;006;MAJUR;DRUŠTVENI DOM MAJUR;MAJUR;76;38;38;35;3;20;14;1
01;ZAGREBAČKA ŽUPANIJA;općina;FARKAŠEVAC;007;BREZINE;DRUŠTVENI DOM;BREZINE;135;64;64;64;0;37;26;1
01;ZAGREBAČKA ŽUPANIJA;općina;FARKAŠEVAC;008;MAČKI;DRUŠTVENI DOM;MAČKI;59;33;33;30;3;21;9;0
01;ZAGREBAČKA ŽUPANIJA;općina;FARKAŠEVAC;009;PRAŠĆEVAC;DRUŠTVENI DOM PRAŠĆEVAC;PRAŠĆEVAC;94;52;52;51;1;15;36;0
01;ZAGREBAČKA ŽUPANIJA;općina;FARKAŠEVAC;010;ZVONIK;DRUŠTVENI DOM;ZVONIK;65;34;34;34;0;25;6;3
01;ZAGREBAČKA ŽUPANIJA;općina;FARKAŠEVAC;011;ŽABNICA;DRUŠTVENI DOM;ŽABNICA;109;71;71;69;2;9;59;1
01;ZAGREBAČKA ŽUPANIJA;općina;FARKAŠEVAC;012;IVANČANI;DRUŠTVENI DOM U IVANČANIMA;IVANČANI;108;43;43;43;0;24;15;4
