Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DAMIR HALUŽAN;KARLO LACKOVIĆ;DRAGO PRAHIN;NIKOLA TOPOL;DARIO ZUROVEC
01;ZAGREBAČKA ŽUPANIJA;grad;SVETA NEDELJA;001;BESTOVJE;DRUŠTVENI DOM BESTOVJE;BESTOVJE, PRUDNJACI 1;1137;476;476;473;3;87;5;7;48;326
01;ZAGREBAČKA ŽUPANIJA;grad;SVETA NEDELJA;002;BESTOVJE;DRUŠTVENI DOM BESTOVJE;BESTOVJE,PRUDNJACI 1;895;417;415;407;8;38;16;11;46;296
01;ZAGREBAČKA ŽUPANIJA;grad;SVETA NEDELJA;003;BREZJE;DRUŠTVENI DOM BREZJE;BREZJE, F. GREDELJA 4;1322;665;665;652;13;78;38;50;56;430
01;ZAGREBAČKA ŽUPANIJA;grad;SVETA NEDELJA;004;KERESTINEC- KALINOVICA;PODRUČNA ŠKOLA KERESTINEC;KERESTINEC, MATE LOVRAKA 3;1354;650;649;639;10;64;25;26;18;506
01;ZAGREBAČKA ŽUPANIJA;grad;SVETA NEDELJA;005;KERESTINEC-KALINOVICA-ŽITARKA;PODRUČNA ŠKOLA KERESTINEC;KERESTINEC,MATE LOVRAKA 3;539;244;244;240;4;13;10;4;8;205
01;ZAGREBAČKA ŽUPANIJA;grad;SVETA NEDELJA;006;MALA GORICA-SREBRNJAK;DRUŠTVENI DOM MALA GORICA;MALA GORICA, ULICA AUGUSTA ŠENOE 34;668;317;317;310;7;32;21;5;15;237
01;ZAGREBAČKA ŽUPANIJA;grad;SVETA NEDELJA;007;SVETA NEDELJA;ZGRADA GRADSKE UPRAVE, SVETA NEDELJA;TRG ANTE STARČEVIĆA 5;1232;587;587;580;7;66;32;20;73;389
01;ZAGREBAČKA ŽUPANIJA;grad;SVETA NEDELJA;008;SVETONEDELJSKI BREG;U STAROJ KUĆI ĐURE VOJVODIĆA;SVETONEDELJSKI BREG 45;146;83;83;80;3;8;12;2;9;49
01;ZAGREBAČKA ŽUPANIJA;grad;SVETA NEDELJA;009;JAGNJIĆ DOL;BIVŠA CARITASOVA KUĆA;JAGNJIĆ DOL, JAGNJIĆ DOL 86;447;236;236;230;6;46;8;7;5;164
01;ZAGREBAČKA ŽUPANIJA;grad;SVETA NEDELJA;010;NOVAKI;DRUŠTVENI DOM NOVAKI;NOVAKI, NOVAČKA 16;1062;450;449;441;8;69;26;6;25;315
01;ZAGREBAČKA ŽUPANIJA;grad;SVETA NEDELJA;011;NOVAKI;DRUŠTVENI DOM NOVAKI;NOVAKI, NOVAČKA 16;644;308;308;303;5;37;10;8;26;222
01;ZAGREBAČKA ŽUPANIJA;grad;SVETA NEDELJA;012;OREŠJE;DRUŠTVENI DOM  OREŠJE;OREŠJE, TRG LIPA 1;947;523;523;511;12;98;21;8;43;341
01;ZAGREBAČKA ŽUPANIJA;grad;SVETA NEDELJA;013;RAKITJE;DRUŠTVENI DOM RAKITJE, RAKITJE;RAKITSKA ULICA 4;1027;436;435;425;10;52;17;11;38;307
01;ZAGREBAČKA ŽUPANIJA;grad;SVETA NEDELJA;014;RAKITJE;DRUŠTVENI DOM RAKITJE, RAKITJE;RAKITSKA ULICA 4;1152;560;560;553;7;70;39;11;50;383
01;ZAGREBAČKA ŽUPANIJA;grad;SVETA NEDELJA;015;STRMEC;PODRUČNA ŠKOLA STRMEC;STRMEC, ŠKOLSKA 13;1079;480;480;476;4;144;21;13;109;189
01;ZAGREBAČKA ŽUPANIJA;grad;SVETA NEDELJA;016;STRMEC;PODRUČNA ŠKOLA STRMEC;STRMEC, ŠKOLSKA 13;1344;660;660;649;11;169;27;7;124;322
01;ZAGREBAČKA ŽUPANIJA;grad;SVETA NEDELJA;017;STRMEC;PODRUČNA ŠKOLA STRMEC;STRMEC,ŠKOLSKA 13;1191;546;546;538;8;142;22;13;117;244
