Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;"""BANDIĆ MILAN 365 - STRANKA RADA I SOLIDARNOSTI"" - ""365 STRANKA RADA I SOLIDARNOSTI""";DOMOVINSKI POKRET - DP;FOKUS;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA UMIROVLJENIKA - HSU;MOST;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA SELJAČKA STRANKA - HSS, DEMOKRATSKA PRIGORSKO-ZAGREBAČKA STRANKA - DPS;STJEPAN KOŽIĆ - NEZAVISNA LISTA - SKNL
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;001;SVETI IVAN ZELINA I;SV. IVAN ZELINA;TRG A. STARČEVIĆA 1;1021;473;473;454;19;30;20;192;88;13;72;39
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;002;SV. IVAN ZELINA II;SV. IVAN ZELINA;TRG A. STARČEVIĆA 12;790;347;346;339;7;17;15;144;61;15;68;19
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;003;SV.IVAN ZELINA III;SV.IVAN ZELINA-KUĆA ŠPINDERK MARIJE;V.NAZORA 23;610;338;338;336;2;21;14;147;72;8;54;20
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;004;DONJA TOPLIČICA;DRUŠTVENI DOM;DONJA TOPLIČICA 4;54;29;29;27;2;1;0;17;3;1;3;2
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;005;GORNJA TOPLIČICA;DRUŠTVENI DOM;GORNJA TOPLIČICA 21;154;68;68;67;1;3;2;28;12;3;12;7
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;006;BIŠKUPEC ZELINSKI;DRUŠTVENI DOM;ZELINGRADSKA 39, BIŠKUPEC ZELINSKI;876;412;412;398;14;27;39;130;95;25;44;38
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;007;VELIKA GORA;DRUŠTVENI DOM;VELIKA GORA 2 A;183;87;87;85;2;3;7;43;9;0;12;11
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;008;GORNJE PSARJEVO;DRUŠTVENI DOM;GORNJE PSARJEVO 16;299;105;105;104;1;16;7;49;9;0;13;10
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;009;DONJE PSARJEVO;DRUŠTVENI DOM;DONJE PSARJEVO 12 B;237;99;99;96;3;5;8;41;10;1;17;14
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;010;BLAŽEVDOL;DRUŠTVENI DOM;ULICA FUČKANI 12, BLAŽEVDOL;340;156;156;150;6;10;13;69;17;4;11;26
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;011;SELNICA PSARJEVAČKA;DRUŠTVENI DOM;SELNICA PSARJEVAČKA 10;200;83;83;80;3;4;8;20;23;2;13;10
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;012;CURKOVEC;DRUŠTVENI DOM;CURKOVEC 12;68;26;26;26;0;0;6;4;9;0;1;6
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;013;DONJA ZELINA;DRUŠTVENI DOM;DONJOZELINSKA 52, DONJA ZELINA;746;247;247;241;6;15;21;70;69;10;27;29
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;014;BLAŠKOVEC;DRUŠTVENI DOM;BLAŠKOVEČKA 75, BLAŠKOVEC;486;177;177;168;9;33;21;18;36;4;15;41
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;015;NESPEŠ;URED MJESNOG ODBORA;NESPEŠ  5;299;121;121;115;6;13;8;21;17;2;12;42
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;016;BUNJAK;DRUŠTVENI DOM;BUNJAK 23;125;50;50;48;2;16;1;9;5;1;8;8
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;017;GORNJA DRENOVA;DRUŠTVENI DOM;GORNJA DRENOVA 40/B;274;152;152;150;2;7;15;18;8;0;20;82
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;018;DONJA DRENOVA;DRUŠTVENI DOM;DONJA DRENOVA 50;291;110;110;108;2;1;17;12;17;2;5;54
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;019;HRNJANEC;DRUŠTVENI DOM;NOVOSELI 15, HRNJANEC;382;130;130;128;2;11;19;24;15;6;14;39
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;020;SVETA HELENA;DRUŠTVENI DOM;SV. HELENA 54/A;472;183;183;175;8;18;10;60;26;13;23;25
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;021;BANJE SELO;DRUŠTVENI DOM;BANJE SELO 48;117;35;35;34;1;7;7;7;2;2;2;7
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;022;LAKTEC;DRUŠTVENI DOM;LAKTEC 10;136;75;75;75;0;2;3;20;9;0;24;17
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;023;GORIČANEC;DRUŠTVENI DOM;GORIČANEC 1 B;146;47;47;46;1;2;2;13;9;2;7;11
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;024;KRIŽEVČEC;DRUŠTVENI DOM;KRIŽEVČEC  1 B;74;23;23;23;0;1;3;12;2;0;2;3
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;025;MAJKOVEC;DRUŠTVENI DOM;ULICA SVETOG TROJSTVA 50, MAJKOVEC;160;59;59;58;1;1;3;9;2;25;7;11
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;026;PAUKOVEC;DRUŠTVENI DOM;PAUKOVEČKA 17, PAUKOVEC;302;109;109;105;4;6;7;44;14;4;13;17
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;027;BUKEVJE;DRUŠTVENI DOM;BUKEVJE 15 A;83;42;42;41;1;14;6;6;2;2;1;10
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;028;BUKOVEC ZELINSKI;DRUŠTVENI DOM;BUKOVEC ZELINSKI 66 N;331;110;110;106;4;11;8;32;22;1;10;22
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;029;SUHODOL ZELINSKI;KUĆA ŠKRLEC IVICE;SUHODOL ZELINSKI 8;105;42;42;39;3;1;2;11;2;1;3;19
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;030;GORIČICA;ZGRADA ŽUPANIJSKIH CESTA ZAGREBAČKE ŽUPANIJE D.O.O.;ZAGREBAČKA 44A, GORIČICA;357;105;105;101;4;19;14;14;19;6;19;10
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;031;KALINJE;DRUŠTVENI DOM;KALINJE 13 A;224;104;104;99;5;6;2;50;18;2;9;12
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;032;PRETOKI;DRUŠTVENI DOM;PRETOKI 22;434;200;200;194;6;13;6;72;27;6;49;21
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;033;DONJE OREŠJE;DRUŠTVENI DOM;BISTRIČKA 79, DONJE OREŠJE;399;201;201;194;7;11;17;62;41;5;33;25
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;034;GORNJE OREŠJE;DRUŠTVENI DOM;GORNJE OREŠJE 78 A;204;85;85;85;0;12;1;24;29;0;12;7
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;035;HRASTJE;DRUŠTVENI DOM;HRASTJE 52;288;138;138;136;2;10;3;43;41;1;23;15
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;036;ŽITOMIR;DRUŠTVENI DOM;ŽITOMIR 16 D;135;52;52;52;0;9;0;28;1;0;7;7
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;037;PREPOLNO;PODRUČNA ŠKOLA;PREPOLNO 3;44;22;22;22;0;3;1;2;9;1;5;1
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;038;ZADRKOVEC;DRUŠTVENI DOM;ZADRKOVEC 25 D;254;100;100;98;2;10;8;22;19;2;23;14
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;039;KOMIN;PODRUČNA ŠKOLA;KOMIN 36;299;118;118;116;2;5;1;35;19;1;26;29
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;040;TOMAŠEVEC;DRUŠTVENI DOM;TOMAŠEVEC 28 D;157;73;73;71;2;2;6;32;16;1;8;6
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;041;RADOIŠĆE;DRUŠTVENI DOM;RADOIŠĆE 97B;207;82;82;79;3;1;2;35;16;1;4;20
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;042;ZRINŠĆINA;DRUŠTVENI DOM;ZRINŠĆINA 30 A;112;34;34;34;0;0;3;15;8;1;2;5
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;043;SALNIK;DRUŠTVENI DOM;SALNIK 31;137;49;49;49;0;0;3;11;17;0;9;9
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;044;MARINOVEC ZELINSKI;DRUŠTVENI DOM;MARINOVEC ZELINSKI 27;107;48;48;48;0;2;1;29;8;0;6;2
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;045;ŠULINEC;DRUŠTVENI DOM;ŠULINEC 26 A;207;96;96;95;1;5;4;47;13;2;17;7
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;046;KREČAVES;DRUŠTVENI DOM;KREČAVES 53;195;93;93;91;2;6;3;40;20;2;8;12
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;047;NOVO MJESTO;DRUŠTVENI DOM;NOVO MJESTO 44;109;50;50;50;0;2;2;13;6;6;17;4
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;048;POLONJE I;DRUŠTVENI DOM;POLONJE 8 A;185;72;72;69;3;7;1;27;13;4;3;14
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;049;POLONJE II;DRUŠTVENI DOM;POLONJE TOMAŠEVEČKO 105 A;143;77;77;76;1;30;2;13;19;0;3;9
