Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;BORISLAV KOVAČIĆ;JAVOR BOJAN LEŠ;MILJENKO ŠIMUNOVIĆ
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;001;IVANIĆ-GRAD - JALŠEVEC BREŠKI;DRUŠTVENI DOM U JALŠEVCU BREŠKOM;IVANIĆ-GRAD;584;258;258;244;14;51;180;13
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;002;OPATINEC;DRUŠTVENI DOM OPATINEC;OPATINEC;352;129;129;122;7;28;80;14
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;003;IVANIĆ-GRAD - LONJA;DRUŠTVENI DOM LONJA;STJEPANA GREGORKA BB, IVANIĆ-GRAD;1112;422;422;403;19;54;332;17
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;004;IVANIĆ-GRAD - POLJANA 1;UČENIČKI DOM;ULICA SLOBODE BB, IVANIĆ-GRAD;579;244;244;233;11;80;149;4
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;005;TREBOVEC;DRUŠTVENI DOM TREBOVEC;TREBOVEC;301;91;91;91;0;13;77;1
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;006;POSAVSKI BREGI;DRUŠTVENI DOM POSAVSKI BREGI;POSAVSKI BREGI;733;233;233;224;9;35;165;24
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;007;GREDA BREŠKA;DRUŠTVENI DOM GREDA BREŠKA;GREDA BREŠKA;276;103;103;99;4;20;71;8
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;008;LIJEVI DUBROVČAK;STARA ŠKOLA;LIJEVI DUBROVČAK;373;165;165;159;6;33;113;13
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;009;PREROVEC;DRUŠTVENI DOM PREROVEC;PREROVEC;84;31;31;30;1;7;14;9
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;010;PREČNO;DRUŠTVENI DOM PREČNO;PREČNO;64;17;17;16;1;4;12;0
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;011;CAGINEC;DRUŠTVENI DOM CAGINEC;CAGINEC;820;260;260;247;13;44;186;17
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;012;GRABERJE IVANIĆKO;DRUŠTVENI DOM GRABERJE IVANIĆKO;ZAGREBAČKA UL. BB, GRABERJE IVANIĆKO;768;223;223;218;5;59;130;29
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;013;ŠUMEĆANI;DRUŠTVENI DOM ŠUMEĆANI;ŠUMEĆANI;394;122;122;120;2;22;88;10
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;014;DEANOVEC;DRUŠTVENI DOM DEANOVEC;DEANOVEC;464;207;207;197;10;33;154;10
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;015;IVANIĆ-GRAD - ŠARAMPOV GORNJI 1;"O.Š.""STJEPANA BASARIČEKA""";UL. MILKE TRNINE BB, IVANIĆ-GRAD;855;373;373;362;11;90;253;19
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;016;IVANIĆ-GRAD - ŠARAMPOV GORNJI 2;"SPOMEN DOM ""A. VULINCA"" - I. KAT";BELICEVA 1, IVANIĆ-GRAD;1192;405;405;389;16;75;291;23
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;017;IVANIĆ-GRAD - CENTAR 1;MALA SALA PUČKOG OTVORENOG UČILIŠTA;MOSLAVAČKA 11, IVANIĆ-GRAD;552;260;260;246;14;67;169;10
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;018;IVANIĆ-GRAD - CENTAR 2;DOM UMIROVLJENIKA;UL. KRALJA TOMISLAVA BB, IVANIĆ-GRAD;896;386;386;375;11;88;258;29
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;019;IVANIĆ-GRAD - POLJANA 2;DRUŠTVENI DOM POLJANA;SAVSKA BB, IVANIĆ-GRAD;724;293;293;268;25;52;198;18
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;020;IVANIĆ-GRAD - DONJI ŠARAMPOV;DRUŠTVENI DOM;MAJDEKOVA BB, DONJI ŠARAMPOV;545;208;208;197;11;38;151;8
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;021;IVANIĆ-GRAD - ŠARAMPOV GORNJI 3;SPORTSKA DVORANA ŽERAVINEC;MILKE TRNINE BB, IVANIĆ-GRAD;587;227;227;217;10;53;156;8
