Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;"""BANDIÆ MILAN 365 - STRANKA RADA I SOLIDARNOSTI"" - ""365 STRANKA RADA I SOLIDARNOSTI"", HRVATSKA SELJAÈKA STRANKA BRAÆE RADIÆ - HSS BRAÆE RADIÆ";DOMOVINSKI POKRET - DP;KANDIDACIJSKA LISTA GRUPE BIRAÈA - HRVOJE HERÈEK;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA UMIROVLJENIKA - HSU, STJEPAN KOŽIÆ - NEZAVISNA LISTA - SKNL, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;HRVATSKA STRANKA PRAVA - HSP;NARODNA STRANKA - REFORMISTI - REFORMISTI;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKI LABURISTI - STRANKA RADA - LABURISTI;KANDIDACIJSKA LISTA GRUPE BIRAÈA - STJEPAN TVORIÆ
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;001;VRBOVEC I;VELIKA GRADSKA VIJEÆNICA;TRG P. ZRINSKOG 9, VRBOVEC;702;404;404;398;6;27;18;20;39;10;13;239;32
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;002;VRBOVEC II;SALA UDRUŽENJA OBRTNIKA VRBOVEC;KRIŽEVAÈKA 4, VRBOVEC;436;255;255;251;4;29;7;20;39;2;1;139;14
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;003;VRBOVEC III;DRUŠTVENI DOM U GRADEÈKOJ ULICI;GRADEÈKA 70, VRBOVEC;402;239;239;233;6;8;12;16;23;4;3;157;10
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;004;VRBOVEC IV;UDRUGA UMIROVLJENIKA;BRDO 3, VRBOVEC;666;332;332;327;5;27;14;25;45;5;9;162;40
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;005;VRBOVEC V;DVORANA PUÈKOG OTVORENOG UÈILIŠTA VRBOVEC;KOLODVORSKA 1, VRBOVEC;633;273;273;265;8;19;10;25;24;4;1;147;35
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;006;VRBOVEC VI;POSLOVNI PROSTOR KIRŠA;BUBANJ 10;791;455;455;442;13;25;20;32;66;2;5;261;31
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;007;VRBOVEC VII;DJEÈJI VRTIÆ VRBOVEC, PODRUÈNI OBJEKT;EUGENA DE PIENNESA 14 F, VRBOVEC;794;443;443;435;8;44;10;29;52;6;7;273;14
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;008;VRBOVEÈKI PAVLOVEC;DRUŠTVENI DOM;VRBOVEÈKI PAVLOVEC 75, VRBOVEC;323;199;199;198;1;23;0;3;27;3;5;125;12
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;009;MARTINSKA VES;DRUŠTVENI DOM;RADNIÈKA 8, VRBOVEC;391;189;189;187;2;16;2;3;28;1;7;118;12
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;010;LUKA;DRUŠTVENI DOM;LUKA 46;767;378;378;360;18;33;13;10;79;3;2;194;26
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;011;NOVO SELO;DRUŠTVENI DOM;NOVO SELO BB;87;29;29;27;2;4;1;2;6;0;0;13;1
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;012;CELINE;VATROGASNI DOM;CELINE 54;798;445;445;432;13;32;10;10;54;9;7;288;22
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;013;CERJE;DRUŠTVENI DOM;CERJE 15;160;103;103;101;2;6;0;10;26;1;0;53;5
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;014;BRÈEVEC;DRUŠTVENI DOM;BRÈEVEC 46;469;223;223;217;6;12;4;1;30;3;6;88;73
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;015;POLJANA;DRUŠTVENI DOM;POLJANA 153;278;161;161;158;3;29;3;9;29;1;1;82;4
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;016;POLJANSKI LUG;DRUŠTVENI DOM;POLJANSKI LUG 11;314;150;150;145;5;13;4;4;25;2;5;81;11
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;017;PRILESJE;DRUŠTVENI DOM;PRILESJE 38;144;60;60;58;2;6;5;1;13;0;2;25;6
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;018;KONAK;DRUŠTVENI DOM;KONAK 12B;128;98;98;97;1;1;3;20;12;0;0;59;2
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;019;GORNJI TKALEC;VATROGASNI DOM;GORNJI TKALEC 47;228;92;92;91;1;28;3;1;21;1;1;32;4
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;020;ŽUNCI;VATROGASNI DOM;ŽUNCI 6;132;50;50;49;1;7;2;0;10;0;3;26;1
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;021;LOVREÈKA VELIKA;KUÆA KATICE ŠEREMET;LOVREÈKA VELIKA 21;172;101;101;99;2;20;3;3;7;2;0;63;1
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;022;GOSTOVIÆ;DRUŠTVENI DOM;GOSTOVIÆ 10;114;49;49;47;2;7;3;0;5;0;2;30;0
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;023;BANOVO;OSNOVNA ŠKOLA, UÈIONICA BR. 1;BANOVO 13;92;61;61;58;3;2;1;2;11;2;0;37;3
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;024;PODOLEC;OSNOVNA ŠKOLA, UÈIONICA BR. 2;BANOVO 13;132;48;48;48;0;6;4;2;6;0;0;30;0
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;025;LOVREÈKA VAROŠ;DRUŠTVENI DOM;LOVREÈKA VAROŠ 34;124;83;83;81;2;24;6;2;8;0;1;39;1
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;026;LUKOVO;DRUŠTVENI DOM;LUKOVO 78;154;85;85;82;3;17;5;5;12;0;4;38;1
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;027;TOPOLOVEC;KUÆA GORANA GREGURIÆA;TOPOLOVEC 5A;98;55;55;50;5;3;3;3;1;0;0;40;0
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;028;MARENIÆ;DRUŠTVENI DOM;MARENIÆ 28;107;45;45;44;1;2;1;3;16;0;2;19;1
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;029;LONJICA;VATROGASNI DOM;LONJICA 128;828;402;402;392;10;17;20;8;58;1;0;283;5
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;030;PESKOVEC;VATROGASNI DOM;PESKOVEC 39;250;102;102;100;2;8;5;1;14;0;1;71;0
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;031;GREDA;DRUŠTVENI DOM;GREDA 25;120;52;52;52;0;5;3;0;5;0;4;31;4
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;032;SAMOBOREC;DRUŠTVENI DOM;SAMOBOREC 11;86;63;63;63;0;1;0;0;18;0;0;43;1
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;033;GAJ;VATROGASNI DOM;GAJ 47;315;170;170;165;5;18;4;13;44;1;6;75;4
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;034;DIJANEŠ;DRUŠTVENI DOM;DIJANEŠ 61;133;74;74;72;2;8;0;0;13;0;9;40;2
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;035;KRKAÈ;DRUŠTVENI DOM;KRKAÈ BB;71;33;33;32;1;3;1;2;10;0;0;16;0
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;036;PIRAKOVEC;DRUŠTVENI DOM;PIRAKOVEC 13;118;57;57;55;2;14;2;0;4;0;1;34;0
01;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;037;DULEPSKA;DRUŠTVENI DOM;DULEPSKA 44;134;35;35;34;1;4;2;0;3;0;2;23;0
