Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;CENTAR;FOKUS, HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA UMIROVLJENIKA - HSU;HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  ROBERT MAGDIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP;STJEPAN KOŽIÆ - NEZAVISNA LISTA - SKNL
01;ZAGREBAÈKA ŽUPANIJA;opæina;KRIŽ;001;BUNJANI;DRUŠTVENI DOM;BUNJANI, MOSLAVAÈKA ULICA 71;562;175;175;169;6;10;91;5;27;24;12
01;ZAGREBAÈKA ŽUPANIJA;opæina;KRIŽ;002;GORNJI PRNJAROVEC;MONTAŽNI OBJEKT (KONTEJNER) NA MJESTU BIVŠEG DRUŠTVENOG DOMA;GORNJI PRNJAROVEC 28;293;153;153;149;4;23;88;1;28;7;2
01;ZAGREBAÈKA ŽUPANIJA;opæina;KRIŽ;003;REÈICA KRIŠKA;DRUŠTVENI DOM;REÈICA KRIŠKA, KRIŠKA ULICA 19;265;115;115;111;4;7;69;7;10;9;9
01;ZAGREBAÈKA ŽUPANIJA;opæina;KRIŽ;004;RAZLJEV;DRUŠTVENI DOM;RAZLJEV, PEŠÈENIÆKA ULICA 2;107;41;41;40;1;1;26;4;2;7;0
01;ZAGREBAÈKA ŽUPANIJA;opæina;KRIŽ;005;KONŠÆANI;DRUŠTVENI DOM;KONŠÆANI 9;148;71;71;68;3;1;46;2;7;11;1
01;ZAGREBAÈKA ŽUPANIJA;opæina;KRIŽ;006;DONJI PRNJAROVEC;DRUŠTVENI DOM;DONJI PRNJAROVEC 20;56;27;27;27;0;6;12;2;7;0;0
01;ZAGREBAÈKA ŽUPANIJA;opæina;KRIŽ;007;ŠUŠNJARI;DRUŠTVENI DOM;ŠUŠNJARI 74;98;46;46;46;0;1;28;1;7;6;3
01;ZAGREBAÈKA ŽUPANIJA;opæina;KRIŽ;008;JOHOVEC;DRUŠTVENI DOM;JOHOVEC 29 A;104;54;54;52;2;3;21;0;2;11;15
01;ZAGREBAÈKA ŽUPANIJA;opæina;KRIŽ;009;MALA HRASTILNICA;DRUŠTVENI DOM;MALA HRASTILNICA 29;74;42;42;40;2;1;28;1;2;3;5
01;ZAGREBAÈKA ŽUPANIJA;opæina;KRIŽ;010;VELIKA HRASTILNICA;DRUŠTVENI DOM;VELIKA HRASTILNICA 14;121;51;51;50;1;2;16;15;6;6;5
01;ZAGREBAÈKA ŽUPANIJA;opæina;KRIŽ;011;ŠIRINEC;DRUŠTVENI DOM;ŠIRINEC 49;213;85;85;81;4;3;42;2;15;10;9
01;ZAGREBAÈKA ŽUPANIJA;opæina;KRIŽ;012;OKEŠINEC;DRUŠTVENI DOM;OKEŠINEC, ÈESMANSKA ULICA130;322;129;129;124;5;8;65;10;7;25;9
01;ZAGREBAÈKA ŽUPANIJA;opæina;KRIŽ;013;VEZIŠÆE;DRUŠTVENI DOM;VEZIŠÆE 31;216;81;81;79;2;8;45;4;9;2;11
01;ZAGREBAÈKA ŽUPANIJA;opæina;KRIŽ;014;OBEDIŠÆE;DRUŠTVENI DOM;OBEDIŠÆE, ZAGREBAÈKA ULICA 113;501;176;176;168;8;10;110;9;15;13;11
01;ZAGREBAÈKA ŽUPANIJA;opæina;KRIŽ;015;NOVOSELEC I;VATROGASNI DOM;NOVOSELEC, MOSLAVAÈKA ULICA 115;586;243;243;239;4;20;99;37;35;37;11
01;ZAGREBAÈKA ŽUPANIJA;opæina;KRIŽ;016;NOVOSELEC II;OBJEKT DJEÈJEG VRTIÆA U NOVOSELCU;NOVOSELEC, ULICA HRVATSKE MLADEŽI 23 A;566;229;229;219;10;12;108;8;49;31;11
01;ZAGREBAÈKA ŽUPANIJA;opæina;KRIŽ;017;KRIŽ I;OSNOVNA ŠKOLA MILKE TRNINE;KRIŽ, ŠKOLSKA ULICA 20;601;325;325;311;14;23;148;5;92;29;14
01;ZAGREBAÈKA ŽUPANIJA;opæina;KRIŽ;018;KRIŽ II;OSNOVNA ŠKOLA MILKE TRNINE;KRIŽ, ŠKOLSKA ULICA 20;435;245;245;240;5;20;91;5;77;40;7
01;ZAGREBAÈKA ŽUPANIJA;opæina;KRIŽ;019;KRIŽ III;"DOM U DONJEM KRIŽU (""PATROLNICA"")";KRIŽ, MOSLAVAÈKA ULICA 2;444;184;184;180;4;7;93;13;41;19;7
