Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;JURAJ KRŠEVAN DOVRANIĆ;NIKOLA KOŽAR;MARTIN MARTIĆ
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;001;PRESEKA;ZGRADA OPĆINE;PRESEKA 57;79;43;43;43;0;4;23;16
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;002;SLATINA;MJESNI DOM;SLATINA BB;89;46;46;45;1;9;24;12
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;003;KAMENICA;OBITELJSKA KUĆA MARIJA GUDIĆA;KAMENICA 12A;55;26;26;26;0;21;4;1
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;004;POGANČEC;MJESNI DOM;POGANČEC BB;67;47;47;46;1;3;43;0
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;005;ŠELOVEC;MJESNI DOM;ŠELOVEC BB;125;48;48;48;0;17;13;18
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;006;VINKOVEC;MJESNI DOM;VINKOVEC BB;142;65;65;64;1;5;24;35
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;007;KRUŠLJEVEC;OBITELJSKA KUĆA GUČANIN BOŽICE;KRUŠLJEVEC 30;47;31;31;31;0;0;16;15
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;008;GORNJAKI;OBITELJSKA KUĆA HABIJANEC SLAVKA;GORNJAKI 13;36;23;23;21;2;0;11;10
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;009;LEDINA;MJESNI DOM;LEDINA BB;134;63;63;62;1;14;31;17
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;010;KRALJEV VRH-STRMEC;VATROGASNI DOM;KRALJEV VRH 11;84;65;65;65;0;7;24;34
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;011;ŽABNJAK;OBITELJSKA KUĆA BERNARDICE KIŠUR;ŽABNJAK 26;46;18;18;18;0;1;8;9
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;012;DONJA VELIKA;KUĆA LEŠČIĆ ĐURE;DONJA VELIKA 26;48;18;18;18;0;1;5;12
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;013;SREDNJA VELIKA;OBITELJSKA KUĆA  HRGOVAN DAVORA;SREDNJA VELIKA 13A;32;14;14;14;0;0;8;6
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;014;GORNJA VELIKA;OBITELJSKA KUĆA STJEPANA ZAREPA;GORNJA VELIKA 12;47;30;30;30;0;1;10;19
