Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;LJUBICA AMBRUŠEC;DRAŽEN HEREK;DRAŽEN SALAJ;MATEJA ŠIMEK;FABIJAN TADIĆ
01;ZAGREBAČKA ŽUPANIJA;općina;GRADEC;001;GRADEC;ZGRADA OPĆINE GRADEC;GRADEC 134;381;203;203;200;3;123;49;1;10;17
01;ZAGREBAČKA ŽUPANIJA;općina;GRADEC;002;GRADEČKI PAVLOVEC;DRUŠTVENI DOM;GRADEČKI PAVLOVEC;374;178;178;176;2;117;22;3;16;18
01;ZAGREBAČKA ŽUPANIJA;općina;GRADEC;003;POTOČEC;VATROGASNI DOM POTOČEC;POTOČEC;83;46;46;45;1;21;12;3;3;6
01;ZAGREBAČKA ŽUPANIJA;općina;GRADEC;004;MALI BREZOVEC;DRUŠTVENI DOM MALI BREZOVEC;MALI BREZOVEC;48;25;25;25;0;17;4;0;1;3
01;ZAGREBAČKA ŽUPANIJA;općina;GRADEC;005;VELIKI BREZOVEC;VATROGASNI DOM VELIKI BREZOVEC;VELIKI BREZOVEC;152;77;77;77;0;64;3;4;6;0
01;ZAGREBAČKA ŽUPANIJA;općina;GRADEC;006;PODJALES;VATROGASNI DOM PODJALES;PODJALES;134;68;68;68;0;45;13;1;2;7
01;ZAGREBAČKA ŽUPANIJA;općina;GRADEC;007;REPINEC;VATROGASNI DOM REPINEC;REPINEC;188;82;82;80;2;63;11;0;4;2
01;ZAGREBAČKA ŽUPANIJA;općina;GRADEC;008;FESTINEC;VATROGASNI DOM FESTINEC;FESTINEC;42;22;22;22;0;19;2;0;1;0
01;ZAGREBAČKA ŽUPANIJA;općina;GRADEC;009;POKASIN;VATROGASNI DOM POKASIN;POKASIN;46;30;30;30;0;28;1;0;1;0
01;ZAGREBAČKA ŽUPANIJA;općina;GRADEC;010;CUGOVEC;DRUŠTVENI DOM CUGOVEC;CUGOVEC;345;151;151;151;0;74;46;3;24;4
01;ZAGREBAČKA ŽUPANIJA;općina;GRADEC;011;GRABRIĆ;KUĆA KOVAČIĆ MATE;GRABRIĆ 53;73;39;39;39;0;26;11;0;1;1
01;ZAGREBAČKA ŽUPANIJA;općina;GRADEC;012;ZABRĐE;VATROGASNI DOM ZABRĐE;ZABRĐE;116;41;41;41;0;29;6;2;1;3
01;ZAGREBAČKA ŽUPANIJA;općina;GRADEC;013;FUKA;LUGARNICA FUKA;FUKA;77;36;36;36;0;21;4;4;7;0
01;ZAGREBAČKA ŽUPANIJA;općina;GRADEC;014;STARI GLOG;DRUŠTVENI DOM STARI GLOG;STARI GLOG;86;39;39;37;2;32;0;3;2;0
01;ZAGREBAČKA ŽUPANIJA;općina;GRADEC;015;REMETINEC;KUĆA RANKE ŠKRLEC;REMETINEC 10;46;18;18;18;0;17;0;0;1;0
01;ZAGREBAČKA ŽUPANIJA;općina;GRADEC;016;HAGANJ;PODRUČNA ŠKOLA HAGANJ;HAGANJ;400;205;205;202;3;33;96;10;62;1
01;ZAGREBAČKA ŽUPANIJA;općina;GRADEC;017;LUBENA;VATROGASNI DOM LUBENA;LUBENA;110;59;59;56;3;34;16;4;2;0
01;ZAGREBAČKA ŽUPANIJA;općina;GRADEC;018;TUČENIK;DRUŠTVENI DOM TUČENIK;TUČENIK;222;143;143;142;1;100;6;15;21;0
