Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA SELJAČKA STRANKA - HSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA STRANKA UMIROVLJENIKA - HSU;STJEPAN KOŽIĆ - NEZAVISNA LISTA - SKNL;STRANKA IVANA PERNARA - SIP
01;ZAGREBAČKA ŽUPANIJA;općina;BRDOVEC;001;BRDOVEC;KINO-DVORANA BRDOVEC;BRDOVEC, TRG DR. FRANJE TUĐMANA 1;1306;475;475;450;25;59;184;16;151;21;19
01;ZAGREBAČKA ŽUPANIJA;općina;BRDOVEC;002;BRDOVEC;PREDVORJE KINO-DVORANE BRDOVEC;BRDOVEC, TRG DR. FRANJE TUĐMANA 1;1326;493;493;467;26;64;103;37;219;28;16
01;ZAGREBAČKA ŽUPANIJA;općina;BRDOVEC;003;JAVORJE;DRUŠTVENI DOM JAVORJE;JAVORJE, SAVSKA 5A;618;250;250;239;11;44;49;24;89;22;11
01;ZAGREBAČKA ŽUPANIJA;općina;BRDOVEC;004;PRIGORJE BRDOVEČKO;DRUŠTVENI DOM PRIGORJE BRDOVEČKO;PRIGORJE BRDOVEČKO, ŠKOLSKA 9;1259;466;466;449;17;71;93;37;194;33;21
01;ZAGREBAČKA ŽUPANIJA;općina;BRDOVEC;005;PRUDNICE;DRUŠTVENI DOM PRUDNICE;PRUDNICE, PRUDNIČKA CESTA 2;629;212;212;203;9;29;27;35;96;13;3
01;ZAGREBAČKA ŽUPANIJA;općina;BRDOVEC;006;ZDENCI BRDOVEČKI;DRUŠTVENI DOM ZDENCI BRDOVEČKI;ZDENCI BRDOVEČKI, ZDENAČKA 82;1086;389;389;362;27;54;63;18;196;11;20
01;ZAGREBAČKA ŽUPANIJA;općina;BRDOVEC;007;DRENJE BRDOVEČKO;DRUŠTVENI DOM DRENJE BRDOVEČKO;DRENJE BRDOVEČKO, VATROGASNA 1;552;245;245;235;10;23;34;19;106;45;8
01;ZAGREBAČKA ŽUPANIJA;općina;BRDOVEC;008;LADUČ;DRUŠTVENI DOM LADUČ;GORNJI LADUČ, ZAGREBAČKA 47;1502;507;507;481;26;81;115;36;206;24;19
01;ZAGREBAČKA ŽUPANIJA;općina;BRDOVEC;009;HARMICA;DRUŠTVENI DOM HARMICA;HARMICA, DUBRAVIČKA 6;220;112;112;111;1;9;13;24;52;9;4
01;ZAGREBAČKA ŽUPANIJA;općina;BRDOVEC;010;KLJUČ BRDOVEČKI;DRUŠTVENI DOM KLJUČ BRDOVEČKI;KLJUČ BRDOVEČKI, MOKRIČKA 47;494;231;231;225;6;17;58;25;102;12;11
01;ZAGREBAČKA ŽUPANIJA;općina;BRDOVEC;011;ŠENKOVEC;DRUŠTVENI DOM ŠENKOVEC;ŠENKOVEC, ZAGREBAČKA 44;615;207;207;199;8;15;44;19;99;8;14
01;ZAGREBAČKA ŽUPANIJA;općina;BRDOVEC;012;VUKOVO SELO;DRUŠTVENI DOM VUKOVO SELO;VUKOVO SELO, RIBIČKA 1;415;139;139;136;3;14;32;14;67;6;3
