Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;VLADO KOLAREC;DANIJEL PETRAC
01;ZAGREBAČKA ŽUPANIJA;općina;KRAVARSKO;001;BARBARIĆ KRAVARSKI;OPĆINSKI DOM;STARA GORA 69;171;91;91;89;2;60;29
01;ZAGREBAČKA ŽUPANIJA;općina;KRAVARSKO;002;ČAKANEC;KUĆA-SLAVEK PEJAK;ČAKANEC 32;45;23;23;23;0;18;5
01;ZAGREBAČKA ŽUPANIJA;općina;KRAVARSKO;003;DONJI HRUŠEVEC;OPĆINSKI DOM;DONJI HRUŠEVEC 13;260;148;148;148;0;99;49
01;ZAGREBAČKA ŽUPANIJA;općina;KRAVARSKO;004;GLADOVEC KRAVARSKI;OPĆINSKI DOM;GLADOVEC KRAVARSKI BB;132;84;84;84;0;56;28
01;ZAGREBAČKA ŽUPANIJA;općina;KRAVARSKO;005;GORNJI HRUŠEVEC;EKO-ETNO SPORTSKO REKREACIJSKI CENTAR KRAVARŠĆICA;GORNJI HRUŠEVEC BB;216;119;119;114;5;70;44
01;ZAGREBAČKA ŽUPANIJA;općina;KRAVARSKO;006;KRAVARSKO;OPĆINSKI DOM;TRG STJEPANA RADIĆA 16;504;290;290;283;7;147;136
01;ZAGREBAČKA ŽUPANIJA;općina;KRAVARSKO;007;NOVO BRDO;OPĆINSKI DOM;GLAVNA 29;71;42;42;40;2;28;12
01;ZAGREBAČKA ŽUPANIJA;općina;KRAVARSKO;008;PODVORNICA;OPĆINSKI DOM;PODVORNIČKI VIJENAC 47;134;61;61;58;3;15;43
01;ZAGREBAČKA ŽUPANIJA;općina;KRAVARSKO;009;PUSTIKE;OPĆINSKI OBJEKT (BIVŠI VOJNI OBJEKT);BARBARIČKA CESTA 85;93;49;49;48;1;37;11
01;ZAGREBAČKA ŽUPANIJA;općina;KRAVARSKO;010;ŽITKOVČICA;KUĆA-JOSIP DRVODELIĆ;ŽITKOVČICA 5;34;27;27;27;0;8;19
