Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA SELJAČKA STRANKA - HSS, SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP;STJEPAN KOŽIĆ - NEZAVISNA LISTA - SKNL
01;ZAGREBAČKA ŽUPANIJA;općina;RUGVICA;001;SOP - HRUŠČICA;DOM U SOPI;SOP;509;225;225;216;9;15;127;54;20
01;ZAGREBAČKA ŽUPANIJA;općina;RUGVICA;002;OTOK SVIBOVSKI;DOM U OTOKU SVIBOVSKOM;OTOK SVIBOVSKI;1429;619;619;605;14;82;385;113;25
01;ZAGREBAČKA ŽUPANIJA;općina;RUGVICA;003;JALŠEVEC NARTSKI;DOM U JALŠEVCU NARTSKOM;JALŠEVEC NARTSKI;1938;746;746;721;25;87;537;77;20
01;ZAGREBAČKA ŽUPANIJA;općina;RUGVICA;004;RUGVICA;DRUŠTVENI DOM;TRG DR. FRANJE TUĐMANA 1, RUGVICA;1492;688;688;668;20;66;465;103;34
01;ZAGREBAČKA ŽUPANIJA;općina;RUGVICA;005;ČRNEC DUGOSELSKI;DOM U ČRNCU DUGOSELSKOM;ČRNEC DUGOSELSKI;177;97;97;97;0;46;27;17;7
01;ZAGREBAČKA ŽUPANIJA;općina;RUGVICA;006;ČRNEC RUGVIČKI;KUĆA HORVAT IVANA;ČRNEC RUGVIČKI, S. RADIĆA 7;65;40;40;39;1;12;22;3;2
01;ZAGREBAČKA ŽUPANIJA;općina;RUGVICA;007;JEŽEVO;DOM U JEŽEVU;JEŽEVO;378;208;208;207;1;28;107;62;10
01;ZAGREBAČKA ŽUPANIJA;općina;RUGVICA;008;OBEDIŠĆE JEŽEVSKO;DOM U OBEDIŠĆU JEŽEVSKOM;OBEDIŠĆE JEŽEVSKO;97;55;55;52;3;3;30;17;2
01;ZAGREBAČKA ŽUPANIJA;općina;RUGVICA;009;DONJA GREDA;DOM U DONJOJ GREDI;DONJA GREDA;102;67;67;63;4;22;14;24;3
01;ZAGREBAČKA ŽUPANIJA;općina;RUGVICA;010;NOVAKI OBOROVSKI;DOM U NOVAKIMA OBOROVSKIM;NOVAKI OBOROVSKI;247;117;117;114;3;6;68;34;6
01;ZAGREBAČKA ŽUPANIJA;općina;RUGVICA;011;PRESEKA OBOROVSKA;DOM U PRESEKI OBOROVSKOJ;PRESEKA OBOROVSKA;121;43;43;41;2;1;27;9;4
01;ZAGREBAČKA ŽUPANIJA;općina;RUGVICA;012;OBOROVO GORNJE;DOM  U RADIĆEVOJ ULICI;OBOROVO;201;77;77;73;4;11;39;11;12
01;ZAGREBAČKA ŽUPANIJA;općina;RUGVICA;013;OBOROVO DONJE;DOM U OBOROVU;OBOROVO;302;158;158;155;3;42;73;23;17
01;ZAGREBAČKA ŽUPANIJA;općina;RUGVICA;014;PREVLAKA;DOM U PREVLAKI;PREVLAKA;75;40;40;40;0;2;24;8;6
