Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;"""BANDIĆ MILAN 365 - STRANKA RADA I SOLIDARNOSTI"" - ""365 STRANKA RADA I SOLIDARNOSTI""";HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA SELJAČKA STRANKA - HSS;KANDIDACIJSKA LISTA GRUPE BIRAČA -  IVAN POPOVIĆ
01;ZAGREBAČKA ŽUPANIJA;općina;KRAVARSKO;001;BARBARIĆ KRAVARSKI;OPĆINSKI DOM;STARA GORA 69;171;91;91;90;1;5;55;20;10
01;ZAGREBAČKA ŽUPANIJA;općina;KRAVARSKO;002;ČAKANEC;KUĆA-SLAVEK PEJAK;ČAKANEC 32;45;23;23;23;0;3;14;1;5
01;ZAGREBAČKA ŽUPANIJA;općina;KRAVARSKO;003;DONJI HRUŠEVEC;OPĆINSKI DOM;DONJI HRUŠEVEC 13;260;148;148;144;4;5;77;29;33
01;ZAGREBAČKA ŽUPANIJA;općina;KRAVARSKO;004;GLADOVEC KRAVARSKI;OPĆINSKI DOM;GLADOVEC KRAVARSKI BB;132;84;84;83;1;4;49;21;9
01;ZAGREBAČKA ŽUPANIJA;općina;KRAVARSKO;005;GORNJI HRUŠEVEC;EKO-ETNO SPORTSKO REKREACIJSKI CENTAR KRAVARŠĆICA;GORNJI HRUŠEVEC BB;216;119;119;114;5;13;68;31;2
01;ZAGREBAČKA ŽUPANIJA;općina;KRAVARSKO;006;KRAVARSKO;OPĆINSKI DOM;TRG STJEPANA RADIĆA 16;504;290;290;281;9;51;108;110;12
01;ZAGREBAČKA ŽUPANIJA;općina;KRAVARSKO;007;NOVO BRDO;OPĆINSKI DOM;GLAVNA 29;71;42;42;39;3;3;21;11;4
01;ZAGREBAČKA ŽUPANIJA;općina;KRAVARSKO;008;PODVORNICA;OPĆINSKI DOM;PODVORNIČKI VIJENAC 47;134;61;61;58;3;0;17;33;8
01;ZAGREBAČKA ŽUPANIJA;općina;KRAVARSKO;009;PUSTIKE;OPĆINSKI OBJEKT (BIVŠI VOJNI OBJEKT);BARBARIČKA CESTA 85;93;49;49;47;2;1;35;11;0
01;ZAGREBAČKA ŽUPANIJA;općina;KRAVARSKO;010;ŽITKOVČICA;KUĆA-JOSIP DRVODELIĆ;ŽITKOVČICA 5;34;27;27;27;0;7;2;17;1
