Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;TOMO KOVAČIĆ;DOMINIK KRAMARIĆ;IGOR RUBEŠA
01;ZAGREBAČKA ŽUPANIJA;općina;PISAROVINA;001;BIRAČKO MJESTO BR.1 - PISAROVINA;ZGRADA OPĆINE;TRG HRVATSKIH VELIKANA 1, PISAROVINA;459;251;251;241;10;149;67;25
01;ZAGREBAČKA ŽUPANIJA;općina;PISAROVINA;002;BIRAČKO MJESTO BR.2 - VELIKA JAMNIČKA;KUĆA STJEPANA POLDRUGAČ;VELIKA JAMNIČKA 9 A;170;85;85;84;1;41;42;1
01;ZAGREBAČKA ŽUPANIJA;općina;PISAROVINA;003;BIRAČKO MJESTO BR.3 - DVORANCI;KUĆA MARICE BRITVEC;DVORANCI 74;139;63;63;63;0;53;7;3
01;ZAGREBAČKA ŽUPANIJA;općina;PISAROVINA;004;BIRAČKO MJESTO BR.4 - BRATINA;DRUŠTVENI DOM BRATINA;BRATINA;607;222;222;216;6;88;33;95
01;ZAGREBAČKA ŽUPANIJA;općina;PISAROVINA;005;BIRAČKO MJESTO BR.5-BREGANA PISAROVINSKA;ZGRADA STARE ŠKOLE;BREGANA PISAROVINSKA;285;111;111;107;4;57;39;11
01;ZAGREBAČKA ŽUPANIJA;općina;PISAROVINA;006;BIRAČKO MJESTO BR.6 - LIJEVO SREDIČKO;DRUŠTVENI DOM LIJEVO SREDIČKO;LIJEVO SREDIČKO;176;77;77;76;1;47;26;3
01;ZAGREBAČKA ŽUPANIJA;općina;PISAROVINA;007;BIRAČKO MJESTO BR.7 - GRADEC POKUPSKI;DRUŠTVENI DOM GRADEC POKUPSKI;GRADEC POKUPSKI;96;58;58;54;4;28;19;7
01;ZAGREBAČKA ŽUPANIJA;općina;PISAROVINA;008;BIRAČKO MJESTO BR.8 - SELSKO BRDO;DRUŠTVENI DOM SELSKO BRDO (DVD);SELSKO BRDO;92;42;42;42;0;30;7;5
01;ZAGREBAČKA ŽUPANIJA;općina;PISAROVINA;009;BIRAČKO MJESTO BR.9 - LUČELNICA;DRUŠTVENI DOM LUČELNICA;LUČELNICA;237;109;109;109;0;72;31;6
01;ZAGREBAČKA ŽUPANIJA;općina;PISAROVINA;010;BIRAČKO MJESTO BR.10 - DONJA KUPČINA;DRUŠTVENI DOM DONJA KUPČINA;DONJA KUPČINA;786;248;248;241;7;122;69;50
