Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;KREŠIMIR AČKAR;IVAN BEKAVAC;IVO JELUŠIĆ;ZVONIMIR LOVRIĆ
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;001;BRAĆA RADIĆ;DOM KULTURE GALŽENICA - PRIZEMLJE;VEL.GORICA, TRG S.RADIĆA 5;1093;461;461;443;18;209;102;79;53
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;002;BRAĆA RADIĆ;DOM KULTURE GALŽENICA-KINO DVORANA;VEL.GORICA, TRG S. RADIĆA 5;786;284;284;272;12;105;62;74;31
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;003;BRAĆA RADIĆ;DJEČJI VRTIĆ CICIBAN;VEL.GORICA, S. KOLARA 39;856;376;376;362;14;152;89;88;33
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;004;BRAĆA RADIĆ;DJEČJI VRTIĆ CICIBAN;VEL.GORICA, V. VIDRIĆA 2;1129;459;459;446;13;134;113;145;54
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;005;HRVATSKI VELIKANI;CVJETNO NASELJE - SKLONIŠTE;VEL.GORICA, CVJETNO NASELJE 18 A;1447;609;609;594;15;215;123;202;54
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;006;HRVATSKI VELIKANI;GIMNAZIJA VELIKA GORICA;VEL.GORICA, KRALJA TOMAŠEVIĆA 21;1319;591;590;574;16;241;106;162;65
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;007;HRVATSKI VELIKANI;GIMNAZIJA VELIKA GORICA;VELIKA GORICA, KRALJA TOMAŠEVIĆA 21;506;233;233;223;10;69;48;57;49
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;008;MILJENKO GRANIĆ;PROSTORIJE GRADSKE ČETVRTI;VELIKA GORICA, VINKOVAČKA 2;1548;691;691;646;45;236;130;199;81
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;009;MILJENKO GRANIĆ;"OSNOVNA ŠKOLA ""EUGEN KUMIČIĆ""";VEL.GORICA, J. PUCEKOVIĆA 4;1476;543;543;531;12;183;121;164;63
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;010;MILJENKO GRANIĆ;"OSNOVNA ŠKOLA ""EUGEN KUMIČIĆ""";VELIKA GORICA, J. PUCEKOVIĆA 4;771;299;299;292;7;113;57;94;28
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;011;MILJENKO GRANIĆ;"OSNOVNA ŠKOLA ""EUGEN KUMIČIĆ""";VELIKA GORICA, J. PUCEKOVIĆA 4;1659;504;504;489;15;201;120;124;44
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;012;MILJENKO GRANIĆ;"OSNOVNA ŠKOLA ""NIKOLA HRIBAR""";VELIKA GORICA, R. BOŠKOVIĆA 13;1366;603;602;573;29;233;143;141;56
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;013;MILJENKO GRANIĆ;"OSNOVNA ŠKOLA ""NIKOLA HRIBAR""";VELIKA GORICA, R. BOŠKOVIĆA 13;1443;604;604;581;23;249;172;107;53
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;014;STARI GRAD;"OSNOVNA ŠKOLA ""JURJA HABDELIĆA""";VELIKA GORICA, ŠKOLSKA ULICA 1;1449;735;734;706;28;293;182;161;70
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;015;STARI GRAD;VATROGASNI DOM;VELIKA GORICA, ZAGREBAČKA 3;1713;714;714;698;16;251;147;196;104
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;016;VLADIMIR NAZOR;"OSNOVNA ŠKOLA ""EUGEN KUMIČIĆ""";VELIKA GORICA, J. PUCEKOVIĆA 4;1211;459;459;449;10;170;78;163;38
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;017;VLADIMIR NAZOR;ELEKTRA;VELIKA GORICA, S. KOLARA 17;551;205;205;200;5;56;50;67;27
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;018;VLADIMIR NAZOR;"OSNOVNA ŠKOLA ""EUGEN KUMIČIĆ""";VELIKA GORICA, J. PUCEKOVIĆA 4;756;286;283;280;3;93;68;95;24
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;019;VLADIMIR NAZOR;PROSTORIJE GRADSKE ČETVRTI;VELIKA GORICA, M. SLATINSKOG 4;966;389;389;378;11;145;59;137;37
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;020;KURILOVEC;VATROGASNI DOM;VELIKA GORICA, HORVATOVA 57;1426;596;594;580;14;266;136;125;53
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;021;KURILOVEC;"PROSTORIJE NK ""UDARNIK""";VELIKA GORICA, SPORTSKA 2;1709;651;651;636;15;312;147;112;65
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;022;PLESO;DRUŠTVENI DOM;VELIKA GORICA, Š. BREŠČENSKOG 18;1200;642;640;617;23;339;84;133;61
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;023;RAKARJE;DRUŠTVENI DOM;VELIKA GORICA, RAKARSKA 55;940;447;447;430;17;241;75;67;47
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;024;BAPČE;DRUŠTVENI DOM;BAPČE 12 A;109;54;53;51;2;28;6;9;8
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;025;BUKOVČAK;DRUŠTVENI DOM;BUKOVČAK 18;51;27;27;27;0;25;0;1;1
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;026;BUŠEVEC-NOVO SELO;OSNOVNA ŠKOLA U BUŠEVCU;BUŠEVEC BB;916;426;425;416;9;218;41;129;28
