Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA SELJAČKA STRANKA - HSS;HRVATSKA STRANKA UMIROVLJENIKA - HSU;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
01;ZAGREBAČKA ŽUPANIJA;općina;DUBRAVA;001;DUBRAVA I;KULTURNI CENTAR (DOLAREVO);UL. SVETE MARGARETE 4, DUBRAVA;391;178;178;171;7;6;89;24;6;46
01;ZAGREBAČKA ŽUPANIJA;općina;DUBRAVA;002;DUBRAVA II;ZGRADA OPĆINE;UL. BRAĆE RADIĆ 2, DUBRAVA;582;239;239;234;5;12;142;22;13;45
01;ZAGREBAČKA ŽUPANIJA;općina;DUBRAVA;003;ZETKAN;DRUŠTVENI DOM;ZETKAN;151;85;85;81;4;4;42;20;3;12
01;ZAGREBAČKA ŽUPANIJA;općina;DUBRAVA;004;ZGALIŠĆE;DRUŠTVENI DOM;ZGALIŠĆE;117;46;46;44;2;3;26;6;2;7
01;ZAGREBAČKA ŽUPANIJA;općina;DUBRAVA;005;NOVAKI;KUĆA HERMAN BOŽENE;NOVAKI 48;151;60;60;60;0;2;41;4;1;12
01;ZAGREBAČKA ŽUPANIJA;općina;DUBRAVA;006;KUNĐEVAC;KUĆA JOVANKE KIŠUR;KUNĐEVAC 4;67;33;33;32;1;2;21;2;1;6
01;ZAGREBAČKA ŽUPANIJA;općina;DUBRAVA;007;BREZJE;DRUŠTVENI DOM;BREZJE;92;38;38;37;1;1;20;7;6;3
01;ZAGREBAČKA ŽUPANIJA;općina;DUBRAVA;008;GRABEREC;DRUŠTVENI DOM;GRABEREC;135;65;65;65;0;1;47;6;1;10
01;ZAGREBAČKA ŽUPANIJA;općina;DUBRAVA;009;BAĐINEC;DRUŠTVENI DOM;BAĐINEC;116;62;62;62;0;2;49;5;5;1
01;ZAGREBAČKA ŽUPANIJA;općina;DUBRAVA;010;ŽUKOVEC;DRUŠTVENI DOM;ŽUKOVEC;119;46;46;44;2;3;23;4;4;10
01;ZAGREBAČKA ŽUPANIJA;općina;DUBRAVA;011;SVINJAREC;DRUŠTVENI DOM;SVINJAREC;34;23;23;22;1;0;13;9;0;0
01;ZAGREBAČKA ŽUPANIJA;općina;DUBRAVA;012;KOSTANJ;DRUŠTVENI DOM;KOSTANJ;76;38;38;37;1;2;27;5;0;3
01;ZAGREBAČKA ŽUPANIJA;općina;DUBRAVA;013;PODLUŽAN;DRUŠTVENI DOM;PODLUŽAN;132;53;53;52;1;6;34;4;0;8
01;ZAGREBAČKA ŽUPANIJA;općina;DUBRAVA;014;GORNJI I DONJI VUKŠINAC;DRUŠTVENI DOM;DONJI VUKŠINAC;138;57;57;55;2;0;41;2;0;12
01;ZAGREBAČKA ŽUPANIJA;općina;DUBRAVA;015;ZVEKOVAC;DRUŠTVENI DOM;ZVEKOVAC;144;80;80;80;0;0;69;6;0;5
01;ZAGREBAČKA ŽUPANIJA;općina;DUBRAVA;016;GORNJI MARINKOVAC I PEHARDOVAC;DRUŠTVENI DOM U GORNJEM MARINKOVCU;GORNJI MARINKOVAC;116;77;77;76;1;3;44;17;1;11
01;ZAGREBAČKA ŽUPANIJA;općina;DUBRAVA;017;DONJI MARINKOVAC;KUĆA GOLUBIĆ ĐURE;DONJI MARINKOVAC 12;67;28;28;26;2;1;16;7;0;2
01;ZAGREBAČKA ŽUPANIJA;općina;DUBRAVA;018;MOSTARI;DRUŠTVENI DOM;MOSTARI;140;51;51;49;2;5;37;3;0;4
01;ZAGREBAČKA ŽUPANIJA;općina;DUBRAVA;019;RADULEC;DRUŠTVENI DOM;RADULEC;104;38;38;38;0;2;25;3;2;6
01;ZAGREBAČKA ŽUPANIJA;općina;DUBRAVA;020;PARUŽEVAC;DRUŠTVENI DOM;PARUŽEVAC;95;55;55;54;1;2;41;6;0;5
01;ZAGREBAČKA ŽUPANIJA;općina;DUBRAVA;021;DUBRAVSKI MARKOVAC;DRUŠTVENI DOM;DUBRAVSKI MARKOVAC;117;76;76;74;2;0;62;10;1;1
01;ZAGREBAČKA ŽUPANIJA;općina;DUBRAVA;022;KORITNA;DRUŠTVENI DOM;KORITNA;147;89;89;89;0;5;51;15;1;17
01;ZAGREBAČKA ŽUPANIJA;općina;DUBRAVA;023;LADINA;DRUŠTVENI DOM;LADINA;82;40;40;40;0;0;27;7;0;6
01;ZAGREBAČKA ŽUPANIJA;općina;DUBRAVA;024;NOVA KAPELA;DRUŠTVENI DOM;NOVA KAPELA;179;93;93;90;3;6;62;14;2;6
01;ZAGREBAČKA ŽUPANIJA;općina;DUBRAVA;025;STARA KAPELA;DRUŠTVENI DOM;STARA KAPELA;134;57;57;56;1;1;41;7;4;3
01;ZAGREBAČKA ŽUPANIJA;općina;DUBRAVA;026;HABJANOVAC;DRUŠTVENI DOM;HABJANOVAC;125;59;59;57;2;19;32;4;1;1
