Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;SILVIJA BLAŽEVIÆ;NIKA FLEISS;IRENA FRANCEKOVIÆ;ŽELJKO STANEC;PETRA ŠKROBOT
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;001;BOBOVICA;VATROGASNI DOM BOBOVICA;BOBOVICA;227;132;132;131;1;6;17;2;64;42
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;002;BRASLOVJE;DRUŠTVENI DOM BRASLOVJE;BRASLOVJE;290;160;160;158;2;4;27;3;90;34
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;003;BREGANA;OSNOVNA ŠKOLA MILANA LANGA;ULICA MILANA LANGA 2;1299;548;548;541;7;27;60;13;194;247
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;004;BREGANA;OSNOVNA ŠKOLA MILANA LANGA;ULICA MILANA LANGA 2;791;323;323;313;10;16;30;24;132;111
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;005;BREGANICA I VIŠNJEVEC PODVRŠKI;KUÆA MARIJANA KUMERA;BREGANICA 6;52;33;33;33;0;0;4;2;20;7
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;006;BREGANICA I VIŠNJEVEC PODVRŠKI;KUÆA STJEPANA BERIBAKA;VIŠNJEVEC PODVRŠKI, VIŠNJEVEC PODVRŠKI  4;31;20;20;19;1;2;6;0;7;4
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;007;BUDINJAK;PROSTORIJE EKO-CENTRA BUDINJAK;BUDINJAK;59;19;19;19;0;1;2;1;14;1
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;008;BUDINJAK;PROSTORIJE STARE ŠKOLE GRABAR;GRABAR;59;9;9;8;1;1;0;0;7;0
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;009;BUDINJAK;VATROGASNI DOM GORNJA VAS;GORNJA VAS;31;9;9;9;0;4;1;0;2;2
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;010;CELINE SAMOBORSKE;DRUŠTVENI DOM CELINE;CELINE SAMOBORSKE;258;160;160;157;3;28;9;2;72;46
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;011;CERJE SAMOBORSKO;DRUŠTVENI DOM CERJE;CERJE SAMOBORSKO;317;179;179;175;4;7;20;11;95;42
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;012;DOMASLOVEC;SPORTSKI CENTAR NK MLADOST;DOMASLOVEC, DOMASLOVEÈKA 102;839;391;391;385;6;33;43;37;164;108
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;013;DREŽNIK PODOKIÆKI;DRUŠTVENI DOM DREŽNIK PODOKIÆKI;DREŽNIK PODOKIÆKI;214;114;114;113;1;6;20;0;77;10
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;014;DUBRAVA SAMOBORSKA;KUÆA STJEPANA RUNTASA;DUBRAVA SAMOBORSKA 34;222;95;95;92;3;1;15;7;49;20
01;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;015;FARKAŠEVEC SAMOBORSKI;ŠKOLA U FARKAŠEVCU SAMOBORSKOM;FARKAŠEVEC SAMOBORSKI;379;223;223;219;4;11;14;16;98;80
