Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA STRANKA UMIROVLJENIKA - HSU;STJEPAN KOŽIĆ - NEZAVISNA LISTA - SKNL
01;ZAGREBAČKA ŽUPANIJA;općina;RAKOVEC;001;RAKOVEC;OPĆINA RAKOVEC;RAKOVEC 54;188;126;126;120;6;25;7;88
01;ZAGREBAČKA ŽUPANIJA;općina;RAKOVEC;002;MLAKA;DRUŠTVENI DOM;MLAKA 30;79;74;74;74;0;2;4;68
01;ZAGREBAČKA ŽUPANIJA;općina;RAKOVEC;003;DROPČEVEC;OBITELJSKA KUĆA STJEPANA VINCEKA;DROPČEVEC 2;54;53;53;53;0;0;0;53
01;ZAGREBAČKA ŽUPANIJA;općina;RAKOVEC;004;BANIČEVEC;DRUŠTVENI DOM;BANIČEVEC 39;148;146;146;144;2;6;9;129
01;ZAGREBAČKA ŽUPANIJA;općina;RAKOVEC;005;DVORIŠĆE;DRUŠTVENI DOM;DVORIŠĆE 14;131;87;87;84;3;5;27;52
01;ZAGREBAČKA ŽUPANIJA;općina;RAKOVEC;006;VALETIĆ;OBITELJSKA KUĆA VALENTA NAPASTA;VALETIĆ 51;39;23;23;23;0;1;1;21
01;ZAGREBAČKA ŽUPANIJA;općina;RAKOVEC;007;HRUŠKOVEC;DRUŠTVENI DOM;HRUŠKOVEC 6A;57;34;34;33;1;14;0;19
01;ZAGREBAČKA ŽUPANIJA;općina;RAKOVEC;008;HUDOVO;DRUŠTVENI DOM;HUDOVO 22;79;38;38;38;0;6;8;24
01;ZAGREBAČKA ŽUPANIJA;općina;RAKOVEC;009;LIPNICA;DRUŠTVENI DOM;LIPNICA 31;51;36;36;36;0;2;17;17
01;ZAGREBAČKA ŽUPANIJA;općina;RAKOVEC;010;BREZANI;DRUŠTVENI DOM;BREZANI 51;104;59;59;59;0;11;12;36
01;ZAGREBAČKA ŽUPANIJA;općina;RAKOVEC;011;GOLI VRH;OBITELJSKA KUĆA MATIJE VIDAKA;GOLI VRH 18;44;30;30;30;0;4;0;26
