Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DARKO BISTRIČKI;MAKSIMILIJAN JAREC;EVA JENDRIŠ ŠKRLJAK;HRVOJE KOŠĆEC;ANICA TRCAK;VLADIMIR ZEREC
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;001;SVETI IVAN ZELINA I;SV. IVAN ZELINA;TRG A. STARČEVIĆA 1;1021;474;474;455;19;18;24;93;219;31;70
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;002;SV. IVAN ZELINA II;SV. IVAN ZELINA;TRG A. STARČEVIĆA 12;790;347;345;337;8;10;13;58;168;26;62
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;003;SV.IVAN ZELINA III;SV.IVAN ZELINA-KUĆA ŠPINDERK MARIJE;V.NAZORA 23;610;338;338;338;0;9;13;66;170;24;56
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;004;DONJA TOPLIČICA;DRUŠTVENI DOM;DONJA TOPLIČICA 4;54;29;29;29;0;1;1;5;19;2;1
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;005;GORNJA TOPLIČICA;DRUŠTVENI DOM;GORNJA TOPLIČICA 21;154;68;68;67;1;1;3;11;42;2;8
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;006;BIŠKUPEC ZELINSKI;DRUŠTVENI DOM;ZELINGRADSKA 39, BIŠKUPEC ZELINSKI;876;412;412;403;9;15;41;106;169;24;48
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;007;VELIKA GORA;DRUŠTVENI DOM;VELIKA GORA 2 A;183;87;87;87;0;3;7;9;51;7;10
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;008;GORNJE PSARJEVO;DRUŠTVENI DOM;GORNJE PSARJEVO 16;299;105;105;103;2;7;5;9;56;13;13
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;009;DONJE PSARJEVO;DRUŠTVENI DOM;DONJE PSARJEVO 12 B;237;99;99;97;2;2;9;15;48;3;20
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;010;BLAŽEVDOL;DRUŠTVENI DOM;ULICA FUČKANI 12, BLAŽEVDOL;340;157;157;153;4;27;9;18;84;5;10
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;011;SELNICA PSARJEVAČKA;DRUŠTVENI DOM;SELNICA PSARJEVAČKA 10;200;84;84;83;1;2;9;25;32;3;12
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;012;CURKOVEC;DRUŠTVENI DOM;CURKOVEC 12;68;28;28;28;0;8;6;8;4;0;2
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;013;DONJA ZELINA;DRUŠTVENI DOM;DONJOZELINSKA 52, DONJA ZELINA;746;247;247;240;7;8;25;81;90;13;23
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;014;BLAŠKOVEC;DRUŠTVENI DOM;BLAŠKOVEČKA 75, BLAŠKOVEC;486;177;177;168;9;24;20;39;41;33;11
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;015;NESPEŠ;URED MJESNOG ODBORA;NESPEŠ  5;299;121;121;120;1;31;5;19;40;18;7
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;016;BUNJAK;DRUŠTVENI DOM;BUNJAK 23;125;50;50;49;1;7;1;3;8;20;10
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;017;GORNJA DRENOVA;DRUŠTVENI DOM;GORNJA DRENOVA 40/B;274;152;152;150;2;76;21;4;25;4;20
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;018;DONJA DRENOVA;DRUŠTVENI DOM;DONJA DRENOVA 50;291;110;110;109;1;39;17;16;30;3;4
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;019;HRNJANEC;DRUŠTVENI DOM;NOVOSELI 15, HRNJANEC;382;130;130;129;1;23;18;22;41;12;13
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;020;SVETA HELENA;DRUŠTVENI DOM;SV. HELENA 54/A;472;183;183;174;9;11;6;28;74;22;33
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;021;BANJE SELO;DRUŠTVENI DOM;BANJE SELO 48;117;35;35;34;1;5;8;1;12;6;2
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;022;LAKTEC;DRUŠTVENI DOM;LAKTEC 10;136;75;75;75;0;6;3;9;29;3;25
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;023;GORIČANEC;DRUŠTVENI DOM;GORIČANEC 1 B;146;47;47;46;1;5;2;8;20;0;11
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;024;KRIŽEVČEC;DRUŠTVENI DOM;KRIŽEVČEC  1 B;74;23;23;23;0;2;3;3;14;0;1
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;025;MAJKOVEC;DRUŠTVENI DOM;ULICA SVETOG TROJSTVA 50, MAJKOVEC;160;60;60;59;1;13;4;4;27;5;6
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;026;PAUKOVEC;DRUŠTVENI DOM;PAUKOVEČKA 17, PAUKOVEC;302;110;110;108;2;7;4;17;62;6;12
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;027;BUKEVJE;DRUŠTVENI DOM;BUKEVJE 15 A;83;42;42;42;0;9;7;1;7;17;1
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;028;BUKOVEC ZELINSKI;DRUŠTVENI DOM;BUKOVEC ZELINSKI 66 N;331;110;110;109;1;14;6;30;42;10;7
01;ZAGREBAČKA ŽUPANIJA;grad;SVETI IVAN ZELINA;029;SUHODOL ZELINSKI;KUĆA ŠKRLEC IVICE;SUHODOL ZELINSKI 8;105;42;42;39;3;9;4;6;18;1;1
