Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DAVOR FILIPOVIĆ;JOŠKO KLISOVIĆ;ANKA MRAK-TARITAŠ;DAVOR NAĐI;JELENA PAVIČIĆ VUKIČEVIĆ;VESNA ŠKARE OŽBOLT;MIROSLAV ŠKORO;ŽELJKO TOKIĆ;TOMISLAV TOMAŠEVIĆ;ZVONIMIR TROSKOT
21;GRAD ZAGREB;grad;GRAD ZAGREB;001;ANDRIJA MEDULIĆ;DRŽAVNA ŠKOLA ZA JAVNU UPRAVU;MEDULIĆEVA ULICA 36;996;529;528;521;7;105;39;4;5;43;21;55;3;232;14
21;GRAD ZAGREB;grad;GRAD ZAGREB;002;ANDRIJA MEDULIĆ;DRŽAVNA ŠKOLA ZA JAVNU UPRAVU;MEDULIĆEVA ULICA 36;984;517;517;514;3;30;45;6;11;25;22;72;0;292;11
21;GRAD ZAGREB;grad;GRAD ZAGREB;003;AUGUST ŠENOA;PROSTORIJE MJESNOG ODBORA;ULICA PAVLA HATZA 8;1106;579;579;564;15;56;49;4;9;33;39;55;2;299;18
21;GRAD ZAGREB;grad;GRAD ZAGREB;004;AUGUST ŠENOA;PROSTORIJE MJESNOG ODBORA;ULICA PAVLA HATZA 8;1177;599;599;595;4;57;66;6;18;33;18;74;0;309;14
21;GRAD ZAGREB;grad;GRAD ZAGREB;005;CVJETNI TRG;OŠ IVANA GUNDULIĆA;GUNDULIĆEVA ULICA 23A;1006;497;497;490;7;30;44;4;10;27;35;43;1;286;10
21;GRAD ZAGREB;grad;GRAD ZAGREB;006;CVJETNI TRG;OŠ IVANA GUNDULIĆA;GUNDULIĆEVA ULICA 23A;995;546;546;537;9;38;50;5;7;53;34;51;0;284;15
21;GRAD ZAGREB;grad;GRAD ZAGREB;007;HRVATSKI NARODNI VLADARI;PROSTORIJE MJESNOG ODBORA;ULICA KNEZA BORNE 9;1521;698;697;688;9;62;62;18;11;60;34;60;0;363;18
21;GRAD ZAGREB;grad;GRAD ZAGREB;008;KNEZ MISLAV;VII GIMNAZIJA;ULICA JURJA KRIŽANIĆA 4;1326;728;728;724;4;42;73;6;9;42;50;68;2;417;15
21;GRAD ZAGREB;grad;GRAD ZAGREB;009;KNEZ MISLAV;VII GIMNAZIJA;ULICA JURJA KRIŽANIĆA 4;1232;649;649;643;6;52;47;4;11;49;39;53;1;373;14
21;GRAD ZAGREB;grad;GRAD ZAGREB;010;KRALJ PETAR SVAČIĆ;PROSTORIJE MJESNOG ODBORA;PRERADOVIĆEVA ULICA 29;1184;618;618;613;5;41;42;4;8;38;55;58;2;355;10
