Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DALIBOR BARDAČ;ŽARKO NEMEČEK
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;ČAGLIN;001;OSNOVNA ŠKOLA STJEPANA RADIĆA, ČAGLIN;ČAGLIN;VLADIMIRA NAZORA 3;482;260;260;254;6;207;47
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;ČAGLIN;002;DRUŠTVENO VATROGASNI DOM;RUŠEVO;RUŠEVO BB;198;88;88;87;1;73;14
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;ČAGLIN;003;DRUŠTVENO VATROGASNI DOM;DJEDINA RIJEKA;DJEDINA RIJEKA BB;89;48;48;46;2;43;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;ČAGLIN;004;SEOSKI DOM;VELIKI BILAČ;VELIKI BILAČ BB;29;13;13;10;3;10;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;ČAGLIN;005;SEOSKI DOM;LATINOVAC;LATINOVAC BB;71;33;33;32;1;25;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;ČAGLIN;006;PRIVATNA KUĆA JURE RADMANA;NOVA LIPOVICA;NOVA LIPOVICA 1;18;4;4;4;0;3;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;ČAGLIN;007;SEOSKI DOM;VLATKOVAC;VLATKOVAC BB;67;24;24;24;0;15;9
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;ČAGLIN;008;SEOSKI DOM;KNEŽEVAC;KNEŽEVAC BB;57;38;38;38;0;26;12
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;ČAGLIN;009;PROSTORIJA UZ TRGOVINU;STARI ZDENKOVAC;STARI ZDENKOVAC 13;25;18;18;15;3;4;11
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;ČAGLIN;010;PRIVATNA KUĆA ANDRIJE JAMBREČINE;MOKREŠ;MOKREŠ 24;21;18;18;18;0;8;10
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;ČAGLIN;011;SEOSKI DOM;SIBOKOVAC;SIBOKOVAC BB;28;9;9;9;0;8;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;ČAGLIN;012;PRIVATNA KUĆA STJEPANA GRGURIĆA;JEZERO;JEZERO 23;15;7;7;7;0;6;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;ČAGLIN;013;SEOSKI DOM;SOVSKI DOL;SOVSKI DOL BB;70;25;25;22;3;16;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;ČAGLIN;014;SEOSKI DOM;PAKA;PAKA BB;25;17;17;16;1;14;2
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;ČAGLIN;015;OSNOVNA ŠKOLA;IMRIJEVCI;IMRIJEVCI BB;22;11;11;11;0;11;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;ČAGLIN;016;OSNOVNA ŠKOLA;MIGALOVCI;MIGALOVCI BB;101;45;45;42;3;33;9
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;ČAGLIN;017;SEOSKI DOM;SAPNA;SAPNA BB;50;17;17;15;2;13;2
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;ČAGLIN;018;DRUŠTVENO VATROGASNI DOM;NOVA LJESKOVICA;JOSIPA KNEŽEVIĆA BB;185;89;89;87;2;67;20
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;ČAGLIN;019;DRUŠTVENI DOM;MILANLUG;MILANLUG 51;167;87;87;82;5;58;24
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;ČAGLIN;020;DRUŠTVENI DOM;VUKOJEVICA;VUKOJEVICA BB;57;22;22;21;1;14;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;ČAGLIN;021;PRIVATNA KUĆA STJEPANA KRALJAKA;DUBOKA;DUBOKA 50A;40;23;23;22;1;17;5
