Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MILE PAVIČIĆ
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;001;DRUŠTVENO VATROGASNI DOM;KAPTOL;TRG VILIMA KORAJCA 1;517;151;151;133;18;133
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;002;OSNOVNA ŠKOLA VILIMA KORAJCA;KAPTOL;TRG DR. FRANJE TUĐMANA 3;621;211;211;184;27;184
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;003;OBITELJSKA KUĆA MATE JURIĆA;KOMAROVCI;KOMAROVCI 15;146;45;45;39;6;39
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;004;VATROGASNI DOM;ALILOVCI;ALILOVCI 56;350;128;128;123;5;123
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;005;DRUŠTVENI DOM;ČEŠLJAKOVCI;ČEŠLJAKOVCI 56;231;105;105;95;10;95
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;006;VATROGASNI DOM;GOLO BRDO;GOLO BRDO 34;256;78;78;73;5;73
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;007;DRUŠTVENI DOM;RAMANOVCI;RAMANOVCI 13;160;83;83;66;17;66
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;008;DRUŠTVENI DOM;NOVI BEŠINCI;NOVI BEŠINCI BB;69;26;26;24;2;24
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;009;OBITELJSKA KUĆA ZDRAVKA LOVRIĆA;BEŠINCI;BEŠINCI 17;69;23;23;21;2;21
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;010;VATROGASNI DOM;PODGORJE;PODGORJE 58;184;76;76;68;8;68
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;011;VATROGASNI DOM;DOLJANOVCI;DOLJANOVCI 6;207;93;93;81;12;81
