Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;001;OSNOVNA ŠKOLA - BADLJEVINA;BADLJEVINA;TRG DR. FRANJE TUĐMANA 4;600;153;153;137;16;107;2;28
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;002;VATROGASNI DOM - OMANOVAC;OMANOVAC;OMANOVAC 6 B;103;38;38;37;1;30;1;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;003;"""ZAJEDNICA ŠPANOVČANA"" - ŠPANOVICA";ŠPANOVICA;ŠPANOVICA 24;86;28;28;26;2;5;17;4
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;004;DRUŠTVENI DOM - NOVI MAJUR;NOVI MAJUR;NOVI MAJUR 12;75;32;32;30;2;26;1;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;005;DRUŠTVENI DOM - STARI MAJUR;STARI MAJUR;STARI MAJUR 12A;15;10;10;9;1;8;0;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;006;OSNOVNA ŠKOLA - PREKOPAKRA;PREKOPAKRA;DR. A. STARČEVIĆA 23;912;326;326;305;21;235;3;67
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;007;OSNOVNA ŠKOLA -  BATINJANI;BATINJANI;BATINJANI 53;45;14;14;14;0;6;0;8
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;008;OSNOVNA ŠKOLA - DONJA OBRIJEŽ;DONJA OBRIJEŽ;DONJA OBRIJEŽ 50;184;64;64;61;3;52;0;9
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;009;ZGRADA AMBULANTE - PLOŠTINE;PLOŠTINE;PLOŠTINE 54A;115;24;24;23;1;17;0;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;010;"LOVAČKA KUĆA LD ""FAZAN"" - KAPETANOVO POLJE";KAPETANOVO POLJE;DONJA OBRIJEŽ 131;34;10;10;9;1;7;1;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;011;DRUŠTVENI DOM - VELIKI BANOVAC;VELIKI BANOVAC;VELIKI BANOVAC 18;190;90;90;84;6;75;0;9
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;012;DRUŠTVENI DOM - TORANJ;TORANJ;TORANJ 80;67;14;14;14;0;8;2;4
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;013;DRUŠTVENI DOM - KRAGUJ;KRAGUJ;KRAGUJ 28;55;16;16;16;0;2;13;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;014;"DJEČJI VRTIĆ ""MASLAČAK"" -  PAKRAC";PAKRAC;MATICE HRVATSKE 13B;757;213;213;204;9;118;45;41
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;015;OSNOVNA ŠKOLA (NOVA) - PAKRAC;PAKRAC;BOLNIČKA 55;719;245;245;226;19;138;9;79
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;016;HCK - HRVATSKI CRVENI KRIŽ - PAKRAC;PAKRAC;BRAĆE RADIĆA 13;482;143;143;136;7;96;3;37
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;017;GLAZBENA ŠKOLA - PAKRAC;PAKRAC;TRG BANA J. JELAČIĆA 1;1048;302;302;282;20;174;10;98
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;018;SREDNJA ŠKOLA (PEDAGOŠKA) - PAKRAC;PAKRAC;ALEJA KESTENOVA 37;659;242;242;227;15;184;5;38
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;019;"ZGRADA ""STARE KUGLANE""  -  PAKRAC";PAKRAC;LEPTIROVO BRDO 1;311;71;71;68;3;58;0;10
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;020;DRUŠTVENI DOM - ŠUMETLICA;ŠUMETLICA;GORNJA ŠUMETLICA;50;2;2;2;0;0;2;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;021;"LOVAČKA KUĆA LD ""KOŠUTA"" - BRANEŠCI";BRANEŠCI;BRANEŠCI 3;136;18;18;17;1;5;11;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;022;LAKTOFRIZ KUSONJE;KUSONJE;KUSONJE BB;324;91;91;87;4;21;45;21
