Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP, MOST;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA STRANKA PRAVA - HSP;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, SNAGA SLAVONIJE I BARANJE - Snaga SiB
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;001;GRADSKA VIJEĆNICA;PLETERNICA;TRG HRVATSKIH BRANITELJA 1;525;310;310;304;6;122;159;7;16
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;002;VATROGASNI DOM;PLETERNICA;S. RADIĆA 2;893;481;481;470;11;197;237;16;20
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;003;KUĆA STJEPANA GALOVIĆA;PLETERNICA;VLADIMIRA NAZORA 14;516;241;241;235;6;86;124;15;10
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;004;KUĆA NEDJELJKA BUŠIĆA;PLETERNICA;E. PODUBSKOG 20;519;295;295;286;9;87;171;16;12
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;005;"KUD ""ORLJAVA""";PLETERNICA;B. J. JELAČIĆA 25;412;198;198;194;4;87;81;9;17
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;006;"OŠ ""FRA KAJE ADŽIĆA"", PODRUČNA ŠKOLA";KUZMICA;KUZMICA 90;591;285;285;275;10;72;147;30;26
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;007;KUĆA MILE GRBEŠA;VIŠKOVCI;VIŠKOVCI 16;193;94;94;89;5;21;58;7;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;008;SEOSKI DOM;BLACKO;BLACKO BB;171;91;91;87;4;30;50;2;5
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;009;SEOSKI DOM;TRAPARI;TRAPARI;132;74;74;73;1;18;47;1;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;010;KUĆA MARKA MEŠTROVIĆA;NOVOSELCI;NOVOSELCI 67;160;80;80;76;4;19;42;6;9
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;011;VATROGASNI DOM;LAKUŠIJA;LAKUŠIJA BB;65;34;34;33;1;1;29;2;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;012;"OŠ ""FRA KAJE ADŽIĆA"", PODRUČNA ŠKOLA";SESVETE;SESVETE BB;104;63;63;61;2;20;40;0;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;013;KUĆA DRAGANA TURKOVIĆA;ĆOSINAC;ĆOSINAC 30;41;20;20;20;0;0;17;0;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;014;VATROGASNI DOM;SULKOVCI;SULKOVCI BB;456;186;186;182;4;52;110;6;14
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;015;SEOSKI DOM;BRESNICA;BRESNICA BB;180;94;94;90;4;36;43;3;8
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;016;SEOSKI DOM;BZENICA;BZENICA BB;83;60;60;58;2;15;31;4;8
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;017;VATROGASNI DOM;POŽEŠKA KOPRIVNICA;POŽEŠKA KOPRIVNICA BB;210;99;99;97;2;16;71;1;9
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;018;SEOSKI DOM;KOMORICA;KOMORICA BB;127;90;90;89;1;23;60;0;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;019;DRUŠTVENI DOM;RATKOVICA;RATKOVICA BB;206;91;91;79;12;9;64;3;3
