Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;IVAN KOVAÈIÆ;MARKO KUTANJAC
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;VELIKO TROJSTVO;001;MARTINAC;DRUŠTVENI DOM;MARTINAC 33;102;71;71;71;0;45;26
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;VELIKO TROJSTVO;002;MAGLENÈA;DRUŠTVENI DOM;MAGLENÈA 17;260;140;140;140;0;74;66
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;VELIKO TROJSTVO;003;KEGLJEVAC;DRUŠTVENI DOM;KEGLJEVAC 24;41;27;27;27;0;10;17
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;VELIKO TROJSTVO;004;VRBICA;DRUŠTVENI DOM;VRBICA 60;88;66;66;66;0;34;32
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;VELIKO TROJSTVO;005;PAULOVAC;KONTEJNER;PAULOVAC;79;51;51;51;0;7;44
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;VELIKO TROJSTVO;006;ÆURLOVAC;DRUŠTVENI DOM;ÆURLOVAC 101;218;149;149;149;0;87;62
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;VELIKO TROJSTVO;007;DOMINKOVICA;DRUŠTVENI DOM;DOMINKOVICA 37;40;34;34;34;0;12;22
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;VELIKO TROJSTVO;008;GRGINAC;DRUŠTVENI DOM;GRGINAC 60;177;104;104;104;0;51;53
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;VELIKO TROJSTVO;009;MALO TROJSTVO;DRUŠTVENI DOM;MALO TROJSTVO 73;127;88;88;87;1;45;42
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;VELIKO TROJSTVO;010;VIŠNJEVAC;DRUŠTVENI DOM;VIŠNJEVAC 52;88;68;68;67;1;41;26
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;VELIKO TROJSTVO;011;VELIKO TROJSTVO;ZGRADA OPÆINE-MALA DVORANA;BRAÆE RADIÆ 28;998;553;553;551;2;213;338
