Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;ROBERT HOFMAN;DARIO IVKOVIÆ
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;001;DRUŠTVENO VATROGASNI DOM;VELIKA;S. RADIÆA 18;552;307;307;301;6;189;112
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;002;KNJIŽNICA VELIKA;VELIKA;TRG BANA J. JELAÈIÆA 36;1108;544;544;538;6;345;193
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;003;DRUŠTVENI DOM;RADOVANCI;RADOVANCI 20;403;226;226;226;0;69;157
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;004;HRVATSKI SELJAÈKI DOM;TRENKOVO;TRENKOVA 13;667;348;348;341;7;211;130
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;005;DRUŠTVENI DOM;ANTUNOVAC;ANTUNOVAC 5;126;38;38;37;1;27;10
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;006;DRUŠTVENI DOM;POTOÈANI;POTOÈANI BB;147;82;82;78;4;34;44
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;007;DRUŠTVENI DOM;TRNOVAC;TRNOVAC 12;340;147;147;142;5;79;63
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;008;DRUŠTVENO-VATROGASNI DOM;TORANJ;TORANJ BB;146;45;45;45;0;16;29
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;009;DRUŠTVENI DOM;DRAGA;DRAGA 34;198;109;109;107;2;46;61
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;010;"OŠ ""I. G. KOVAÈIÆA"", PODRUÈNI ODJEL BIŠKUPCI";BIŠKUPCI;BIŠKUPCI BB;293;131;131;130;1;66;64
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;011;DRUŠTVENI DOM;STRAŽEMAN;STRAŽEMAN 11;188;91;91;91;0;43;48
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;012;DRUŠTVENI DOM;LUÈINCI;LUÈINCI 26;94;35;35;35;0;13;22
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;013;DRUŠTVENI DOM;DOLJANCI;DOLJANCI BB;62;27;27;27;0;10;17
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;014;DRUŠTVENI DOM;OLJASI;OLJASI 13A;62;24;24;24;0;6;18
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;015;DRUŠTVENI DOM;MILANOVAC;MILANOVAC 20;30;19;19;19;0;8;11
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;016;DRUŠTVENI DOM;POLJANSKA;POLJANSKA BB;124;35;35;35;0;8;27
