Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;TANJA NOVOTNI GOLUBIĆ
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;001;BJELOVAR;GIMNAZIJA;MATICE HRVATSKE 17;2;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;002;BJELOVAR;II. OSNOVNA ŠKOLA;I. V. TRNSKOG 19;3;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;003;BJELOVAR;VELEUČILIŠTE U BJELOVARU I;TRG EUGENA KVATERNIKA 4;2;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;004;BJELOVAR;II O.Š. PODRUČNA ŠKOLA CENTAR;PETRA ZRINSKOG 4;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;005;BJELOVAR;VELEUČILIŠTE U BJELOVARU II;A. B. ŠIMIĆA 1;1;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;006;BJELOVAR;"NARODNA KNJIŽNICA ""PETAR PRERADOVIĆ"" DJEČJI ODJEL";ŠETALIŠTE DR. IVŠE LEBOVIĆA 9;5;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;007;BJELOVAR;"NARODNA KNJIŽNICA ""PETAR PRERADOVIĆ""";TRG E. KVATERNIKA 11;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;008;BJELOVAR;I. OSNOVNA ŠKOLA;ŽELJKA SABOLA 14;2;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;009;BJELOVAR;MO DR. A. STARČEVIĆA;A. STEPINCA 20A;12;2;2;2;0;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;010;BJELOVAR;DJEČJI VRTIĆ;ULICA ALOJZIJA STEPINCA 36;5;0;0;0;0;0
