Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMAGOJ BALJA;JOSIP BILANDŽIJA;SLAVEN ĐURĐEVIĆ;SINIŠA GLAVAŠ;MARIO JURETIĆ;AIDA SUČIĆ
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;001;ZDENČAC;OSNOVNA ŠKOLA;BANOVAČA 77;353;198;198;194;4;6;173;8;0;5;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;002;GAREŠNIČKI BRESTOVAC;HRVATSKI RADNIČKI DOM;BRESTOVAČKA ULICA 72;740;385;385;378;7;10;301;35;4;17;11
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;003;TOMAŠICA;SEOSKI DOM PROSTOR BIVŠE TRGOVINE;TOMAŠICA 127;275;135;135;133;2;17;87;21;4;3;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;004;MALI PAŠIJAN;SEOSKI DOM;MALI PAŠIJAN 72;140;59;59;56;3;0;39;10;6;1;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;005;VELIKI PAŠIJAN;SEOSKI DOM;VELIKI PAŠIJAN 73;242;108;108;107;1;3;79;15;3;1;6
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;006;DIŠNIK;SEOSKI DOM;DIŠNIK 58;296;170;170;166;4;1;141;14;2;4;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;007;TRNOVITIČKI POPOVAC;MJESNI DOM;TRNOVITIČKI POPOVAC 85;308;149;149;146;3;20;84;34;2;2;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;008;VELIKI PROKOP;SEOSKI DOM;VELIKI PROKOP 5 A;29;18;18;18;0;0;12;3;3;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;009;VELIKA BRŠLJANICA;OSNOVNA ŠKOLA;VELIKA BRŠLJANICA 71;174;81;81;80;1;6;55;12;4;2;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;010;MALA BRŠLJANICA;DRUŠTVENI DOM;VELIKA BRŠLJANICA 46 A;35;19;19;19;0;0;13;4;1;1;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;011;GAREŠNICA;VATROGASNI DOM;UL. MATIJE GUPCA 136;730;336;336;327;9;15;237;31;10;28;6
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;012;KANIŠKA IVA;HRVATSKI SELJAČKI DOM;KANIŠKA IVA 145;355;152;152;148;4;15;103;16;4;8;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;013;CIGLENICA;SEOSKI DOM;CIGLENICA 85A;307;117;117;114;3;7;89;7;3;3;5
