Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MATO TONKOVIĆ
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;BEREK;001;BEREK;MJESNI DOM BEREK;BEREK 77 A;345;146;146;138;8;138
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;BEREK;002;POTOK;MJESNI DOM POTOK;POTOK 15;42;21;21;18;3;18
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;BEREK;003;RUŠKOVAC;MJESNI DOM RUŠKOVAC;RUŠKOVAC 38;74;44;44;44;0;44
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;BEREK;004;ŠIMLJANICA;MJESNI DOM ŠIMLJANICA;ŠIMLJANICA 53;85;28;28;25;3;25
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;BEREK;005;ŠIMLJANA;MJESNI DOM ŠIMLJANA;ŠIMLJANA 30;71;29;29;28;1;28
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;BEREK;006;PODGARIĆ;MJESNI DOM PODGARIĆ;PODGARIĆ 24 B;33;16;16;16;0;16
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;BEREK;007;NOVO SELO GAREŠNIČKO;MJESNI DOM NOVO SELO GAREŠNIČKO;NOVO SELO GAREŠNIČKO 28 A;33;21;21;21;0;21
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;BEREK;008;GORNJA GAREŠNICA;MJESNI DOM GORNJA GAREŠNICA;GORNJA GAREŠNICA 36;118;45;45;41;4;41
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;BEREK;009;ŠIMLJANIK;MJESNI DOM ŠIMLJANIK;ŠIMLJANIK 22;24;14;14;13;1;13
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;BEREK;010;KOSTANJEVAC;MJESNI DOM KOSTANJEVAC;KOSTANJEVAC 93;92;24;24;23;1;23
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;BEREK;011;BEGOVAČA;MJESNI DOM BEGOVAČA;BEGOVAČA 27;24;13;13;13;0;13
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;BEREK;012;OŠTRI ZID;MJESNI DOM OŠTRI ZID;OŠTRI ZID 37 A;81;52;52;49;3;49
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;BEREK;013;KRIVAJA;MJESNI DOM KRIVAJA;KRIVAJA 18;33;25;25;25;0;25
