Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DAMIR BAJS NEZAVISNA LISTA - DAMIR BAJS NL, GRAĐANSKO-LIBERALNI SAVEZ - GLAS, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SELJAČKA STRANKA - HSS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, STRANKA UMIROVLJENIKA - SU, DEMOKRATI, NARODNA STRANKA - REFORMISTI - REFORMISTI, NEZAVISNI SELJACI HRVATSKE - NSH, HRVATSKA SELJAČKA STRANKA BRAĆE RADIĆ - HSS BRAĆE RADIĆ, BLOK UMIROVLJENICI ZAJEDNO - BUZ;DEMOKRATSKI HSS - DHSS;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ŠTEFANJE;001;NARTA;ZDRAVSTVENA AMBULANTA - NARTA;NARTA 294;205;77;77;76;1;21;5;35;15
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ŠTEFANJE;002;NARTA;VARTOGASNI DOM NARTA;NARTA 180;339;108;108;104;4;31;3;40;30
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ŠTEFANJE;003;ŠTEFANJE;DRUŠTVENI DOM ŠTEFANJE;ŠTEFANJE 61;233;115;115;110;5;8;4;72;26
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ŠTEFANJE;004;ŠTEFANJE;DRUŠTVENI DOM ŠTEFANJE BRIJEG;ŠTEFANJE 236 A;54;30;30;28;2;7;4;13;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ŠTEFANJE;005;STARO ŠTEFANJE;DRUŠTVENI DOM STARO ŠTEFANJE;STARO ŠTEFANJE 90;147;94;94;89;5;19;3;40;27
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ŠTEFANJE;006;LAMINAC;DRUŠTVENI DOM LAMINAC;LAMINAC 133;245;96;96;91;5;24;19;22;26
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ŠTEFANJE;007;BLATNICA;DRUŠTVENI DOM BLATNICA;BLATNICA 78;79;28;28;25;3;6;4;13;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ŠTEFANJE;008;DONJA ŠUŠNJARA;DRUŠTVENI DOM DONJA ŠUŠNJARA;DONJA ŠUŠNJARA 67;101;64;64;63;1;9;2;49;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ŠTEFANJE;009;GORNJA ŠUŠNJARA;DRUŠTVENI DOM GORNJA ŠUŠNJARA;GORNJA ŠUŠNJARA 24 A;25;12;12;12;0;1;1;9;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ŠTEFANJE;010;STARINE;DRUŠTVENI DOM STARINE;STARINE 13;46;30;30;29;1;3;5;15;6
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ŠTEFANJE;011;DASKATICA;DRUŠTVENI DOM DASKATICA;DASKATICA 26;82;31;31;31;0;6;10;10;5
