Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DANIJEL KOVAČEC;VEDRAN KRIŽNIK
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;001;KAPELA;VATROGASNI DOM;BILOGORSKA 56;362;146;146;139;7;127;12
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;002;BOTINAC;VATROGASNI DOM;BOTINAC 29;84;46;46;44;2;28;16
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;003;LIPOVO BRDO;VATROGASNI DOM;LIPOVO BRDO 38;88;44;44;44;0;28;16
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;004;SREDNJA DIKLENICA;DRUŠTVENI DOM;SREDNJA DIKLENICA 23;49;35;35;35;0;34;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;005;NOVI SKUCANI;KUĆA-OPĆINA KAPELA;NOVI SKUCANI 39;146;64;64;64;0;54;10
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;006;STARA DIKLENICA;DRUŠTVENI DOM;STARA DIKLENICA 13;39;32;32;32;0;30;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;007;KOBASIČARI;VATROGASNI DOM;KOBASIČARI 136;167;75;75;74;1;71;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;008;STANIĆI;VATROGASNI DOM;STANIĆI 39;93;51;51;49;2;47;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;009;STARI SKUCANI;DRUŠTVENI DOM;STARI SKUCANI 81;106;69;69;68;1;62;6
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;010;STARČEVLJANI;VATROGASNI DOM;STARČEVLJANI 55;123;72;72;70;2;64;6
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;011;NOVA DIKLENICA;VATROGASNI DOM;NOVA DIKLENICA 15;113;58;58;57;1;49;8
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;012;JABUČETA;VATROGASNI DOM;JABUČETA 40A;39;13;13;13;0;11;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;013;GORNJE ZDELICE;VATROGASNI DOM;GORNJE ZDELICE 52;114;40;40;40;0;36;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;014;GORNJI MOSTI;VATROGASNI DOM;GORNJI MOSTI 38;47;35;35;33;2;30;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;015;SREDNJI MOSTI;VATROGASNI DOM;SREDNJI MOSTI 31A;55;32;32;32;0;31;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;016;DONJI MOSTI;VATROGASNI DOM;DONJI MOSTI 57;147;72;72;71;1;49;22
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;017;POLJANČANI;VATROGASNI DOM;POLJANČANI 22;53;30;30;29;1;26;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;018;GORNJE SREDICE;VATROGASNI DOM;GORNJE SREDICE 76;105;61;61;59;2;51;8
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;019;ŠIPTARI;MLJEKARSKA KUĆICA U ŠIPTARIMA;ŠIPTARI 11A;61;25;25;25;0;25;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;020;PAVLIN KLOŠTAR;VATROGASNI DOM;PAVLIN KLOŠTAR 44;106;66;66;66;0;59;7
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;021;VISOVI;KONTEJNER MJESNOG ODBORA VISOVI;VISOVI 33 A;82;32;32;32;0;26;6
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;022;TVRDA REKA;DRUŠTVENI DOM;TVRDA REKA 22A;19;16;16;16;0;16;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;023;PRNJAVOR;PRIVATNA KUĆA-KUŠTER DALIBOR;PRNJAVOR 20;19;14;14;14;0;14;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;024;BABOTOK;VATROGASNI DOM;BABOTOK 21;84;47;47;43;4;41;2
