Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;GORDANA BUKOVEC;MATIJA GRDINIĆ;DOROTEJA MOGUŠ;TOMISLAV PAVLEČIĆ
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;001;VELIKI GRĐEVAC;BIVŠA TRGOVINA DAVORKE ŠOJAT;IGNACA FRANCIŠKOVIĆA 38;303;179;179;176;3;19;17;40;100
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;002;VELIKI GRĐEVAC;OSNOVNA ŠKOLA MATE LOVRAKA;TRG M. LOVRAKA 11;431;267;267;257;10;32;46;17;162
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;003;VELIKI GRĐEVAC;POSLOVNI PROSTOR MILANA RAKOCIJE;V. NAZORA 55;223;139;139;138;1;14;21;10;93
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;004;PAVLOVAC;PODRUČNA ŠKOLA;KRALJA ZVONIMIRA 2;150;79;79;79;0;10;14;2;53
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;005;PAVLOVAC;POSLOVNI PROSTOR MILOVANA KUNDAKA;MATIJE GUPCA 86;162;110;110;109;1;1;3;6;99
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;006;PAVLOVAC;KUĆA DRAGICE RANOGAJEC;KOLODVORSKA  96;118;73;73;71;2;2;39;3;27
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;007;DONJA KOVAČICA;MJESNI DOM U DONJOJ KOVAČICI;DONJA KOVAČICA 53A;217;121;121;121;0;2;16;2;101
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;008;MALA PISANICA;MJESNI DOM U MALOJ PISANICI;MALA PISANICA 43;140;72;72;72;0;8;4;4;56
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;009;DRAŽICA;MJESNI DOM U DRAŽICI;DRAŽICA 71;104;62;62;61;1;1;30;1;29
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;010;GORNJA KOVAČICA;VATROGASNO SPREMIŠTE U G. KOVAČICI;GORNJA KOVAČICA 95;245;122;122;121;1;17;16;20;68
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;011;ZRINSKA;BIVŠA TRGOVINA U ZRINSKOJ;ZRINSKA 47;101;49;49;48;1;0;3;25;20
