Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DAMIR BAJS NEZAVISNA LISTA - DAMIR BAJS NL, HRVATSKA STRANKA UMIROVLJENIKA - HSU, STRANKA UMIROVLJENIKA - SU, BLOK UMIROVLJENICI ZAJEDNO - BUZ, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, DEMOKRATI, NEZAVISNI SELJACI HRVATSKE - NSH, GRAÐANSKO-LIBERALNI SAVEZ - GLAS, HRVATSKA SELJAÈKA STRANKA BRAÆE RADIÆ - HSS BRAÆE RADIÆ;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA SELJAÈKA STRANKA - HSS;HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  JOSIP JUKIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;NOVA RAÈA;001;NOVA RAÈA;MJESNI DOM;TRG S. RADIÆA 9;381;211;211;205;6;58;19;25;91;3;3;6
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;NOVA RAÈA;002;MEÐURAÈA;MJESNI DOM;MEÐURAÈA 204A;256;102;102;93;9;22;7;28;30;1;5;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;NOVA RAÈA;003;DAUTAN;MJESNI DOM;DAUTAN 98;226;109;109;106;3;21;11;16;42;2;13;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;NOVA RAÈA;004;NEVINAC;MJESNI DOM;NEVINAC 32;156;56;56;56;0;13;3;8;26;0;6;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;NOVA RAÈA;005;STARA RAÈA;MJESNI DOM;STARA RAÈA 74;241;120;120;116;4;32;0;8;54;1;18;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;NOVA RAÈA;006;TOCILJEVAC;MJESNI DOM;TOCILJEVAC 7;67;37;37;37;0;6;0;2;28;0;1;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;NOVA RAÈA;007;SASOVAC;OSNOVNA ŠKOLA;SASOVAC 25;165;74;74;73;1;17;4;8;41;2;1;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;NOVA RAÈA;008;ORLOVAC;MJESNI DOM;ORLOVAC 65A;118;54;54;54;0;15;4;3;31;0;0;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;NOVA RAÈA;009;SLOVINSKA KOVAÈICA;MJESNI DOM;SLOVINSKA KOVAÈICA 67;105;83;83;82;1;21;4;3;49;0;1;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;NOVA RAÈA;010;KOZAREVAC RAÈANSKI;MJESNI DOM;KOZAREVAC RAÈANSKI 44;84;57;57;56;1;11;1;10;30;0;4;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;NOVA RAÈA;011;BULINAC;MJESNI DOM;BULINAC 90;261;119;119;115;4;27;7;13;59;2;2;5
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;NOVA RAÈA;012;BEDENIK;MJESNI DOM;BEDENIK 125;355;108;108;106;2;24;9;18;36;16;0;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;NOVA RAÈA;013;DRLJANOVAC;MJESNI DOM;DRLJANOVAC 34;186;85;85;82;3;13;4;21;32;0;6;6
