Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;JOSIP JUKIĆ;DARKO KNEŽIĆ;SANJA LOVREKOVIĆ;ŽELJKO SABOLOVIĆ
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;NOVA RAČA;001;NOVA RAČA;MJESNI DOM;TRG S. RADIĆA 9;381;211;211;208;3;9;160;18;21
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;NOVA RAČA;002;MEĐURAČA;MJESNI DOM;MEĐURAČA 204A;256;102;102;93;9;8;54;6;25
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;NOVA RAČA;003;DAUTAN;MJESNI DOM;DAUTAN 98;226;109;109;107;2;16;72;10;9
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;NOVA RAČA;004;NEVINAC;MJESNI DOM;NEVINAC 32;156;56;56;56;0;11;40;1;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;NOVA RAČA;005;STARA RAČA;MJESNI DOM;STARA RAČA 74;241;120;120;115;5;23;86;0;6
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;NOVA RAČA;006;TOCILJEVAC;MJESNI DOM;TOCILJEVAC 7;67;37;37;37;0;1;33;0;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;NOVA RAČA;007;SASOVAC;OSNOVNA ŠKOLA;SASOVAC 25;165;74;74;73;1;6;60;1;6
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;NOVA RAČA;008;ORLOVAC;MJESNI DOM;ORLOVAC 65A;118;54;54;52;2;0;47;4;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;NOVA RAČA;009;SLOVINSKA KOVAČICA;MJESNI DOM;SLOVINSKA KOVAČICA 67;105;83;83;83;0;4;77;1;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;NOVA RAČA;010;KOZAREVAC RAČANSKI;MJESNI DOM;KOZAREVAC RAČANSKI 44;84;58;58;58;0;4;50;0;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;NOVA RAČA;011;BULINAC;MJESNI DOM;BULINAC 90;261;119;119;119;0;4;98;8;9
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;NOVA RAČA;012;BEDENIK;MJESNI DOM;BEDENIK 125;355;108;108;106;2;4;76;7;19
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;NOVA RAČA;013;DRLJANOVAC;MJESNI DOM;DRLJANOVAC 34;186;86;86;86;0;6;62;6;12
