Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ANA-MARIA ŠTRUML-TUČEK
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;001;GRUBIŠNO POLJE;CENTAR ZA KULTURU I INFORMIRANJE DR. FRANJO TUĐMAN;IVANA NEPOMUKA JEMERŠIĆA 1;34;4;4;3;1;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;002;GRUBIŠNO POLJE;MATICA UMIROVLJENIKA GRUBIŠNO POLJE;ULICA 4. STUDENI 1991. KBR.1A;109;28;28;27;1;27
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;003;GRUBIŠNO POLJE;"SREDNJA ŠKOLA ""BARTOLA KAŠIĆA""";BARTOLA KAŠIĆA 1;73;5;5;4;1;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;004;GRUBIŠNO POLJE;MJESNI DOM U GRUBIŠNOM POLJU;KRALJA ZVONIMIRA 75.;9;1;1;1;0;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;005;POLJANI;VATROGASNI DOM U POLJANIMA;POLJANI 66;47;2;2;2;0;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;006;DONJA RAŠENICA;VATROGASNI DOM U DONJOJ RAŠENICI;DONJA RAŠENICA 59;55;7;7;7;0;7
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;007;IVANOVO SELO;MJESNI DOM U IVANOVOM SELU;PRAŠKA 5;133;51;51;47;4;47
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;008;RASTOVAC;LOVAČKI DOM U RASTOVCU;RASTOVAC 46;19;1;1;1;0;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;009;TREGLAVA;MJESNI DOM U TREGLAVI;TREGLAVA 2;51;20;20;20;0;20
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;010;VELIKI ZDENCI;MJESNI DOM U VELIKIM ZDENCIMA;MATE LOVRAKA 115;42;14;14;11;3;11
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;011;VELIKI ZDENCI;ZGRADA U PARKU VELIKI ZDENCI;TRG KRALJA TOMISLAVA 3;81;21;21;20;1;20
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;012;MALI ZDENCI;MJESNI DOM U MALIM ZDENCIMA;ANTUNA MIHANOVIĆA 77;84;17;17;17;0;17
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;013;ORLOVAC ZDENAČKI;MJESNI DOM U ORLOVCU ZDENAČKOM;ORLOVAC ZDENAČKI 70A;34;1;1;1;0;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;014;GRBAVAC;MJESNI DOM U GRBAVCU;GRBAVAC 76;9;3;3;1;2;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;015;VELIKA BARNA;MJESNI DOM U VELIKOJ BARNI;KRALJA TOMISLAVA 1A;4;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;016;LONČARICA;MJESNI DOM U LONČARICI;LONČARICA 50;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;017;DAPČEVAČKI BRĐANI;MJESNI DOM U DAPČEVAČKIM BRĐANIMA;DAPČEVAČKI BRĐANI 7;3;0;0;0;0;0
