Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DAMIR BAJS NEZAVISNA LISTA - DAMIR BAJS NL, HRVATSKA STRANKA UMIROVLJENIKA - HSU, STRANKA UMIROVLJENIKA - SU, BLOK UMIROVLJENICI ZAJEDNO - BUZ, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, DEMOKRATI, NARODNA STRANKA - REFORMISTI - REFORMISTI, NEZAVISNI SELJACI HRVATSKE - NSH, GRAÐANSKO-LIBERALNI SAVEZ - GLAS, HRVATSKA SELJAÈKA STRANKA BRAÆE RADIÆ - HSS BRAÆE RADIÆ, HRVATSKA SELJAÈKA STRANKA - HSS;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;IVANSKA;001;IVANSKA;DRUŠTVENI DOM  IVANSKA;IVANSKA, SLAVKA KOLARA 1;576;311;311;301;10;203;53;11;34
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;IVANSKA;002;KOLAREVO SELO;DRUŠTVENI DOM;KOLAREVO SELO 71;105;34;34;32;2;19;6;1;6
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;IVANSKA;003;UTISKANI;HRVATSKI SELJAÈKI DOM;UTISKANI 31 A;139;81;81;80;1;60;10;4;6
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;IVANSKA;004;ÐURÐIC;DRUŠTVENI DOM;ÐURÐIC 33;157;76;76;74;2;48;23;2;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;IVANSKA;005;KRIŽIC;DRUŠTVENI DOM;KRIŽIC 84;134;90;90;90;0;63;17;7;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;IVANSKA;006;RASTOVAC;DOM RASTOVAC;RASTOVAC 28;25;15;15;14;1;1;1;11;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;IVANSKA;007;SAMARICA;VATROGASNI DOM;SAMARICA 60A;118;83;83;78;5;66;11;0;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;IVANSKA;008;DONJA PETRIÈKA;VATROGASNI DOM;DONJA PETRIÈKA 60;120;75;75;74;1;59;1;12;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;IVANSKA;009;GORNJA PETRIÈKA;VATROGASNI DOM;GORNJA PETRIÈKA 30;86;50;50;49;1;41;7;1;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;IVANSKA;010;BABINAC;DRUŠTVENI DOM;BABINAC 50;113;69;69;66;3;59;4;2;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;IVANSKA;011;SRIJEDSKA;VATROGASNI DOM;SRIJEDSKA 47;230;94;94;90;4;72;13;1;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;IVANSKA;012;STARA PLOŠÆICA;DRUŠTVENI DOM;STARA PLOŠÆICA 72;199;104;104;99;5;50;44;4;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;IVANSKA;013;PALJEVINE;DRUŠTVENI DOM;PALJEVINE 9;184;80;80;79;1;52;8;7;12
