Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;KANDIDACIJSKA LISTA GRUPE BIRAČA -  DANIJEL KOVAČEC;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;001;KAPELA;VATROGASNI DOM;BILOGORSKA 56;362;146;146;140;6;29;0;89;22
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;002;BOTINAC;VATROGASNI DOM;BOTINAC 29;84;46;46;43;3;19;1;20;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;003;LIPOVO BRDO;VATROGASNI DOM;LIPOVO BRDO 38;88;44;44;44;0;13;3;15;13
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;004;SREDNJA DIKLENICA;DRUŠTVENI DOM;SREDNJA DIKLENICA 23;49;35;35;34;1;5;0;28;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;005;NOVI SKUCANI;KUĆA-OPĆINA KAPELA;NOVI SKUCANI 39;146;64;64;64;0;15;3;45;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;006;STARA DIKLENICA;DRUŠTVENI DOM;STARA DIKLENICA 13;39;32;32;31;1;3;1;22;5
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;007;KOBASIČARI;VATROGASNI DOM;KOBASIČARI 136;167;75;75;75;0;5;3;52;15
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;008;STANIĆI;VATROGASNI DOM;STANIĆI 39;93;51;51;51;0;2;10;35;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;009;STARI SKUCANI;DRUŠTVENI DOM;STARI SKUCANI 81;106;69;69;64;5;7;10;40;7
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;010;STARČEVLJANI;VATROGASNI DOM;STARČEVLJANI 55;123;71;71;70;1;10;3;43;14
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;011;NOVA DIKLENICA;VATROGASNI DOM;NOVA DIKLENICA 15;113;58;58;57;1;11;4;33;9
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;012;JABUČETA;VATROGASNI DOM;JABUČETA 40A;39;13;13;13;0;3;0;8;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;013;GORNJE ZDELICE;VATROGASNI DOM;GORNJE ZDELICE 52;114;40;40;39;1;5;1;27;6
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;014;GORNJI MOSTI;VATROGASNI DOM;GORNJI MOSTI 38;47;35;35;35;0;7;1;27;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;015;SREDNJI MOSTI;VATROGASNI DOM;SREDNJI MOSTI 31A;55;32;32;32;0;3;1;27;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;016;DONJI MOSTI;VATROGASNI DOM;DONJI MOSTI 57;147;72;72;72;0;21;1;35;15
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;017;POLJANČANI;VATROGASNI DOM;POLJANČANI 22;53;30;30;28;2;9;0;11;8
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;018;GORNJE SREDICE;VATROGASNI DOM;GORNJE SREDICE 76;105;61;61;59;2;6;1;50;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;019;ŠIPTARI;MLJEKARSKA KUĆICA U ŠIPTARIMA;ŠIPTARI 11A;61;25;25;25;0;0;1;23;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;020;PAVLIN KLOŠTAR;VATROGASNI DOM;PAVLIN KLOŠTAR 44;106;66;66;66;0;10;2;49;5
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;021;VISOVI;KONTEJNER MJESNOG ODBORA VISOVI;VISOVI 33 A;82;32;32;32;0;6;0;23;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;022;TVRDA REKA;DRUŠTVENI DOM;TVRDA REKA 22A;19;16;16;16;0;3;0;13;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;023;PRNJAVOR;PRIVATNA KUĆA-KUŠTER DALIBOR;PRNJAVOR 20;19;14;14;14;0;0;0;14;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;024;BABOTOK;VATROGASNI DOM;BABOTOK 21;84;47;47;44;3;8;0;33;3
