Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ZORAN BIŠĆAN;ANTONETA ĐOKIĆ;DANIJELA HAJDINJAK PRIHIĆ;DARIO HREBAK;TOMISLAV KOZINA;DRAŽEN MEDVED
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;001;BJELOVAR;GIMNAZIJA;MATICE HRVATSKE 17;682;288;288;281;7;30;19;36;179;3;14
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;002;BJELOVAR;II. OSNOVNA ŠKOLA;I. V. TRNSKOG 19;502;175;175;172;3;22;17;24;98;2;9
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;003;BJELOVAR;VELEUČILIŠTE U BJELOVARU I;TRG EUGENA KVATERNIKA 4;520;200;200;196;4;15;19;20;131;1;10
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;004;BJELOVAR;II O.Š. PODRUČNA ŠKOLA CENTAR;PETRA ZRINSKOG 4;454;190;190;183;7;15;10;18;122;1;17
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;005;BJELOVAR;VELEUČILIŠTE U BJELOVARU II;A. B. ŠIMIĆA 1;367;159;159;157;2;11;7;15;114;1;9
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;006;BJELOVAR;"NARODNA KNJIŽNICA ""PETAR PRERADOVIĆ"" DJEČJI ODJEL";ŠETALIŠTE DR. IVŠE LEBOVIĆA 9;661;303;303;296;7;33;29;34;175;3;22
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;007;BJELOVAR;"NARODNA KNJIŽNICA ""PETAR PRERADOVIĆ""";TRG E. KVATERNIKA 11;375;136;136;134;2;20;5;15;86;2;6
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;008;BJELOVAR;I. OSNOVNA ŠKOLA;ŽELJKA SABOLA 14;1047;422;421;418;3;46;44;45;250;6;27
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;009;BJELOVAR;MO DR. A. STARČEVIĆA;A. STEPINCA 20A;1274;524;524;511;13;48;36;34;353;10;30
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;010;BJELOVAR;DJEČJI VRTIĆ;ULICA ALOJZIJA STEPINCA 36;597;294;294;286;8;40;22;25;172;2;25
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;011;BJELOVAR;IV OSNOVNA ŠKOLA I;POLJANA DR. FRANJE TUĐMANA 1;1323;496;496;487;9;59;28;51;310;13;26
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;012;BJELOVAR;III OSNOVNA ŠKOLA;TOME BAKAČA 11D;1393;596;596;583;13;70;49;62;355;11;36
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;013;BJELOVAR;"MO ""A.G.MATOŠ""";JANKA DRAŠKOVIĆA 1B;617;272;271;269;2;38;8;28;183;2;10
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;014;BJELOVAR;DJEČJI VRTIĆ BJELOVAR;TRG ANTUNA GUSTAVA MATOŠA 8A;1114;403;403;397;6;46;34;21;281;3;12
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;015;BJELOVAR;"MO ""STJEPAN RADIĆ""";ANDRIJE MOHOROVIČIĆA 59;1521;687;685;671;14;83;28;74;433;12;41
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;016;BJELOVAR;IV OSNOVNA ŠKOLA II;POLJANA DR. FRANJE TUĐMANA 1;1249;543;541;529;12;60;30;80;310;3;46
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;017;BJELOVAR;MEDICINSKA ŠKOLA;POLJANA DR. FRANJE TUĐMANA 8;669;261;261;258;3;30;13;23;176;4;12
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;018;BJELOVAR;UGOSTITELJSKA ŠKOLA;POLJANA DR. FRANJE TUĐMANA 10;1218;547;547;542;5;44;22;64;373;12;27
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;019;BJELOVAR;"MO ""BAN J. JELAČIĆ""";RADNIČKO NASELJE PRILAZ II KBR. 3;1196;432;432;416;16;38;10;8;332;4;24
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;020;BJELOVAR;DOM U HRGOVLJANIMA;MIROSLAVA KRLEŽE 187;1231;499;499;491;8;55;21;35;340;6;34
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;021;BJELOVAR;DOM U VELIKIM SREDICAMA;VELIKE SREDICE 100;762;329;329;326;3;53;16;7;218;7;25
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;022;BJELOVAR;DOM NA KRIŽEVAČKOJ CESTI;KRIŽEVAČKA CESTA 3A;897;371;371;367;4;49;18;22;248;3;27
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;023;BJELOVAR;ŠKOLA U NOVIM PLAVNICAMA;NOVE PLAVNICE 6;352;158;158;158;0;17;7;2;117;0;15
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;024;BREZA;DOM U BREZI;BREZA 61;99;46;46;44;2;6;2;0;34;0;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;025;BREZOVAC;VATROGASNI DOM U BREZOVCU;GAREŠNIČKA 61;871;351;351;346;5;33;13;14;259;5;22
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;026;CIGLENA;DOM U CIGLENI;CIGLENA 13;241;70;70;68;2;7;3;5;36;0;17
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;027;GALOVAC;VATROGASNI DOM U GALOVCU;GALOVAC 85A;326;110;110;108;2;18;4;3;79;0;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;028;GORNJI TOMAŠ;DOM U GORNJEM TOMAŠU;GORNJI TOMAŠ 27A;77;19;19;19;0;1;0;0;17;0;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;029;GUDOVAC;DOM U GUDOVCU;GUDOVAC 31;773;283;283;279;4;25;4;3;246;0;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;030;KLOKOČEVAC;DOM U KLOKOČEVCU;KLOKOČEVAC 86;680;186;186;185;1;22;5;8;136;3;11
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;031;KOKINAC;DOM U KOKINCU;KOKINAC 43;147;39;39;39;0;1;3;0;35;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;032;KUPINOVAC;"PROSTORIJE MO ""KUPINOVAC""";KUPINOVAC 37;132;56;56;51;5;2;3;3;32;4;7
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;033;LETIČANI;"PROSTORIJE MO ""LETIČANI""";LETIČANI 68A;289;108;108;104;4;17;5;8;59;2;13
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;034;MALO KORENOVO;"PROSTORIJE MO ""MALO KORENOVO""";MALO KORENOVO 31;152;67;67;67;0;6;2;2;52;0;5
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;035;NOVI PAVLJANI;"PROSTORIJE MO ""NOVI PAVLJANI""";NOVI PAVLJANI 24;129;48;48;46;2;5;4;0;34;0;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;036;NOVOSELJANI;DOM U NOVOSELJANIMA;NOVOSELJANSKA 91;487;214;214;204;10;27;11;11;140;0;15
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;037;OBROVNICA;DOM U OBROVNICI;OBROVNICA 38;145;51;51;51;0;3;6;2;35;1;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;038;PATKOVAC;DOM U PATKOVCU;PATKOVAC 30;208;91;91;91;0;8;2;3;74;0;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;039;PLAVNICE GORNJE;DOM U PLAVNICAMA GORNJIM;PLAVNICE GORNJE 39;576;200;200;198;2;47;12;1;129;1;8
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;040;PRESPA;"PROSTORIJE MO ""PRESPA""";PRESPA 229;422;159;159;153;6;8;3;3;111;19;9
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;041;PRGOMELJE;DOM U PRGOMELJU;PRGOMELJE 78;497;155;155;152;3;18;3;2;122;0;7
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;042;PROKLJUVANI;DOM U PROKLJUVANIMA;PROKLJUVANI 53;203;99;99;96;3;21;1;1;69;0;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;043;RAJIĆ;"PROSTORIJE DVD ""RAJIĆ""";RAJIĆ 75;163;39;39;39;0;2;1;2;34;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;044;STANČIĆI;DOM U STANČIĆIMA;STANČIĆI 14;79;25;25;25;0;0;3;3;17;0;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;045;STARE PLAVNICE;DOM U STARIM PLAVNICAMA;STAROPLAVNIČKA ULICA 52;545;242;242;240;2;21;7;7;199;0;6
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;046;STARI PAVLJANI;DOM U STARIM PAVLJANIMA;STARI PAVLJANI 81;183;61;61;58;3;6;1;0;50;0;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;047;TOMAŠ;DOM U TOMAŠU;TOMAŠ 85;203;66;66;66;0;3;4;1;52;0;6
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;048;TROJSTVENI MARKOVAC;DOM U TROJSTVENOM MARKOVCU;ĐURĐEVAČKA CESTA 148;1460;567;566;558;8;77;45;40;342;6;48
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;049;VELIKO KORENOVO;DOM U VELIKOM KORENOVU;VELIKO KORENOVO 109A;409;173;173;172;1;9;4;4;146;2;7
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;050;ZVIJERCI;DOM U ZVIJERCIMA;ZVIJERCI 77A;1830;641;641;635;6;73;35;33;436;4;54
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;051;ŽDRALOVI;ŠKOLA U ŽDRALOVIMA;DARUVARSKA 40;660;235;235;229;6;37;13;16;145;0;18
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;052;ŽDRALOVI;DOM U ŽDRALOVIMA;ŽDRALOVSKA 20;554;178;178;173;5;22;6;10;125;1;9
