Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;NIKOLA DOBROSLAVIĆ;BOŽO PETROV
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;001;BRSEČINE M.O. BRSEČINE;MJESNI ODBOR BRSEČINE;BRSEČINE BB;83;60;60;59;1;41;18
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;002;DUBRAVICA M.O.DUBRAVICA;KUĆA ANE MILIĆ;DUBRAVICA BB;30;23;23;23;0;12;11
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;003;DUBROVNIK G.K. PLOČE IZA GRADA;GIMNAZIJA I;FRANA SUPILA 3;803;355;355;340;15;165;175
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;004;DUBROVNIK G.K. PLOČE IZA GRADA;GIMNAZIJA II;FRANA SUPILA 3;668;254;254;244;10;111;133
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;005;DUBROVNIK G.K. PLOČE IZA GRADA;UGOSTITELJSKA ŠKOLA;ŽUPSKA BROJ 2;533;192;192;180;12;93;87
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;006;DUBROVNIK G.K. GRAD;"OSNOVNA ŠKOLA ""MARINA GETALDIĆA"" DVORANA B";N.GUČETIĆA 1;789;362;362;350;12;181;169
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;007;DUBROVNIK G.K. GRAD;"OSNOVNA ŠKOLA ""MARINA GETALDIĆA"" DVORANA A";N. GUČETIĆA 1;1092;472;471;452;19;209;243
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;008;DUBROVNIK G.K. PILE-KONO;POSLIJE DIPLOMSKO SREDIŠTE;DON FRANA BULIĆA 4;1010;386;386;359;27;173;186
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;009;DUBROVNIK G.K. PILE - KONO;"OSNOVNA ŠKOLA ""MARINA DRŽIĆA""";VOLANTINA  6;1365;590;590;564;26;245;319
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;010;DUBROVNIK G.K. PILE - KONO;ZAVOD ZA ZAPOŠLJAVANJE;V. NAZORA  5;1007;384;384;371;13;162;209
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;011;DUBROVNIK G.K. MONTOVJERNA;OPĆINSKI SUD U DUBROVNIKU ATRIJ ISPRED SUDNICE BROJ 2;A. STARČEVIĆA 23;1330;525;525;494;31;222;272
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;012;DUBROVNIK G.K. MONTOVJERNA;OBRTNIČKA ŠKOLA;IVA VOJNOVIĆA 12;1408;574;572;542;30;240;302
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;013;DUBROVNIK G.K. MONTOVJERNA;"DJEČJI VRTIĆ ""PALČICA"" /DVORANA A/";I.VOJNOVIĆA 34;859;353;353;330;23;176;154
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;014;DUBROVNIK G.K. MONTOVJERNA;"DJEČJI VRTIĆ ""PALČICA"" /DVORANA B/";I.VOJNOVIĆA 34;1421;561;561;524;37;242;282
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;015;DUBROVNIK G.K. MONTOVJERNA;ZAVOD ZA JAVNO ZDRAVSTVO;OD SV. MIHAJLA 6;863;376;376;361;15;160;201
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;016;DUBROVNIK G.K. LAPAD;GRADSKI KOTAR LAPAD;KNEZA DOMAGOJA 2;1086;414;414;393;21;164;229
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;017;DUBROVNIK G.K. LAPAD;"OSNOVNA ŠKOLA  ""LAPAD""";OD BATALE  26;1197;450;450;421;29;183;238
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;018;DUBROVNIK G.K. LAPAD;"DUBROVAČKI OPSKRBNI CENTAR PROSTORIJA ""A""";KRALJA TOMISLAVA  7;942;391;391;372;19;172;200
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;019;DUBROVNIK G.K. LAPAD;"DUBROVAČKI OPSKRBNI CENTAR PROSTORIJA ""B""";KRALJA TOMISLAVA 7;559;216;216;210;6;104;106
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;020;DUBROVNIK G.K. LAPAD;"UPRAVNA ZGRADA ""DUBROVNIK - BABIN KUK""";ĆIRA CARIĆA 3;1364;650;650;617;33;305;312
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;021;DUBROVNIK G.K. LAPAD;"DJEČJI  VRTIĆ ""RADOST""";ŽRTAVA S DAKSE 36;558;242;242;234;8;90;144
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;022;DUBROVNIK G.K. GRUŽ;"PROSTORIJE GRADSKE ORGANIZACIJE  ""CRVENOG KRIŽA""";OBALA PAPE IVANA  PAVLA II 61;603;209;209;204;5;98;106
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;023;DUBROVNIK G.K. GRUŽ;AMBULANTA GRUŽ;ANDRIJE  HEBRANGA 79;1031;401;401;385;16;190;195
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;024;DUBROVNIK G.K. GRUŽ;"OSNOVNA ŠKOLA ""IVAN GUNDULIĆ"" DVORANA A";SUSTJEPANSKA 14;1297;486;486;466;20;226;240
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;025;DUBROVNIK G.K. GRUŽ;PROSTORIJE GRADSKOG KOTARA GRUŽ;OBALA STJEPANA RADIĆA 29;1038;399;399;372;27;179;193
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;026;DUBROVNIK G.K. GRUŽ;"OSNOVNA ŠKOLA ""IVAN GUNDULIĆ"" -DVORANA B";SUSTJEPANSKA 14;1444;549;549;525;24;267;258
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;027;DUBROVNIK G.K. GRUŽ;OPĆINSKI SUD U DUBROVNIKU -SUDNICA BROJ 1;DR. ANTE STARČEVIĆA 23;936;352;352;334;18;158;176
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;028;DUBROVNIK G.K. MOKOŠICA;DJEČIJI VRTIĆ I;UZ JADRANSKU CESTU BB,MOKOŠICA;1633;779;779;753;26;426;327
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;029;DUBROVNIK G.K. MOKOŠICA;DJEČIJI VRTIĆ II;UZ JADRANSKU CESTU BB, MOKOŠICA;595;288;288;284;4;195;89
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;030;DUBROVNIK G.K. MOKOŠICA;OSNOVNA ŠKOLA I. (NOVA MOKOŠICA);BARTOLA KAŠIĆA  20;702;277;277;269;8;125;144
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;031;DUBROVNIK G.K. MOKOŠICA;OSNOVNA ŠKOLA II. (NOVA MOKOŠICA);BARTOLA KAŠIĆA 20;1075;385;385;369;16;167;202
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;032;DUBROVNIK G.K. MOKOŠICA;OSNOVNA ŠKOLA III. (NOVA MOKOŠICA);BARTOLA KAŠIĆA 20;1112;448;448;431;17;214;217
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;033;DUBROVNIK G.K. MOKOŠICA;OSNOVNA ŠKOLA IV;BARTOLA KAŠIĆA 20;1181;424;424;412;12;209;203
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;034;DUBROVNIK G.K. MOKOŠICA;BARAKA-KLUB UMIROVLJENIKA;NOVA MOKOŠICA;1265;570;570;526;44;227;299
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;035;DUBROVNIK G.K.KOMOLAC;GRADSKI KOTAR KOMOLAC,;NA SKALI 2. ( POVIŠE KONZUMA);1532;669;669;639;30;307;332
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;036;DUBROVNIK M.O. GROMAČA;MJESNI ODBOR GROMAČA;GROMAČA BB;132;93;93;93;0;67;26
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;037;DUBROVNIK M.O. KLIŠEVO;DOM KLIŠEVO;KLIŠEVO;47;38;38;37;1;20;17
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;038;KOLOČEP M.O. KOLOČEP;"OSNOVNA ŠKOLA ""KOLOČEP""";DONJE ČELO BB;245;97;97;93;4;54;39
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;039;LJUBAČ M.O. LJUBAČ;DOM LJUBAČ;LJUBAČ BB;67;55;55;51;4;32;19
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;040;LOPUD M.O. LOPUD;"OSNOVNA ŠKOLA ""ANTUN MASLE""";LOPUD;320;129;129;123;6;49;74
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;041;MRAVINJAC M.O. MRAVINJAC;MJESNI ODBOR MRAVINJAC;MRAVINJAC BB;53;50;50;50;0;37;13
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;042;MRČEVO M.O. MRČEVO;MJESNI ODBOR MRČEVO;MRČEVO BB;91;81;81;79;2;63;16
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;043;ORAŠAC M.O. ORAŠAC;MATIČNI URED ORAŠAC;NA KOMARDI 21;645;413;413;397;16;242;155
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;044;OSOJNIK M.O.OSOJNIK;MJESNI ODBOR OSOJNIK,;NA GUTIĆI 11 , OSOJNIK;268;188;188;185;3;125;60
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;045;RIĐICA M.O. RIĐICA;MJESNI DOM RIĐICA;RIĐICA BB;22;21;21;21;0;19;2
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;046;SUĐURAĐ M.O. SUĐURAĐ;OSNOVNA ŠKOLA SUĐURAĐ;SUĐURAĐ BB;214;120;120;117;3;58;59
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;047;SUSTJEPAN G.K. GRUŽ;DRUŠTV.PROST NA SPORTS. IGRALIŠTU SUSTJEPAN;SUSTJEPAN BB;266;139;138;131;7;54;77
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;048;ŠIPAN M.O. ŠIPANSKA LUKA;DOM MLADEŽI  ŠIPAN - ŠIPANSKA LUKA;ŠIPANSKA LUKA  BB;253;151;151;143;8;71;72
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;049;TRSTENO M.O. TRSTENO;ZGRADA OSNOVNE ŠKOLE TRSTENO;TRSTENO BB;210;140;140;133;7;89;44
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;050;ZATON MALI M.O. ZATON;DOM MLADEŽI ZATON MALI;ZATON MALI BB;775;341;341;328;13;150;178
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;051;ZATON VELIKI M.O. ZATON;"URED ""TIC""-A,  ZATON VELIKI";ZATON VELIKI;343;170;170;163;7;82;81
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;052;HRVATSKE ŠUME D.O.O.;ŠUMARIJA DUBROVNIK;BOSANKA 49A, BOSANKA;127;66;66;62;4;30;32
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;KORČULA;001;KORČULA;ZGRADI CENTRA ZA KULTURU KORČULA;KORČULA;989;406;406;398;8;218;180
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;KORČULA;002;HOTEL MARKO POLO KORČULA;KORČULA;KORČULA;509;187;187;184;3;92;92
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;KORČULA;003;KORČULA;SREDNJA ŠKOLA PETRA ŠEGEDINA KORČULA - ZGRADA SV. ANTUN;KORČULA;1263;451;451;443;8;213;230
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;KORČULA;004;ŽRNOVO;ZGRADA OSNOVNE ŠKOLE;ŽRNOVO;1024;514;514;504;10;296;208
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;KORČULA;005;PUPNAT;DOM KULTURE U PUPNATU;PUPNAT;347;187;187;186;1;127;59
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;KORČULA;006;ČARA;DOM KULTURE U ČARI;ČARA;537;261;261;256;5;121;135
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;KORČULA;007;RAČIŠĆE;"HOTEL ""MEDITERAN"" U RAČIŠĆU";RAČIŠĆE;412;156;156;153;3;89;64
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;001;METKOVIĆ;GRADSKO KULTURNO SREDIŠTE;S. RADIĆA 1;626;248;248;238;10;115;123
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;002;METKOVIĆ;GRADSKO KULTURNO SREDIŠTE;STJEPANA RADIĆA 1;850;338;338;326;12;155;171
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;003;METKOVIĆ;GIMNAZIJA METKOVIĆ;UL.KRALJA ZVONIMIRA 12;1154;429;429;423;6;228;195
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;004;METKOVIĆ;GIMNAZIJA METKOVIĆ;UL.KRALJA ZVONIMIRA 12;711;218;218;215;3;109;106
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;005;METKOVIĆ;DUBRAVICA-MJESNI URED ,DUBRAVICA B.B.;DUBRAVICA B.B.;114;60;60;60;0;41;19
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;006;METKOVIĆ;SREDNJA ŠKOLA METKOVIĆ;UL. KRALJA ZVONIMIRA 12;1113;428;428;422;6;220;202
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;007;METKOVIĆ;ZGRADA POLITIČKIH STRANAKA;UL.KRALJA ZVONIMIRA 20;742;275;275;272;3;126;146
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;008;METKOVIĆ;SREDNJA ŠKOLA METKOVIĆ;UL.KRALJA ZVONIMIRA 12;1232;498;498;484;14;277;207
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;009;METKOVIĆ;SREDNJA ŠKOLA METKOVIĆ;UL.KRALJA ZVONIMIRA 12;1110;412;412;406;6;271;135
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;010;METKOVIĆ;PROSTOR METKOVIĆ D.O.O.;MOSTARSKA 10 (UNKA);850;322;322;311;11;179;132
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;011;METKOVIĆ;ZGRADA PRAVOSUDNIH TIJELA;UL.A.HEBRANGA 9;1096;318;318;318;0;153;165
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;012;METKOVIĆ;ZGRADA PRAVOSUDNIH TIJELA;UL.A.HEBRANGA 9;1205;385;385;374;11;202;172
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;013;METKOVIĆ;"OŠ""DON M.PAVLINOVIĆ""";A.STEPINCA BR.2.;914;334;334;326;8;174;152
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;014;METKOVIĆ;"OŠ""DON M.PAVLINOVIĆA""";A.STEPINCA 2;1177;467;467;461;6;206;255
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;015;VID;DRUŠTVENE PROSTORIJE;VID, LEDENE GOSPE 22;667;292;292;287;5;168;119
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;METKOVIĆ;016;PRUD;PODRUČNA ŠKOLA PRUD;PRUD;428;185;185;183;2;125;58
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;OPUZEN;001;OPUZEN;OSNOVNA ŠKOLA;S.S. KRANJČEVIĆA 11;865;614;614;586;28;296;290
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;OPUZEN;002;OPUZEN;OSNOVNA ŠKOLA;S.S. KRANJČEVIĆA 11;783;524;524;497;27;274;223
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;OPUZEN;003;OPUZEN;SREDNJA ŠKOLA OPUZEN;TRG OPUZENSKE BOJNE 5;532;374;374;359;15;219;140
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;OPUZEN;004;OPUZEN (VLAKA);KUĆA BRANKE PROVIĆA (PIKA);BANA JOSIPA JELAČIĆA 66;437;267;267;249;18;156;93
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;001;PLOČE;SREDNJA ŠKOLA FRA A.K.MIOŠIĆA;PLOČE;713;226;226;222;4;79;143
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;002;PLOČE;"OŠ ""VLADIMIR NAZOR""";PLOČE;762;248;248;242;6;115;127
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;003;PLOČE;DJEČJI VRTIĆ U PLOČAMA;PLOČE;710;255;255;252;3;93;159
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;004;PLOČE;MJESNI ODBOR U PLOČAMA;V. NAZORA 45;530;183;183;176;7;53;123
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;005;PLOČE;PUČKO UČILIŠTE U PLOČAMA;PLOČE;242;77;77;77;0;40;37
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;006;PLOČE;PROSTORIJE GRADA PLOČA;TRG KRALJA TOMISLAVA 23;914;303;303;298;5;115;183
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;007;STABLINA;MJESNI ODBOR U STABLINI;STABLINA;763;329;329;320;9;169;151
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;008;KOMIN;DOM KULTURE U KOMINU;KOMIN;1004;471;471;464;7;315;149
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;009;ROGOTIN;DOM KULTURE U ROGOTINU;ROGOTIN;558;266;266;259;7;160;99
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;010;ŠARIĆ STRUGA;DOM KULTURE U ŠARIĆ STRUGI;ŠARIĆ STRUGA;188;96;96;95;1;57;38
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;011;BANJA;"""KUĆA POK.JOKE BATINOVIĆA""";PUT VRILA 5, BANJA;152;88;88;88;0;33;55
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;012;BAĆINA;DOM KULTURE U BAĆINI;BAĆINA;496;163;163;159;4;40;119
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;013;PERAČKO BLATO;DOM KULTURE U PERAČKOM BLATU;PERAČKO BLATO;262;107;107;104;3;32;72
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;014;STAŠEVICA;DOM KULTURE-ZGRADA STARE ŠKOLE U STAŠEVICI;STAŠEVICA;458;227;227;225;2;92;133
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;015;STAŠEVICA-SPILICE;DOM KULTURE U STAŠEVICI -SPILICE;STAŠEVICA-SPILICE;321;154;154;151;3;71;80
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;BLATO;001;BLATO;"PROSTORIJA ""SREDNJA ŠKOLA BLATO""";ULICA 1 BROJ 25/I;594;457;457;445;12;231;214
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;BLATO;002;BLATO;"PROSTORIJA ""V.U. KUMPANJIJA""";ULICA 82 BROJ 8;1021;679;679;670;9;321;349
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;BLATO;003;BLATO;"PROSTORIJA ""KLAVIR SALA DOMA KULTURE""";TRG DR. FRANJE TUĐMANA 4;703;501;501;490;11;277;213
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;BLATO;004;BLATO;"PROSTORIJA ""OSNOVNA ŠKOLA BLATO""";ULICA 1 BROJ 25/2;918;649;649;628;21;343;285
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;DUBROVAČKO PRIMORJE;001;MAJKOVI;ZGRADA VATROGASNOG DOMA BIRAČKO MJESTO I;MAJKOVI BB;159;103;103;100;3;49;51
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;DUBROVAČKO PRIMORJE;002;SLANO;ZGRADA DJEČJEG VRTIĆA BIRAČKO MJESTO II;SLANO BB;547;384;384;373;11;211;162
