Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;FOKUS;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;MATIJA POSAVEC - NEZAVISNA LISTA - MATIJA POSAVEC - NL, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, DEMOKRATI, HRVATSKA DEMOKRATSKA SELJAČKA STRANKA - HDSS;MOST, HRVATSKI SUVERENISTI, HRAST - POKRET ZA USPJEŠNU HRVATSKU;SLOBODNA HRVATSKA - SH;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA SELJAČKA STRANKA - HSS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, MEĐIMURSKI DEMOKRATSKI SAVEZ - MDS, HRVATSKI LABURISTI - STRANKA RADA - LABURISTI, NARODNA STRANKA - REFORMISTI - REFORMISTI
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;001;ČAKOVEC;"ZGRADA DJEČJEG VRTIĆA ""BAMBI""";ULICA BANA JOSIPA JELAČIĆA 25;1120;462;460;449;11;14;66;36;186;14;4;129
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;002;ČAKOVEC;I. OSNOVNA ŠKOLA;ULICA KRALJA TOMISLAVA 43;707;370;370;364;6;7;98;32;134;18;4;71
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;003;ČAKOVEC;ZGRADA GRADSKE UPRAVE;ULICA KRALJA TOMISLAVA 15;715;302;302;294;8;21;53;33;96;13;1;77
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;004;ČAKOVEC;ZGRADA MEĐIMURSKE ŽUPANIJE - RESTORAN;ULICA RUĐERA BOŠKOVIĆA 2;528;258;258;256;2;12;40;19;99;5;5;76
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;005;ČAKOVEC;ZGRADA DOMA AMATERA;ULICA STJEPANA RADIĆA 1;947;452;452;445;7;14;98;58;151;8;9;107
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;006;ČAKOVEC;DVORANA UDRUŽENJA OBRTNIKA MEĐIMURSKE ŽUPANIJE;PARK RUDOLFA KROPEKA 1;463;247;247;238;9;14;44;30;79;9;1;61
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;007;ČAKOVEC;"ZGRADA GIMNASTIČKOG DRUŠTVA  ""MARIJAN ZADRAVEC-MACAN""";TOME MASARYKA 24;579;279;279;273;6;18;46;28;99;16;2;64
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;008;ČAKOVEC;"ZGRADA DJEČJEG VRTIĆA ""VJEVERICA""";ULICA ZAVNOH-A 24A;721;383;383;379;4;10;41;64;154;9;3;98
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;009;ČAKOVEC;ZGRADA GIMNAZIJE - UČIONICA A;ULICA VLADIMIRA NAZORA 34;330;149;149;146;3;4;32;16;53;3;5;33
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;010;ČAKOVEC;ZGRADA III. OSNOVNE ŠKOLE;ULICA IVANA PL. ZAJCA 24;847;387;385;378;7;14;50;32;142;15;15;110
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;011;ČAKOVEC;ZGRADA GIMNAZIJE - UČIONICA B;ULICA VLADIMIRA NAZORA 34;621;274;274;271;3;5;64;13;88;5;6;90
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;012;ČAKOVEC;ZGRADA GRADITELJSKE ŠKOLE;ŠPORTSKA ULICA 1;745;377;377;369;8;25;59;26;129;5;3;122
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;013;ČAKOVEC;ZGRADA ŽELJEZNIČKOG KOLODVORA;KOLODVORSKA ULICA 2;914;447;447;435;12;29;63;52;200;7;4;80
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;014;ČAKOVEC;"ZGRADA DJEČJEG VRTIĆA - ""MASLAČAK"" MARTANE";ULICA JOSIPA BEDEKOVIĆA 22;627;315;315;303;12;16;68;21;96;11;3;88
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;015;ČAKOVEC;ZGRADA VATROGASNOG DOMA PUTJANE;ULICA PUTJANE 65;459;195;195;192;3;11;29;24;61;7;5;55
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;016;ČAKOVEC;"PROSTORIJA NK ""SLOGA""";ULICA MIHOVILA PAVLEKA MIŠKINE 2;1033;444;444;440;4;12;102;24;173;13;8;108
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;017;ČAKOVEC;ZGRADA II. OSNOVNE ŠKOLE - UČIONICA A;TRG PAPE IVANA PAVLA II. 1;687;326;326;322;4;10;69;43;87;11;7;95
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;018;ČAKOVEC;ZGRADA II. OSNOVNE ŠKOLE - UČIONICA B;TRG PAPE IVANA PAVLA II. 1;1185;604;604;594;10;26;127;94;164;16;2;165
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;019;IVANOVEC;ZGRADA DOMA KULTURE;ZAGREBAČKA 30;1030;368;368;364;4;9;39;40;154;3;6;113
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;020;IVANOVEC;ZGRADA VATROGASNOG DOMA GORNJI VIDOVEC - IVANOVEC;ULICA GORNJI VIDOVEC 10;730;292;292;286;6;5;45;23;147;5;2;59
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;021;MIHOVLJAN;ZGRADA DRUŠTVENOG  DOMA;PRVOMAJSKA ULICA 92;1237;623;623;616;7;16;107;68;267;10;7;141
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;022;NOVO SELO ROK;ZGRADA DRUŠTVENOG DOMA;MARŠALA TITA 49;1234;518;517;512;5;9;47;47;191;26;7;185
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;023;KRIŠTANOVEC;ZGRADA DRUŠTVENOG DOMA;KRIŠTANOVEC 122A;529;321;321;316;5;1;27;14;208;5;6;55
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;024;MAČKOVEC;ZGRADA DRUŠTVENOG DOMA;TRG SV. PETRA I PAVLA 2;1113;544;544;533;11;18;38;51;225;10;3;188
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;025;SLEMENICE;ZGRADA DRUŠTVENOG DOMA;SLEMENICE 10D;206;124;124;119;5;2;13;5;70;1;0;28
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;026;ŽIŠKOVEC;ZGRADA DRUŠTVENOG DOMA;ŽIŠKOVEC 3B;448;185;185;181;4;4;9;9;80;4;4;71
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;027;KURŠANEC;ZGRADA DRUŠTVENOG DOMA;GLAVNA ULICA 104;449;171;170;160;10;3;8;15;63;9;2;60
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;028;KURŠANEC;ROMSKI OBITELJSKI CENTAR;VARAŽDINSKA 2;684;286;286;257;29;2;0;10;8;1;4;232
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;029;NOVO SELO NA DRAVI;ZGRADA DRUŠTVENOG DOMA;PRVOMAJSKA ULICA 12;503;213;213;206;7;0;18;11;94;4;9;70
