Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS;MATIJA POSAVEC - NEZAVISNA LISTA - MATIJA POSAVEC - NL, DEMOKRATI, CENTAR;KANDIDACIJSKA LISTA GRUPE BIRAÈA - MARTINA ORŠUŠ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, NARODNA STRANKA - REFORMISTI - REFORMISTI, HRVATSKI LABURISTI - STRANKA RADA - LABURISTI, MEÐIMURSKI DEMOKRATSKI SAVEZ - MDS, HRVATSKA SELJAÈKA STRANKA - HSS
20;MEÐIMURSKA ŽUPANIJA;opæina;NEDELIŠÆE;001;ÈREÈAN;DRUŠTVENI DOM;ÈREÈAN 43;341;150;150;149;1;2;21;11;40;1;74
20;MEÐIMURSKA ŽUPANIJA;opæina;NEDELIŠÆE;002;DUNJKOVEC;PODRUÈNA ŠKOLA DUNJKOVEC;GLAVNA ULICA 51;770;238;238;237;1;6;10;47;63;0;111
20;MEÐIMURSKA ŽUPANIJA;opæina;NEDELIŠÆE;003;GORNJI HRAŠÆAN;DRUŠTVENI DOM;ÈAKOVEÈKA ULICA 46;735;263;263;254;9;9;31;15;86;0;113
20;MEÐIMURSKA ŽUPANIJA;opæina;NEDELIŠÆE;004;GORNJI KURŠANEC;DRUŠTVENI DOM;TRG MIRKA BLAZINARIÆA 3;652;203;203;199;4;6;26;3;69;18;77
20;MEÐIMURSKA ŽUPANIJA;opæina;NEDELIŠÆE;005;MACINEC;SPORTSKI DOM MACINEC;ŠKOLSKA ULICA 2;450;179;179;175;4;4;18;8;57;0;88
20;MEÐIMURSKA ŽUPANIJA;opæina;NEDELIŠÆE;006;NEDELIŠÆE;DOM UMIROVLJENIKA;MARŠALA TITA 23;554;226;226;223;3;7;22;22;60;0;112
20;MEÐIMURSKA ŽUPANIJA;opæina;NEDELIŠÆE;007;NEDELIŠÆE;DJEÈJI VRTIÆ ZVONÈIÆ;USKA 16B;789;355;355;345;10;10;38;24;95;0;178
20;MEÐIMURSKA ŽUPANIJA;opæina;NEDELIŠÆE;008;NEDELIŠÆE;DRUŠTVENE PROSTORIJE VATROGASNOG DOMA;ÈAKOVEÈKA 2;807;368;368;361;7;2;36;13;128;4;178
20;MEÐIMURSKA ŽUPANIJA;opæina;NEDELIŠÆE;009;NEDELIŠÆE;OSNOVNA ŠKOLA NEDELIŠÆE;TRG REPUBLIKE 9;779;344;344;341;3;8;41;25;81;3;183
20;MEÐIMURSKA ŽUPANIJA;opæina;NEDELIŠÆE;010;NEDELIŠÆE;PROSTORIJE OPÆINSKE UPRAVE OPÆINE NEDELIŠÆE- VIJEÆNICA;MARŠALA TITA 1;658;308;308;302;6;7;37;17;79;2;160
20;MEÐIMURSKA ŽUPANIJA;opæina;NEDELIŠÆE;011;PRETETINEC;VATROGASNI  DOM;PRETETINEC 65;477;188;188;185;3;5;14;32;57;2;75
20;MEÐIMURSKA ŽUPANIJA;opæina;NEDELIŠÆE;012;PUŠÆINE;SPORTSKI DOM PUŠÆINE;DRAVSKA ULICA 7;571;218;218;211;7;18;43;12;72;1;65
20;MEÐIMURSKA ŽUPANIJA;opæina;NEDELIŠÆE;013;PUŠÆINE;PROSTORIJE VMO PUŠÆINE;ŠKOLSKA ULICA 23;480;173;173;165;8;6;12;8;90;1;48
20;MEÐIMURSKA ŽUPANIJA;opæina;NEDELIŠÆE;014;SLAKOVEC;VATROGASNI DOM;SLAKOVEC 118;398;174;174;170;4;7;29;15;59;1;59
20;MEÐIMURSKA ŽUPANIJA;opæina;NEDELIŠÆE;015;PARAG;DRUŠTVENE PROSTORIJE U KONTENJERU;PARAG;782;429;422;413;9;1;2;1;4;398;7
20;MEÐIMURSKA ŽUPANIJA;opæina;NEDELIŠÆE;016;TRNOVEC;DRUŠTVENI DOM - PROSTORIJE VMO TRNOVEC;TRNOVEC 45;290;88;88;85;3;1;12;2;31;7;32
