Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;LJERKA CIVIDINI;STJEPAN KOVAČ;SREĆKO KRIŠTOFIĆ;TOMISLAV MARKOVIĆ;MARIO MARUŠEVAC;DARKO ZVER
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;001;ČAKOVEC;"ZGRADA DJEČJEG VRTIĆA ""BAMBI""";ULICA BANA JOSIPA JELAČIĆA 25;1120;493;493;485;8;145;203;16;35;2;84
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;002;ČAKOVEC;I. OSNOVNA ŠKOLA;ULICA KRALJA TOMISLAVA 43;707;378;378;371;7;118;83;9;32;11;118
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;003;ČAKOVEC;ZGRADA GRADSKE UPRAVE;ULICA KRALJA TOMISLAVA 15;715;302;302;292;10;81;107;23;34;1;46
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;004;ČAKOVEC;ZGRADA MEĐIMURSKE ŽUPANIJE - RESTORAN;ULICA RUĐERA BOŠKOVIĆA 2;528;266;266;262;4;84;101;10;19;6;42
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;005;ČAKOVEC;ZGRADA DOMA AMATERA;ULICA STJEPANA RADIĆA 1;947;452;452;446;6;129;128;14;50;10;115
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;006;ČAKOVEC;DVORANA UDRUŽENJA OBRTNIKA MEĐIMURSKE ŽUPANIJE;PARK RUDOLFA KROPEKA 1;463;248;247;238;9;80;65;4;40;2;47
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;007;ČAKOVEC;"ZGRADA GIMNASTIČKOG DRUŠTVA  ""MARIJAN ZADRAVEC-MACAN""";TOME MASARYKA 24;579;279;279;272;7;86;86;21;19;3;57
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;008;ČAKOVEC;"ZGRADA DJEČJEG VRTIĆA ""VJEVERICA""";ULICA ZAVNOH-A 24A;721;390;390;382;8;149;110;7;61;3;52
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;009;ČAKOVEC;ZGRADA GIMNAZIJE - UČIONICA A;ULICA VLADIMIRA NAZORA 34;330;150;150;145;5;45;44;6;14;3;33
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;010;ČAKOVEC;ZGRADA III. OSNOVNE ŠKOLE;ULICA IVANA PL. ZAJCA 24;847;390;390;382;8;120;134;21;29;17;61
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;011;ČAKOVEC;ZGRADA GIMNAZIJE - UČIONICA B;ULICA VLADIMIRA NAZORA 34;621;274;274;270;4;78;107;11;15;4;55
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;012;ČAKOVEC;ZGRADA GRADITELJSKE ŠKOLE;ŠPORTSKA ULICA 1;745;384;384;377;7;99;165;23;22;6;62
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;013;ČAKOVEC;ZGRADA ŽELJEZNIČKOG KOLODVORA;KOLODVORSKA ULICA 2;914;447;447;438;9;166;117;52;38;5;60
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;014;ČAKOVEC;"ZGRADA DJEČJEG VRTIĆA - ""MASLAČAK"" MARTANE";ULICA JOSIPA BEDEKOVIĆA 22;627;317;315;307;8;77;116;22;14;0;78
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;015;ČAKOVEC;ZGRADA VATROGASNOG DOMA PUTJANE;ULICA PUTJANE 65;459;195;195;189;6;42;81;8;20;5;33
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;016;ČAKOVEC;"PROSTORIJA NK ""SLOGA""";ULICA MIHOVILA PAVLEKA MIŠKINE 2;1033;444;442;432;10;129;151;13;25;10;104
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;017;ČAKOVEC;ZGRADA II. OSNOVNE ŠKOLE - UČIONICA A;TRG PAPE IVANA PAVLA II. 1;687;327;327;324;3;77;110;12;41;6;78
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;018;ČAKOVEC;ZGRADA II. OSNOVNE ŠKOLE - UČIONICA B;TRG PAPE IVANA PAVLA II. 1;1185;604;604;583;21;145;184;31;93;2;128
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;019;IVANOVEC;ZGRADA DOMA KULTURE;ZAGREBAČKA 30;1030;368;367;363;4;86;161;11;43;5;57
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;020;IVANOVEC;ZGRADA VATROGASNOG DOMA GORNJI VIDOVEC - IVANOVEC;ULICA GORNJI VIDOVEC 10;730;292;292;288;4;96;111;7;22;0;52
