Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;NIKOLA NOVAK;MLADEN POSAVEC;MATIJA ŽUGEC
20;MEĐIMURSKA ŽUPANIJA;općina;NEDELIŠĆE;001;ČREČAN;DRUŠTVENI DOM;ČREČAN 43;341;150;150;147;3;97;31;19
20;MEĐIMURSKA ŽUPANIJA;općina;NEDELIŠĆE;002;DUNJKOVEC;PODRUČNA ŠKOLA DUNJKOVEC;GLAVNA ULICA 51;770;238;238;235;3;162;54;19
20;MEĐIMURSKA ŽUPANIJA;općina;NEDELIŠĆE;003;GORNJI HRAŠĆAN;DRUŠTVENI DOM;ČAKOVEČKA ULICA 46;735;263;263;254;9;162;60;32
20;MEĐIMURSKA ŽUPANIJA;općina;NEDELIŠĆE;004;GORNJI KURŠANEC;DRUŠTVENI DOM;TRG MIRKA BLAZINARIĆA 3;652;203;203;200;3;119;51;30
20;MEĐIMURSKA ŽUPANIJA;općina;NEDELIŠĆE;005;MACINEC;SPORTSKI DOM MACINEC;ŠKOLSKA ULICA 2;450;179;179;173;6;100;50;23
20;MEĐIMURSKA ŽUPANIJA;općina;NEDELIŠĆE;006;NEDELIŠĆE;DOM UMIROVLJENIKA;MARŠALA TITA 23;554;226;226;223;3;156;35;32
20;MEĐIMURSKA ŽUPANIJA;općina;NEDELIŠĆE;007;NEDELIŠĆE;DJEČJI VRTIĆ ZVONČIĆ;USKA 16B;789;355;355;341;14;212;80;49
20;MEĐIMURSKA ŽUPANIJA;općina;NEDELIŠĆE;008;NEDELIŠĆE;DRUŠTVENE PROSTORIJE VATROGASNOG DOMA;ČAKOVEČKA 2;807;368;368;364;4;202;122;40
20;MEĐIMURSKA ŽUPANIJA;općina;NEDELIŠĆE;009;NEDELIŠĆE;OSNOVNA ŠKOLA NEDELIŠĆE;TRG REPUBLIKE 9;779;344;344;341;3;223;64;54
20;MEĐIMURSKA ŽUPANIJA;općina;NEDELIŠĆE;010;NEDELIŠĆE;PROSTORIJE OPĆINSKE UPRAVE OPĆINE NEDELIŠĆE- VIJEĆNICA;MARŠALA TITA 1;658;308;308;303;5;203;57;43
20;MEĐIMURSKA ŽUPANIJA;općina;NEDELIŠĆE;011;PRETETINEC;VATROGASNI  DOM;PRETETINEC 65;477;188;187;182;5;107;39;36
20;MEĐIMURSKA ŽUPANIJA;općina;NEDELIŠĆE;012;PUŠĆINE;SPORTSKI DOM PUŠĆINE;DRAVSKA ULICA 7;571;218;218;210;8;108;56;46
20;MEĐIMURSKA ŽUPANIJA;općina;NEDELIŠĆE;013;PUŠĆINE;PROSTORIJE VMO PUŠĆINE;ŠKOLSKA ULICA 23;480;173;173;166;7;81;72;13
20;MEĐIMURSKA ŽUPANIJA;općina;NEDELIŠĆE;014;SLAKOVEC;VATROGASNI DOM;SLAKOVEC 118;398;174;174;171;3;71;46;54
20;MEĐIMURSKA ŽUPANIJA;općina;NEDELIŠĆE;015;PARAG;DRUŠTVENE PROSTORIJE U KONTENJERU;PARAG;782;429;426;419;7;411;2;6
20;MEĐIMURSKA ŽUPANIJA;općina;NEDELIŠĆE;016;TRNOVEC;DRUŠTVENI DOM - PROSTORIJE VMO TRNOVEC;TRNOVEC 45;290;88;88;87;1;50;24;13
