Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;INES DEBELIĆ;ANITA KROK;MIRKO KRZNAR
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KONJŠČINA;001;KONJŠČINA;SREDNJA ŠKOLA KONJŠČINA;MATIJE GUPCA 5;819;578;578;574;4;195;226;153
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KONJŠČINA;002;GALOVEC;VATROGASNI DOM GALOVEC;GALOVEC;329;238;238;233;5;73;66;94
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KONJŠČINA;003;JERTOVEC;OSNOVNA ŠKOLA KONJŠČINA, PODRUČNA ŠKOLA JERTOVEC;JERTOVEC;569;348;348;340;8;98;112;130
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KONJŠČINA;004;PEŠĆENO;DRUŠTVENI DOM;PEŠĆENO BB;122;77;77;73;4;11;19;43
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KONJŠČINA;005;BOČADIR;DRUŠTVENI DOM;BOČADIR;188;141;141;140;1;40;42;58
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KONJŠČINA;006;TURNIŠĆE;DRUŠTVENI DOM;TURNIŠĆE;239;108;108;104;4;32;27;45
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KONJŠČINA;007;KLIMEN;DRUŠTVENI DOM;KLIMEN;104;58;58;58;0;16;9;33
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KONJŠČINA;008;GORNJA KONJŠČINA;VATROGASNI DOM;GORNJA KONJŠČINA;170;116;116;115;1;26;27;62
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KONJŠČINA;009;DONJA KONJŠČINA;VATROGASNI DOM;DONJA KONJŠČINA;271;187;187;185;2;64;53;68
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KONJŠČINA;010;SUŠOBREG;DRUŠTVENI DOM;SUŠOBREG;176;126;126;123;3;23;18;82
