Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;LAURA CAJHEN;VESNA LIBER;MARKO VEŠLIGAJ
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;001;BENKOVO;PODRUČNA ŠKOLA BENKOVO;BENKOVO 30;400;155;155;150;5;32;5;113
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;002;VALENTINOVO;U KUĆI ŽELJKA GOLUBIĆA;VALENTINOVO 8;307;159;159;156;3;22;13;121
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;003;CIGROVEC;U PROSTORIJAMA MJESNOG ODBORA U CIGROVCU;CIGROVEC 186/5;281;137;137;135;2;22;1;112
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;004;GORJAKOVO;PODRUČNA ŠKOLA GORJAKOVO;GORJAKOVO 98;262;105;105;99;6;20;4;75
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;005;KOSTEL;PODRUČNA ŠKOLA KOSTEL;KOSTEL 7;505;242;242;238;4;14;11;213
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;006;PLEMENŠĆINA;PRODAVAONICA U GORNJOJ PLEMENŠĆINI;GORNJA PLEMENŠĆINA 44/2;434;208;208;201;7;34;21;146
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;007;PREGRADA;GRADSKA VIJEĆNICA;JOSIPA KARLA TUŠKANA 2;962;455;455;420;35;69;49;302
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;008;PREGRADA;HOL UPRAVNE ZGRADE;JOSIPA KARLA TUŠKANA 2;936;394;394;386;8;53;34;299
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;009;SOPOT;PODRUČNA ŠKOLA SOPOT;SOPOT 74;576;254;254;242;12;30;18;194
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;010;STIPERNICA;PODRUČNA ŠKOLA STIPERNICA;STIPERNICA 11/2;224;99;99;95;4;32;3;60
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;011;VINAGORA;PROSTORIJA MJESNOG ODBORA U VINAGORI;VINAGORA 13;394;136;136;128;8;14;13;101
