Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, DEMOKRATSKI HSS - DHSS;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA STRANKA UMIROVLJENIKA - HSU;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA SELJAČKA STRANKA - HSS;KANDIDACIJSKA LISTA GRUPE BIRAČA - DRAGUTIN ŠANJUG
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;PETROVSKO;001;PETROVSKO I ROVNO;OSNOVNA ŠKOLA ANTUNA MIHANOVIĆA (UČIONICA BR. 1);PETROVSKO 58 A;265;180;180;175;5;14;86;18;33;24
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;PETROVSKO;002;BENKOVEC PETROVSKI;OSNOVNA ŠKOLA ANTUNA MIHANOVIĆA, UČIONICA BR. 2;PETROVSKO 58 A;100;64;64;63;1;8;26;3;15;11
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;PETROVSKO;003;STARA VES PETROVSKA I MALA PAČETINA;GARAŽA KOZINA KRISTIJANA;STARA VES PETROVSKA 43A;205;127;127;124;3;9;86;18;5;6
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;PETROVSKO;004;PODGAJ PETROVSKI;KUĆA POSLONČEC STJEPANA;PODGAJ PETROVSKI 37;209;154;154;151;3;8;50;24;48;21
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;PETROVSKO;005;BREZOVICA PETROVSKA;KUĆA LELJAK RUDOLFA;BREZOVICA PETROVSKA 9;85;56;56;56;0;5;23;10;14;4
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;PETROVSKO;006;PRESEKA PETROVSKA;KUĆA PRESEČKI EDUARDA;PRESEKA PETROVSKA 22;216;159;159;155;4;10;43;17;33;52
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;PETROVSKO;007;ŠTUPARJE;KUĆA POSLON-FABRIČNI LJUBICE;ŠTUPARJE 38;319;230;230;225;5;3;143;27;39;13
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;PETROVSKO;008;SVEDRUŽA DONJA;PODRUČNA ŠKOLA U SLATINI (SJEVERNA UČ.);SLATINA SVEDRUŠKA 38;116;78;78;77;1;10;44;12;5;6
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;PETROVSKO;009;SLATINA SVEDRUŠKA (DIO);KUĆA ORMUŽ BRANKA;SLATINA SVEDRUŠKA 5;193;112;112;111;1;30;48;8;16;9
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;PETROVSKO;010;SLATINA SVEDRUŠKA (DIO) I SVEDRUŽA GORNJA;PODRUČNA ŠKOLA U SLATINI (JUŽNA UČIONICA);SLATINA SVEDRUŠKA 38;261;160;160;159;1;6;60;30;55;8
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;PETROVSKO;011;GREDENEC;GARAŽA HRŠAK JOSIPA;GREDENEC 28;71;58;58;58;0;5;14;31;7;1
