Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;KANDIDACIJSKA LISTA GRUPE BIRAČA - DRAGUTIN ČRNJEVIĆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, AUTOHTONA - HRVATSKA SELJAČKA STRANKA - A - HSS, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, STRANKA UMIROVLJENIKA - SU, ZAGORSKA DEMOKRATSKA STRANKA - ZDS, ZAGORSKA STRANKA - ZS;KANDIDACIJSKA LISTA GRUPE BIRAČA -  ANDREA JERNEIĆ;KANDIDACIJSKA LISTA GRUPE BIRAČA -  KREŠIMIR KONČEVSKI;KANDIDACIJSKA LISTA GRUPE BIRAČA -  BRANKO SADAIĆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA SELJAČKA STRANKA - HSS, HRVATSKA SELJAČKA STRANKA BRAĆE RADIĆ - HSS BRAĆE RADIĆ;KANDIDACIJSKA LISTA GRUPE BIRAČA - MARIO VIDEK
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;001;ŠPIČKOVINA;PODRUČNA ŠKOLA ŠPIČKOVINA;ŠPIČKOVINA 16;635;292;292;286;6;6;31;0;22;8;56;163
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;002;DUBRAVA ZABOČKA;DRUŠTVENI DOM KOD NOGOMETNOG IGRALIŠTA;DUBRAVA ZABOČKA 3;530;270;270;263;7;15;18;6;33;18;49;124
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;003;GRDENCI;DRUŠTVENI DOM;GRDENCI 90;384;179;179;174;5;14;43;3;21;14;79;0
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;004;LUG ZABOČKI;LUG ZABOČKI 55O - KUĆICA NA DJEČJEM IGRALIŠTU;LUG ZABOČKI 55 O;889;470;470;460;10;31;97;16;57;49;198;12
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;005;ZABOK I;STARA ŠKOLA  (ZELENA DVORANA);TRG SV. JELENE 6;754;449;449;428;21;49;93;29;53;32;167;5
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;006;GRABROVEC;SPORTSKI DOM KOD IGRALIŠTA;ULICA GRABROVEC 12;494;254;254;246;8;66;30;11;33;27;73;6
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;007;ZABOK II;"PREDVORJE OŠ ""K.Š.GJALSKI""";ĐAČKI PUT 1;639;354;354;344;10;37;64;6;50;49;131;7
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;008;ZABOK III;"PREDVORJE DVORANE HEP ODS D.O.O. ""ELEKTRA"" ZABOK";MATIJE GUPCA 57;812;480;480;467;13;72;111;11;79;47;145;2
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;009;ZABOK IV;DOM STRIJELACA;MATIJE GUPCA 112;293;165;165;163;2;24;38;7;25;10;56;3
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;010;REPOVEC;OMLADINSKI DOM;REPOVEC 45C;270;133;132;129;3;4;64;3;11;12;34;1
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;011;TISANIĆ JAREK;KUĆICA (KONTEJNER) NA DJEČJEM IGRALIŠTU;TISANIĆ JAREK BB;348;156;156;153;3;7;37;8;36;21;42;2
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;012;JAKUŠEVEC ZABOČKI;KUĆICA (KONTEJNER) NA DJEČJEM IGRALIŠTU;JAKUŠEVEC ZABOČKI BB;342;165;165;163;2;22;52;1;13;17;57;1
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;013;PAVLOVEC ZABOČKI;DRUŠTVENI DOM;PAVLOVEC ZABOČKI 48;519;254;254;242;12;17;68;9;39;21;87;1
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;014;MARTINIŠĆE;VATROGASNI DOM DVD GUBAŠEVO;MARTINIŠĆE 5;473;249;249;241;8;23;68;9;31;24;80;6
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;015;PROSENIK GUBAŠEVSKI;DRUŠTVENI DOM;PROSENIK GUBAŠEVSKI 25A;136;63;63;60;3;5;15;4;2;10;24;0
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;016;PROSENIK ZAČRETSKI;DRUŠTVENI DOM;PROSENIK ZAČERTSKI 69A;116;56;56;56;0;3;15;2;13;8;13;2
