Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DAMIR BELOŠEVIĆ;MIA LELJAK;ZVONIMIR VARJAČIĆ
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;ĐURMANEC;001;ĐURMANEC;"ZGRADA ""STARE ŠKOLSKE KUHINJE"" U DRUŠTVENIM PROSTORIJAMA U PRIZEMLJU ZGRADE";ĐURMANEC 141 A;705;424;424;415;9;208;153;54
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;ĐURMANEC;002;DONJI MACELJ;PODRUČNA ŠKOLA MACELJ, UČIONICA BR. 1;DONJI MACELJ 126;460;258;258;256;2;128;105;23
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;ĐURMANEC;003;DONJI MACELJ;PODRUČNA ŠKOLA MACELJ, UČIONICA BR. 2;DONJI MACELJ 126;156;63;63;62;1;32;26;4
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;ĐURMANEC;004;RAVNINSKO;KUĆA DUBRAVKA KONJIĆA;RAVNINSKO 91A;414;257;257;251;6;148;58;45
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;ĐURMANEC;005;HROMEC;ZGRADA ZADRUŽNOG DOMA, U DRUŠTVENIM PROSTORIJAMA U PRIZEMLJU ZGRADE;HROMEC 49;323;186;186;182;4;122;40;20
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;ĐURMANEC;006;HLEVNICA;KUĆA DRAGUTINA KRANJECA;HLEVNICA 72;198;101;101;100;1;78;10;12
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;ĐURMANEC;007;LUKOVČAK;KUĆA LJUBICE PAVIĆ;LUKOVČAK 49;179;115;115;113;2;91;14;8
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;ĐURMANEC;008;JEZERIŠĆE;PROSTORI SPORTSKOG DRUŠTVA JEZERIŠĆE;JEZERIŠĆE;87;62;62;60;2;51;4;5
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;ĐURMANEC;009;PODBREZOVICA;PROSTOR UDRUGE ZA ŠPORT I REKREACIJU GORNJA PODBREZOVICA, KOD IGRALIŠTA;PODBREZOVICA;220;155;155;155;0;102;7;46
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;ĐURMANEC;010;PUTKOVEC;IGRALIŠTE KOD PODRUČNE ŠKOLE U PUTKOVCU, ULAZ U ŠATOR BROJ 1;PUTKOVEC 29;173;103;103;103;0;69;13;21
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;ĐURMANEC;011;PUTKOVEC;IGRALIŠTE KOD PODRUČNE ŠKOLE U PUTKOVCU, ULAZ U ŠATOR BROJ 2;PUTKOVEC 29;248;120;120;116;4;69;36;11
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;ĐURMANEC;012;GORIČANOVEC;PROSTOR SPORTSKOG DRUŠTVA JAVOR, KOD IGRALIŠTA;GORIČANOVEC;201;104;104;104;0;83;20;1
