Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;KANDIDACIJSKA LISTA GRUPE BIRAČA -  FRANJO BARIĆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;KANDIDACIJSKA LISTA GRUPE BIRAČA -  KREŠIMIR OBREŽ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA STRANKA UMIROVLJENIKA - HSU
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KRAPINSKE TOPLICE;001;ČRET;VATROGASNI DOM;ČRET 30;606;308;308;302;6;20;39;164;2;77
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KRAPINSKE TOPLICE;002;GREGUROVEC;PODRUČNA ŠKOLA;GREGUROVEC 12;295;178;178;171;7;10;81;8;3;69
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KRAPINSKE TOPLICE;003;KRAPINSKE TOPLICE;DOM KULTURE;K.Š.ĐALSKOG 1;169;66;66;64;2;18;12;5;1;28
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KRAPINSKE TOPLICE;004;JURJEVEC;DRUŠTVENI DOM;JURJEVEC;286;172;172;164;8;9;50;18;6;81
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KRAPINSKE TOPLICE;005;KLOKOVEC;KUĆA GUDIĆ ANE MARI;KLOKOVEC 212;742;383;383;374;9;78;65;36;7;188
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KRAPINSKE TOPLICE;006;KRAPINSKE TOPLICE I;DOM KULTURE;K.Š.ĐALSKOG 1;463;257;257;246;11;73;61;12;16;84
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KRAPINSKE TOPLICE;007;KRAPINSKE TOPLICE II;OSNOVNA ŠKOLA;ZAGREBAČKA 12;803;429;429;425;4;98;96;23;21;187
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KRAPINSKE TOPLICE;008;MALA ERPENJA I;VATROGASNI DOM;MALA ERPENJA 249;210;89;89;86;3;9;8;13;1;55
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KRAPINSKE TOPLICE;009;MALA ERPENJA II;DRUŠTVENI DOM;MALA ERPENJA BB;262;128;128;122;6;36;20;4;1;61
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KRAPINSKE TOPLICE;010;SELNO;DRUŠTVENI DOM;SELNO BB;309;158;158;152;6;41;23;17;4;67
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KRAPINSKE TOPLICE;011;VRTNJAKOVEC;DRUŠTVENI DOM;VRTNJAKOVEC 33A;391;197;197;195;2;37;55;9;2;92
