Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;KANDIDACIJSKA LISTA GRUPE BIRAČA -  DRAGAN GUDEK;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, DEMOKRATSKI HSS - DHSS, STRANKA UMIROVLJENIKA - SU;KANDIDACIJSKA LISTA GRUPE BIRAČA -  MLADEN MAJCEN;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA STRANKA UMIROVLJENIKA - HSU
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KONJŠČINA;001;KONJŠČINA;SREDNJA ŠKOLA KONJŠČINA;MATIJE GUPCA 5;819;578;578;568;10;149;141;27;251
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KONJŠČINA;002;GALOVEC;VATROGASNI DOM GALOVEC;GALOVEC;329;238;238;233;5;63;87;2;81
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KONJŠČINA;003;JERTOVEC;OSNOVNA ŠKOLA KONJŠČINA, PODRUČNA ŠKOLA JERTOVEC;JERTOVEC;569;348;348;339;9;72;130;16;121
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KONJŠČINA;004;PEŠĆENO;DRUŠTVENI DOM;PEŠĆENO BB;122;77;77;76;1;9;39;4;24
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KONJŠČINA;005;BOČADIR;DRUŠTVENI DOM;BOČADIR;188;141;141;138;3;30;51;18;39
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KONJŠČINA;006;TURNIŠĆE;DRUŠTVENI DOM;TURNIŠĆE;239;108;108;104;4;22;41;15;26
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KONJŠČINA;007;KLIMEN;DRUŠTVENI DOM;KLIMEN;104;58;58;57;1;8;31;8;10
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KONJŠČINA;008;GORNJA KONJŠČINA;VATROGASNI DOM;GORNJA KONJŠČINA;170;116;116;114;2;27;55;6;26
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KONJŠČINA;009;DONJA KONJŠČINA;VATROGASNI DOM;DONJA KONJŠČINA;271;187;187;181;6;44;60;19;58
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;KONJŠČINA;010;SUŠOBREG;DRUŠTVENI DOM;SUŠOBREG;176;126;126;121;5;19;81;2;19
