Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DEMOKRATSKI HSS - DHSS, HRVATSKA STRANKA PRAVA - HSP;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA UMIROVLJENIKA - HSU;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, ZAGORSKA STRANKA - ZS
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;001;BENKOVO;PODRUČNA ŠKOLA BENKOVO;BENKOVO 30;400;155;155;151;4;24;7;26;94
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;002;VALENTINOVO;U KUĆI ŽELJKA GOLUBIĆA;VALENTINOVO 8;307;159;159;157;2;14;12;28;103
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;003;CIGROVEC;U PROSTORIJAMA MJESNOG ODBORA U CIGROVCU;CIGROVEC 186/5;281;137;137;135;2;15;2;21;97
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;004;GORJAKOVO;PODRUČNA ŠKOLA GORJAKOVO;GORJAKOVO 98;262;105;105;97;8;11;2;14;70
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;005;KOSTEL;PODRUČNA ŠKOLA KOSTEL;KOSTEL 7;505;242;242;237;5;10;14;17;196
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;006;PLEMENŠĆINA;PRODAVAONICA U GORNJOJ PLEMENŠĆINI;GORNJA PLEMENŠĆINA 44/2;434;208;208;201;7;21;17;35;128
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;007;PREGRADA;GRADSKA VIJEĆNICA;JOSIPA KARLA TUŠKANA 2;962;455;455;434;21;30;48;94;262
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;008;PREGRADA;HOL UPRAVNE ZGRADE;JOSIPA KARLA TUŠKANA 2;936;394;394;385;9;35;22;56;272
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;009;SOPOT;PODRUČNA ŠKOLA SOPOT;SOPOT 74;576;254;254;244;10;17;13;43;171
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;010;STIPERNICA;PODRUČNA ŠKOLA STIPERNICA;STIPERNICA 11/2;224;99;99;96;3;7;6;33;50
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;011;VINAGORA;PROSTORIJA MJESNOG ODBORA U VINAGORI;VINAGORA 13;394;136;136;130;6;6;13;25;86
