Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;BRANIMIRA GLAVICA;JOSIP MILIČKI;ZVONKO ŽUPANIĆ
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;MARIJA BISTRICA;001;MARIJA BISTRICA;DOM KULTURE;ZAGREBAČKA BB;911;466;466;443;23;55;332;56
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;MARIJA BISTRICA;002;MARIJA BISTRICA II;"TERMOLAKIRNICA ""ŠTAGAR""";STUBIČKA CESTA 20;400;170;170;165;5;42;98;25
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;MARIJA BISTRICA;003;PODGORJE BISTRIČKO;"OSNOVNA ŠKOLA ""M.BISTRICA""";ZAGREBAČKA 15;780;287;287;281;6;56;180;45
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;MARIJA BISTRICA;004;LAZ BISTRIČKI;VATROGASNI DOM DVD-A LAZ;LAZ BISTRIČKI;841;248;248;235;13;68;148;19
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;MARIJA BISTRICA;005;GLOBOČEC;PODRUČNA ŠKOLA GLOBOČEC;GLOBOČEC;434;174;174;171;3;24;117;30
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;MARIJA BISTRICA;006;POLJANICA BISTRIČKA;PODRUČNA ŠKOLA;POLJANICA BISTRIČKA;306;88;88;83;5;15;54;14
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;MARIJA BISTRICA;007;SUŠOBREG;KUĆA VRABEC MILORADA;SUŠOBREG BISTRIČKI 120B;68;24;24;23;1;1;18;4
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;MARIJA BISTRICA;008;SELNICA;VATROGASNI DOM;SELNICA;516;201;201;195;6;89;81;25
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;MARIJA BISTRICA;009;TUGONICA;VATROGASNI DOM;TUGONICA;483;156;156;150;6;23;108;19
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;MARIJA BISTRICA;010;PODGRAĐE;DRUŠTVENI DOM;PODGRAĐE;276;112;112;106;6;8;78;20
