Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, NARODNA STRANKA - REFORMISTI - REFORMISTI;HRVATSKA SELJAČKA STRANKA - HSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA STRANKA UMIROVLJENIKA - HSU;ZAGORSKA DEMOKRATSKA STRANKA - ZDS
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;GORNJA STUBICA;001;SVETI MATEJ I;KUĆA MLADENA ŠIŠAKA;SVETI MATEJ 10;135;31;31;30;1;2;4;13;0;9;2
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;GORNJA STUBICA;002;SVETI MATEJ II;PODRUČNA ŠKOLA;SVETI MATEJ 128;341;154;154;151;3;39;4;62;9;32;5
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;GORNJA STUBICA;003;HUM STUBIČKI;PODRUČNA ŠKOLA;HUM STUBIČKI 47;478;239;239;232;7;23;21;98;2;72;16
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;GORNJA STUBICA;004;DOBRI ZDENCI;PODRUČNA ŠKOLA;DOBRI ZDENCI 24;303;164;164;159;5;2;12;69;18;36;22
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;GORNJA STUBICA;005;DUBOVEC;PODRUČNA ŠKOLA;DUBOVEC 76;271;156;156;154;2;2;10;24;2;97;19
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;GORNJA STUBICA;006;GUSAKOVEC;KUĆA DRAGUTINA MIKULEC;GUSAKOVEC 55B;170;78;78;74;4;6;7;25;9;25;2
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;GORNJA STUBICA;007;MODROVEC;DRUŠTVENI DOM;MODROVEC BB;330;181;181;173;8;20;4;93;3;41;12
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;GORNJA STUBICA;008;SLANI POTOK;KUĆA IVANA ĐURĐEVIĆA;SLANI POTOK 19;326;125;125;122;3;8;27;36;19;26;6
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;GORNJA STUBICA;009;BREZJE;KUĆA STJEPANA NOVINE;BREZJE 7;195;113;113;108;5;17;5;47;9;23;7
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;GORNJA STUBICA;010;KARIVAROŠ;KUĆA SLAVKA MAKARA;KARIVAROŠ 96;258;96;96;95;1;9;14;39;3;21;9
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;GORNJA STUBICA;011;JAKŠINEC;KUĆA JOSIPA IVANIĆA;JAKŠINEC 3D;210;93;93;90;3;5;16;39;0;21;9
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;GORNJA STUBICA;012;GORNJA STUBICA;"OSNOVNA ŠKOLA ""MATIJE GUPCA""";ULICA MATIJE GUPCA 2;732;298;298;288;10;31;26;82;27;87;35
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;GORNJA STUBICA;013;SAMCI;MUZEJ SELJAČKIH BUNA;SAMCI 64;276;172;172;163;9;18;14;67;8;45;11
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;GORNJA STUBICA;014;PASANSKA GORICA;KUĆA MLADENA ČUPARA;PASANSKA GORICA 4B;129;77;77;77;0;7;6;26;3;29;6
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;GORNJA STUBICA;015;ŠAGUDOVEC;DVD ŠAGUDOVEC;ŠAGUDOVEC BB;162;70;70;69;1;3;27;15;0;18;6
