Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DEMOKRATSKI HSS - DHSS, HRVATSKA STRANKA PRAVA - HSP, HRVATSKA STRANKA SVIH ČAKAVACA KAJKAVACA I ŠTOKAVACA - HSSČKŠ;DOMOVINSKI POKRET - DP;KANDIDACIJSKA LISTA GRUPE BIRAČA -  ROBERT GREBLIČKI;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, AUTOHTONA - HRVATSKA SELJAČKA STRANKA - A - HSS, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, STRANKA UMIROVLJENIKA - SU, ZAGORSKA DEMOKRATSKA STRANKA - ZDS;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, NARODNA STRANKA - REFORMISTI - REFORMISTI, HRVATSKA SELJAČKA STRANKA BRAĆE RADIĆ - HSS BRAĆE RADIĆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA SELJAČKA STRANKA - HSS, HRVATSKA STRANKA UMIROVLJENIKA - HSU;KANDIDACIJSKA LISTA GRUPE BIRAČA -  VIKTOR ŠIMUNIĆ;ZAGORSKA STRANKA - ZS
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;001;DONJA STUBICA;OSNOVNA ŠKOLA;DONJA STUBICA, TOPLIČKA C.27;923;428;428;418;10;2;48;23;69;8;219;48;1
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;002;PUSTODOL;DRUŠTVENI DOM;PUSTODOL 143;529;187;187;184;3;1;12;6;26;6;106;26;1
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;003;DONJA PODGORA;DRUŠTVENI DOM;DONJA PODGORA 8;282;153;153;142;11;3;8;10;35;4;74;8;0
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;004;HRUŠEVEC (DONJI);PODRUČNA ŠKOLA HRUŠEVEC;HRUŠEVEC 28;204;98;98;94;4;1;11;5;17;6;49;5;0
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;005;HRUŠEVEC (GORNJI);DRUŠTVENI DOM;HRUŠEVEC 199 A;122;56;56;56;0;2;4;2;5;2;38;3;0
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;006;DONJA STUBICA;DOM KJULTURE DONJA STUBICA;GOLUBOVEČKA ULICA 7;942;526;526;504;22;2;49;25;75;23;253;73;4
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;007;MILEKOVO SELO;DRUŠTVENI DOM (GRABRINA);MILEKOVO SELO 43;461;211;211;209;2;1;38;10;30;15;87;25;3
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;008;MATENCI (GORNJI);DRUŠTVENI DOM MATENCI;MATENCI 126 B;213;105;105;102;3;2;21;3;11;4;49;9;3
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;009;MATENCI (DONJI);DRUŠTVENI DOM MATENCI;MATENCI 58;218;134;134;128;6;1;8;2;32;3;74;7;1
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;010;LEPA VES;PODRUČNA OSNOVNA ŠKOLA LEPA VES;LEPA VES 17;314;124;124;124;0;2;11;4;18;9;74;6;0
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;011;VUČAK;PODRUČNA OSNOVNA ŠKOLA VUČAK;VUČAK 28;382;127;127;127;0;0;12;1;26;2;76;9;1
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KLANJEC;001;KLANJEC;VELIKA DVORANA GRADA KLANJCA;KLANJEC, TRG MIRA 11;477;282;282;273;9;0;18;5;46;16;179;9;0
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KLANJEC;002;MIHANOVIĆEV DOL;UPRAVNA ZGRADA PREDIONICE KLANJEC;MIHANOVIĆEV DOL, NOVODVORSKA 7;246;129;129;125;4;3;7;3;21;3;82;5;1
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KLANJEC;003;GREDICE;VATROGASNI DOM GREDICE;GREDICE 29;295;158;158;153;5;2;5;1;35;9;99;0;2
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KLANJEC;004;NOVI DVORI KLANJEČKI;KUĆA KRISTINE JAMBREŠIĆ;NOVI DVORI KLANJEČKI 8;334;161;161;154;7;1;5;4;33;5;105;0;1
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KLANJEC;005;BRATOVSKI VRH;KUĆA RUDOLFA KOLEŠ;BRATOVSKI VRH 37;100;59;59;59;0;0;0;16;6;7;30;0;0
