Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;IVAN BAJCER;ZORAN GREGUROVIÆ;NENAD SIKIRICA;DRAŽEN STRABIÆ;IRENA ŠAFRANKO;ADALBERT TURNER
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;001;DONJA ŠEMNICA;PODRUÈNA ŠKOLA DONJA ŠEMNICA;DONJA ŠEMNICA 287;719;324;324;316;8;5;208;26;7;49;21
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;002;LEPAJCI;PODRUÈNA ŠKOLA LEPAJCI;LEPAJCI 4;950;442;442;427;15;10;282;11;12;77;35
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;003;KRAPINA;PUÈKO OTVORENO UÈILIŠTE (PLAVI SALON);ŠETALIŠTE HRV.NARODNOG PREP. 13;806;408;408;398;10;10;207;11;10;72;88
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;004;KRAPINA;"OSNOVNA ŠKOLA ""LJUDEVIT GAJ"" KRAPINA";TRG STJEPANA RADIÆA 1;627;342;342;336;6;15;182;9;6;66;58
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;005;KRAPINA;"OSNOVNA ŠKOLA ""LJUDEVIT GAJ"" KRAPINA";TRG STJEPANA RADIÆA 1;387;177;177;175;2;11;111;0;3;27;23
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;006;KRAPINA;PUÈKO OTVORENO UÈILIŠTE (MALA DVORANA);ŠETALIŠTE HRVATSKOG NARODNOG PREPORODA 13;1024;555;555;545;10;33;304;31;5;104;68
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;007;KRAPINA;OSNOVNA ŠKOLA AUGUSTA CESARCA KRAPINA;ŠETALIŠTE I.VRENCEA 1;480;269;269;264;5;12;146;3;7;69;27
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;008;KRAPINA;OSNOVNA ŠKOLA AUGUSTA CESARCA KRAPINA;ŠETALIŠTE I.VRENCEA 1;455;269;269;262;7;14;141;13;8;55;31
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;009;PODGORA KRAPINSKA;PODRUÈNA ŠKOLA PODGORA KRAPINSKA;PODGORA KRAPINSKA 76;832;535;535;521;14;63;279;19;5;96;59
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;010;PODGORA KRAPINSKA;PODRUÈNA ŠKOLA PODGORA KRAPINSKA;PODGORA KRAPINSKA 76;306;206;206;200;6;13;138;2;5;28;14
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;011;ŽUTNICA;"UGOSTITELJSKI OBJEKT ""SIMBA""";ŽUTNICA 52 A;291;123;123;118;5;8;85;5;2;11;7
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;012;ŠUŠELJ BREG I TRŠKI VRH;PRIVATNA KUÆA IVANA CEROVEÈKI;TRŠKI VRH 87;336;164;164;161;3;6;101;16;3;21;14
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;013;MIHALJEKOV JAREK;PROSTORIJE MJESNOG ODBORA MIHALJEKOV JAREK;MIHALJEKOV JAREK 9 A;962;625;625;608;17;19;388;20;12;86;83
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;014;ŠKARIÆEVO;PROSTORIJA PODRUÈNE ŠKOLE ŠKARIÆEVO;ŠKARIÆEVO 84;529;213;213;210;3;2;171;5;5;22;5
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;015;LEPAJCI;PROSTORIJA PODRUÈNE ŠKOLE LEPAJCI;LEPAJCI 4;341;190;190;183;7;3;110;3;5;35;27
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;016;VIDOVEC KRAPINSKI;PROSTORIJA ZGRADE DRUŠTVENE NAMJENE;VIDOVEC KRAPINSKI BB (NASUPROT KAPELE KOD IGRALIŠTA);276;191;191;185;6;3;113;11;1;50;7
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;017;BOBOVJE;DRUŠTVENI DOM;BOBOVJE 43;582;296;296;293;3;10;196;6;7;38;36
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;018;TKALCI;PRIVATNA KUÆA BRANKA BOÈKAJA;TKALCI 47;341;178;178;176;2;15;118;7;2;30;4
