Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA UMIROVLJENIKA - HSU;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SELJAČKA STRANKA - HSS, ZAGORSKA DEMOKRATSKA STRANKA - ZDS
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;SVETI KRIŽ ZAČRETJE;001;TEMOVEC;PODRUČNA ŠKOLA;TEMOVEC BB;168;97;97;97;0;57;16;24
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;SVETI KRIŽ ZAČRETJE;002;ZLEĆ;KUĆA MIHOVILIĆ ŽELJKA;ZLEĆ 1D;120;74;74;72;2;6;20;46
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;SVETI KRIŽ ZAČRETJE;003;ŠTRUCLJEVO;DRUŠTVENI DOM;ŠTRUCLJEVO;281;134;134;128;6;15;45;68
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;SVETI KRIŽ ZAČRETJE;004;PUSTODOL ZAČRETSKI;KUĆA BLAGEC KRUNOSLAVA;PUSTODOL ZAČRETSKI 42B;273;121;121;118;3;11;45;62
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;SVETI KRIŽ ZAČRETJE;005;SVETI KRIŽ ZAČRETJE;ZGRADA OPĆINE;TRG HRVATSKE KRALJICE JELENE 1;767;391;390;373;17;35;100;238
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;SVETI KRIŽ ZAČRETJE;006;DONJA PAČETINA;KUĆA ZAVRŠKI MLADENA;DONJA PAČETINA 58;355;146;146;144;2;13;54;77
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;SVETI KRIŽ ZAČRETJE;007;DONJA PAČETINA;KUĆA DRAGČEVIĆ JANKA;DONJA PAČETINA 152;287;97;97;95;2;11;33;51
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;SVETI KRIŽ ZAČRETJE;008;DUKOVEC;KUĆA MARTINJAK STANKA;DUKOVEC 25;187;104;104;101;3;13;53;35
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;SVETI KRIŽ ZAČRETJE;009;ŠVALJKOVEC;KUĆA PETRAČIJA VIKTORA - RADIONA RIBICA;ŠVALJKOVEC 43A;509;212;212;193;19;34;53;106
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;SVETI KRIŽ ZAČRETJE;010;VRANKOVEC;KUĆA ČVEK BRANKA;VRANKOVEC 10D;214;92;92;90;2;13;29;48
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;SVETI KRIŽ ZAČRETJE;011;KOZJAK ZAČRETSKI;PODRUČNA ŠKOLA;KOZJAK ZAČRETSKI;294;74;74;73;1;17;24;32
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;SVETI KRIŽ ZAČRETJE;012;SEKIRIŠĆE;PODRUČNA ŠKOLA;SEKIRIŠĆE;300;80;80;76;4;24;28;24
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;SVETI KRIŽ ZAČRETJE;013;CIGLENICA ZAGORSKA;KUĆA CIGLENEČKI HRVOJA;CIGLENICA ZAGORSKA 7B;500;204;204;198;6;25;69;104
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;SVETI KRIŽ ZAČRETJE;014;MIRKOVEC;VATROGASNI DOM;MIRKOVEC;704;321;321;313;8;38;47;228
