Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;IVAN HANŽEK;ANDREA JERNEIĆ;KREŠIMIR KONČEVSKI;ZVONKO MOŠTAK;BRANKO SADAIĆ;PETAR VRANČIĆ
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;001;ŠPIČKOVINA;PODRUČNA ŠKOLA ŠPIČKOVINA;ŠPIČKOVINA 16;635;292;292;285;7;158;6;34;8;11;68
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;002;DUBRAVA ZABOČKA;DRUŠTVENI DOM KOD NOGOMETNOG IGRALIŠTA;DUBRAVA ZABOČKA 3;530;270;270;263;7;130;16;49;7;19;42
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;003;GRDENCI;DRUŠTVENI DOM;GRDENCI 90;384;179;179;175;4;93;2;21;4;11;44
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;004;LUG ZABOČKI;LUG ZABOČKI 55O - KUĆICA NA DJEČJEM IGRALIŠTU;LUG ZABOČKI 55 O;889;470;470;465;5;229;9;46;28;44;109
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;005;ZABOK I;STARA ŠKOLA  (ZELENA DVORANA);TRG SV. JELENE 6;754;449;449;435;14;193;29;55;11;33;114
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;006;GRABROVEC;SPORTSKI DOM KOD IGRALIŠTA;ULICA GRABROVEC 12;494;254;254;251;3;123;14;36;2;28;48
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;007;ZABOK II;"PREDVORJE OŠ ""K.Š.GJALSKI""";ĐAČKI PUT 1;639;354;354;344;10;161;7;51;11;42;72
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;008;ZABOK III;"PREDVORJE DVORANE HEP ODS D.O.O. ""ELEKTRA"" ZABOK";MATIJE GUPCA 57;812;480;480;463;17;187;9;66;5;60;136
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;009;ZABOK IV;DOM STRIJELACA;MATIJE GUPCA 112;293;165;165;162;3;74;5;29;2;8;44
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;010;REPOVEC;OMLADINSKI DOM;REPOVEC 45C;270;132;132;130;2;36;4;11;0;12;67
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;011;TISANIĆ JAREK;KUĆICA (KONTEJNER) NA DJEČJEM IGRALIŠTU;TISANIĆ JAREK BB;348;156;156;155;1;49;3;33;8;17;45
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;012;JAKUŠEVEC ZABOČKI;KUĆICA (KONTEJNER) NA DJEČJEM IGRALIŠTU;JAKUŠEVEC ZABOČKI BB;342;165;165;163;2;68;2;16;4;19;54
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;013;PAVLOVEC ZABOČKI;DRUŠTVENI DOM;PAVLOVEC ZABOČKI 48;519;257;257;251;6;105;6;34;5;20;81
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;014;MARTINIŠĆE;VATROGASNI DOM DVD GUBAŠEVO;MARTINIŠĆE 5;473;249;249;242;7;107;3;25;11;18;78
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;015;PROSENIK GUBAŠEVSKI;DRUŠTVENI DOM;PROSENIK GUBAŠEVSKI 25A;136;63;63;61;2;25;4;2;1;9;20
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;016;PROSENIK ZAČRETSKI;DRUŠTVENI DOM;PROSENIK ZAČERTSKI 69A;116;56;56;56;0;21;0;16;0;6;13
